iata,icao,city,country
SZB,WMSA,Kuala Lumpur,Malaysia
TBS,UGTB,Tbilisi,Georgia
TGD,LYPG,Podgorica,Montenegro
THF,EDDI,Berlin,Germany
THR,OIII,Teheran,Iran
TLL,EETN,Tallinn-ulemiste International,Estonia
TLS,LFBO,Toulouse,France
TLV,LLBG,Tel-aviv,Israel
TNR,FMMI,Antananarivo,Madagascar
TNT,KTNT,Miami,United States
TOJ,LETO,Madrid,Spain
TPA,KTPA,Tampa,United States
TPE,RCTP,Taipei,Taiwan
TPF,KTPF,Tampa,United States
TSA,RCSS,Taipei,Taiwan
TUN,DTTA,Tunis,Tunisia
TXL,EDDT,Berlin,Germany
UGN,KUGN,Chicago,United States
UIO,SEQM,Quito,Ecuador
VCE,LIPZ,Venice,Italy
VIE,LOWW,Vienna,Austria
VKO,UUWW,Moscow,Russia
VNO,EYVI,Vilnius,Lithuania
VNS,VIBN,Varanasi,India
VTE,VLVT,Vientiane,Laos
WAW,EPWA,Warsaw,Poland
WBU,KBDU,Boulder,United States
WDH,FYWH,Windhoek,Namibia
WHP,KWHP,Los Angeles,United States
WIL,HKNW,Nairobi,Kenya
WLG,NZWN,Wellington,New Zealand
WMI,EPMO,Warsaw,Poland
XFW,EDHI,Hamburg,Germany
XJD,OTBH,Doha,Qatar
XSP,WSSL,Singapore,Singapore
YBA,CYBA,Banff,Canada
YCD,CYCD,Nanaimo,Canada
YHU,CYHU,Montreal,Canada
YHZ,CYHZ,Halifax,Canada
YKZ,CYKZ,Toronto,Canada
YMX,CYMX,Montreal,Canada
YOW,CYOW,Ottawa,Canada
YRO,CYRO,Ottawa,Canada
YTZ,CYTZ,Toronto,Canada
YUL,CYUL,Montreal,Canada
YVR,CYVR,Vancouver,Canada
YWG,CYWG,Winnipeg,Canada
YWH,CYWH,Victoria,Canada
YYJ,CYYJ,Victoria,Canada
YYZ,CYYZ,Toronto,Canada
YZD,CYZD,Toronto,Canada
ZAG,LDZA,Zagreb,Croatia
ZNA,CAC8,Nanaimo,Canada
ZRH,LSZH,Zurich,Switzerland
ZXT,UBTT,Baku,Azerbaijan
