GEOID	NAME	UATYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                      
79741	Savanna, IL--IA Urban Cluster	C	5095745	2562715	1.967	0.989	42.089345	-90.152163                                                                                                                  
79768	Savannah, GA Urbanized Area	U	429017313	13626218	165.645	5.261	32.044851	-81.151732                                                                                                               
79795	Savannah, MO Urban Cluster	C	7681655	12713	2.966	0.005	39.935801	-94.827185                                                                                                                       
79822	Savannah, TN Urban Cluster	C	20149809	2353	7.78	0.001	35.219076	-88.235025                                                                                                                        
79834	Saw Creek, PA Urban Cluster	C	14598482	72754	5.637	0.028	41.105659	-75.049884                                                                                                                     
79876	Sayre, OK Urban Cluster	C	3596707	0	1.389	0.	35.298753	-99.638107                                                                                                                                 
79903	Sayre--Waverly, PA--NY Urban Cluster	C	24238848	479651	9.359	0.185	41.978566	-76.522382                                                                                                           
79930	Schulenburg, TX Urban Cluster	C	4449328	0	1.718	0.	29.680682	-96.908743                                                                                                                           
79957	Schuyler, NE Urban Cluster	C	6567052	149285	2.536	0.058	41.4499	-97.065277                                                                                                                        
80011	Scott City, KS Urban Cluster	C	3913358	0	1.511	0.	38.479844	-100.909062                                                                                                                           
80038	Scott City, MO Urban Cluster	C	10953939	2368	4.229	0.001	37.21744	-89.540847                                                                                                                      
80065	Scottsbluff, NE Urban Cluster	C	34071316	222703	13.155	0.086	41.854912	-103.667671                                                                                                                
80092	Scottsboro, AL Urban Cluster	C	28780084	527139	11.112	0.204	34.649626	-86.035144                                                                                                                  
80119	Scottsburg, IN Urban Cluster	C	18791385	28595	7.255	0.011	38.692115	-85.795495                                                                                                                    
80173	Scottsville, KY Urban Cluster	C	10336767	12447	3.991	0.005	36.748632	-86.197472                                                                                                                   
80227	Scranton, PA Urbanized Area	U	442271861	8059602	170.762	3.112	41.16518	-76.031596                                                                                                                 
80281	Sealy, TX Urban Cluster	C	8023406	48593	3.098	0.019	29.774804	-96.155299                                                                                                                          
80308	Searcy, AR Urban Cluster	C	60693233	544722	23.434	0.21	35.241497	-91.706014                                                                                                                       
80335	Seaside, OR Urban Cluster	C	13548342	370636	5.231	0.143	46.005189	-123.91001                                                                                                                      
80362	Seaside--Monterey, CA Urbanized Area	U	100187905	592956	38.683	0.229	36.615585	-121.843762                                                                                                        
80389	Seattle, WA Urbanized Area	U	2615368236	174132426	1009.799	67.233	47.468409	-122.274661                                                                                                           
80400	Sebastian--Vero Beach South--Florida Ridge, FL Urbanized Area	U	250470011	25852483	96.707	9.982	27.663404	-80.422713                                                                              
80416	Sebring--Avon Park, FL Urbanized Area	U	119532127	10091133	46.152	3.896	27.594695	-81.536906                                                                                                      
80443	Sedalia, MO Urban Cluster	C	48724197	298972	18.813	0.115	38.695271	-93.230193                                                                                                                     
80470	Sedona, AZ Urban Cluster	C	12100304	54293	4.672	0.021	34.861648	-111.784246                                                                                                                       
80497	Seguin, TX Urban Cluster	C	40868102	542103	15.779	0.209	29.571717	-97.9679                                                                                                                        
80524	Selma, AL Urban Cluster	C	43710864	310809	16.877	0.12	32.410462	-87.034721                                                                                                                        
80551	Selma, CA Urban Cluster	C	32473506	0	12.538	0.	36.566927	-119.608783                                                                                                                              
80578	Selmer, TN Urban Cluster	C	12152248	0	4.692	0.	35.172904	-88.591736                                                                                                                               
80605	Seminole, OK Urban Cluster	C	8911966	0	3.441	0.	35.233169	-96.67702                                                                                                                               
80632	Seminole, TX Urban Cluster	C	7866708	0	3.037	0.	32.717035	-102.652437                                                                                                                             
80659	Senatobia, MS Urban Cluster	C	10034394	0	3.874	0.	34.617891	-89.977968                                                                                                                            
80671	Seneca, SC Urban Cluster	C	86034450	2298976	33.218	0.888	34.700148	-82.946074                                                                                                                     
80686	Sequim, WA Urban Cluster	C	63299347	0	24.44	0.	48.093929	-123.136477                                                                                                                              
80695	Seven Lakes, NC Urban Cluster	C	9995053	4259254	3.859	1.645	35.260584	-79.580844                                                                                                                  
80704	Severance, CO Urban Cluster	C	3996781	0	1.543	0.	40.525713	-104.852847                                                                                                                            
80713	Sevierville, TN Urban Cluster	C	64767373	0	25.007	0.	35.833857	-83.554555                                                                                                                         
80740	Seville, OH Urban Cluster	C	17841233	3989	6.889	0.002	41.014849	-81.86987                                                                                                                         
80767	Seward, NE Urban Cluster	C	6903009	2273	2.665	0.001	40.914262	-97.093022                                                                                                                          
80794	Seymour, IN Urban Cluster	C	35117585	80713	13.559	0.031	38.955122	-85.883768                                                                                                                      
80848	Seymour (Outagamie County), WI Urban Cluster	C	5704947	0	2.203	0.	44.512495	-88.328703                                                                                                            
80875	Shady Cove, OR Urban Cluster	C	6481172	249581	2.502	0.096	42.616985	-122.814044                                                                                                                   
80902	Shady Side--Deale, MD Urban Cluster	C	25499345	4488825	9.845	1.733	38.821809	-76.532808                                                                                                           
80929	Shafter, CA Urban Cluster	C	9950603	0	3.842	0.	35.496323	-119.277921                                                                                                                              
80956	Shallowater, TX Urban Cluster	C	4021536	0	1.553	0.	33.693835	-101.995006                                                                                                                          
80985	Shamokin--Mount Carmel, PA Urban Cluster	C	21204455	46416	8.187	0.018	40.80681	-76.559431                                                                                                         
