CSAFP	GEOID	NAME	CBSA_TYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                             
266	13660	Big Rapids, MI Micro Area	2	1437626843	41759538	     555.071	      16.123	 43.635295	 -85.332751                                                                                              
142	13820	Birmingham-Hoover, AL Metro Area	1	13675107149	232538326	    5279.989	      89.784	 33.462372	 -86.814338                                                                                     
292	13940	Blackfoot, ID Micro Area	2	5423127704	68447504	    2093.881	      26.428	 43.216357	-112.399206                                                                                               
145	14010	Bloomington, IL Metro Area	1	4094504732	27082489	    1580.897	      10.457	 40.405593	 -88.861307                                                                                             
144	14020	Bloomington, IN Metro Area	1	2019733549	50045972	     779.824	      19.323	 39.241736	 -86.671754                                                                                             
146	14100	Bloomsburg-Berwick, PA Metro Area	1	1588566913	23674272	     613.349	       9.141	 41.040404	 -76.461654                                                                                      
406	14220	Bogalusa, LA Micro Area	2	1734071719	16460917	     669.529	       6.356	 30.852144	 -90.046253                                                                                                
147	14260	Boise City, ID Metro Area	1	30472933785	175397532	   11765.666	      67.721	 43.006648	-116.141909                                                                                            
218	14340	Boone, IA Micro Area	2	1480356901	5364808	     571.569	       2.071	 42.038601	 -93.938363                                                                                                    
108	14420	Borger, TX Micro Area	2	2298404017	19511582	     887.419	       7.533	 35.837047	-101.362746                                                                                                  
148	14460	Boston-Cambridge-Newton, MA-NH Metro Area	1	9032882339	2654345192	    3487.616	    1024.848	 42.517606	 -71.021993                                                                            
216	14500	Boulder, CO Metro Area	1	1881212055	36592000	     726.340	      14.128	 40.094970	-105.397691                                                                                                 
150	14540	Bowling Green, KY Metro Area	1	4182605024	62139750	    1614.913	      23.992	 37.046821	 -86.397068                                                                                           
520	14700	Branson, MO Micro Area	2	2839860330	170786575	    1096.476	      65.941	 36.695008	 -93.223561                                                                                                
500	14740	Bremerton-Silverdale, WA Metro Area	1	1022895431	442827362	     394.942	     170.977	 47.639687	-122.649636                                                                                   
288	14780	Brenham, TX Micro Area	2	1564237466	46089329	     603.955	      17.795	 30.215075	 -96.410272                                                                                                 
120	14820	Brevard, NC Micro Area	2	980388876	5135255	     378.530	       1.983	 35.210079	 -82.816653                                                                                                   
408	14860	Bridgeport-Stamford-Norwalk, CT Metro Area	1	1618664455	548955210	     624.970	     211.953	 41.227413	 -73.367061                                                                            
298	15020	Brookhaven, MS Micro Area	2	1518059682	5305564	     586.126	       2.048	 31.535216	 -90.453566                                                                                               
154	15180	Brownsville-Harlingen, TX Metro Area	1	2307839892	998169935	     891.062	     385.396	 26.102923	 -97.478958                                                                                  
360	15340	Bucyrus, OH Micro Area	2	1040619677	2359515	     401.786	       0.911	 40.848524	 -82.924783                                                                                                  
160	15380	Buffalo-Cheektowaga-Niagara Falls, NY Metro Area	1	4053461568	2075804933	    1565.050	     801.473	 43.044371	 -78.777335                                                                     
268	15500	Burlington, NC Metro Area	1	1098038862	27933266	     423.955	      10.785	 36.043954	 -79.400573                                                                                              
122	15660	Calhoun, GA Micro Area	2	921538728	5787828	     355.808	       2.235	 34.509667	 -84.873862                                                                                                   
548	15680	California-Lexington Park, MD Metro Area	1	925648069	1053753865	     357.395	     406.857	 38.220289	 -76.530384                                                                              
548	15700	Cambridge, MD Micro Area	2	1400542045	1145386121	     540.752	     442.236	 38.429196	 -76.047433                                                                                             
198	15740	Cambridge, OH Micro Area	2	1352631185	15666075	     522.254	       6.049	 40.056665	 -81.497875                                                                                               
444	15860	Cañon City, CO Micro Area	2	3970640129	2235368	    1533.073	       0.863	 38.455170	-105.424958                                                                                               
426	15900	Canton, IL Micro Area	2	2241880791	43973316	     865.595	      16.978	 40.465240	 -90.202269                                                                                                  
184	15940	Canton-Massillon, OH Metro Area	1	2512120672	24803490	     969.935	       9.577	 40.711072	 -81.261474                                                                                        
162	15980	Cape Coral-Fort Myers, FL Metro Area	1	2031443679	1108606586	     784.345	     428.035	 26.551634	 -81.892509                                                                                 
164	16020	Cape Girardeau, MO-IL Metro Area	1	3708762131	72939838	    1431.961	      28.162	 37.325936	 -89.762639                                                                                       
456	16180	Carson City, NV Metro Area	1	374669606	32587484	     144.661	      12.582	 39.153060	-119.747379                                                                                              
168	16300	Cedar Rapids, IA Metro Area	1	5202686443	29083693	    2008.769	      11.229	 42.085603	 -91.630480                                                                                            
122	16340	Cedartown, GA Micro Area	2	803772833	4667496	     310.338	       1.802	 33.996015	 -85.188338                                                                                                 
338	16380	Celina, OH Micro Area	2	1197738408	28425902	     462.449	      10.975	 40.535333	 -84.632059                                                                                                  
476	16460	Centralia, IL Micro Area	2	1482442356	9487928	     572.374	       3.663	 38.648106	 -88.920488                                                                                                
500	16500	Centralia, WA Micro Area	2	6223223859	86636988	    2402.800	      33.451	 46.580071	-122.377444                                                                                               
548	16540	Chambersburg-Waynesboro, PA Metro Area	1	2000052119	1544300	     772.224	       0.596	 39.926685	 -77.724497                                                                                  
170	16620	Charleston, WV Metro Area	1	4520564666	32465412	    1745.400	      12.535	 38.283213	 -81.492557                                                                                              
172	16740	Charlotte-Concord-Gastonia, NC-SC Metro Area	1	13122824461	290855932	    5066.751	     112.300	 35.187295	 -80.867491                                                                         
174	16860	Chattanooga, TN-GA Metro Area	1	5410466556	126498051	    2088.993	      48.841	 35.049361	 -85.361158                                                                                         
176	16980	Chicago-Naperville-Elgin, IL-IN-WI Metro Area	1	18640180253	6168195319	    7197.014	    2381.554	 41.823521	 -87.828297                                                                       
198	17060	Chillicothe, OH Micro Area	2	1784987273	9938174	     689.187	       3.837	 39.323818	 -83.059581                                                                                              
178	17140	Cincinnati, OH-KY-IN Metro Area	1	10788684057	192334753	    4165.534	      74.261	 39.069458	 -84.427153                                                                                      
185	17380	Cleveland, MS Micro Area	2	2270314787	75742137	     876.573	      29.244	 33.799139	 -90.884120                                                                                               
174	17420	Cleveland, TN Metro Area	1	1977283659	26793316	     763.434	      10.345	 35.138129	 -84.655070                                                                                               
184	17460	Cleveland-Elyria, OH Metro Area	1	5174470870	5132075101	    1997.874	    1981.505	 41.760392	 -81.724217                                                                                      
209	17540	Clinton, IA Micro Area	2	1799830897	39514681	     694.919	      15.257	 41.898073	 -90.534243                                                                                                 
188	17580	Clovis, NM Micro Area	2	3638239993	8177773	    1404.732	       3.157	 34.572984	-103.346055                                                                                                   
434	17620	Coamo, PR Micro Area	2	202052316	38061	      78.013	       0.015	 18.103800	 -66.357586                                                                                                       
490	17640	Coco, PR Micro Area	2	179660999	115910576	      69.368	      44.753	 17.971485	 -66.262252                                                                                                    
518	17660	Coeur d'Alene, ID Metro Area	1	3222281604	185181742	    1244.130	      71.499	 47.677113	-116.694918                                                                                          
190	17860	Columbia, MO Metro Area	1	1775513856	14289182	     685.530	       5.517	 38.989861	 -92.310202                                                                                                
192	17900	Columbia, SC Metro Area	1	9590686398	339384218	    3702.985	     131.037	 34.084175	 -81.040597                                                                                               
194	17980	Columbus, GA-AL Metro Area	1	5014777653	61081469	    1936.217	      23.584	 32.436836	 -84.900879                                                                                             
294	18020	Columbus, IN Metro Area	1	1053850604	6814131	     406.894	       2.631	 39.205843	 -85.897999                                                                                                 
198	18140	Columbus, OH Metro Area	1	12423532141	138606167	    4796.753	      53.516	 39.968562	 -82.835911                                                                                              
148	18180	Concord, NH Micro Area	2	2419397118	57788836	     934.134	      22.312	 43.299485	 -71.680130                                                                                                 
458	18220	Connersville, IN Micro Area	2	556901540	366408	     215.021	       0.141	 39.639655	 -85.185032                                                                                               
236	18500	Corning, NY Micro Area	2	3601566799	34993606	    1390.573	      13.511	 42.266725	 -77.385525                                                                                                 
204	18580	Corpus Christi, TX Metro Area	1	4620109987	1599382636	    1783.835	     617.525	 27.898931	 -97.401236                                                                                        
206	18620	Corsicana, TX Micro Area	2	2614935760	197625966	    1009.632	      76.304	 32.048448	 -96.476909                                                                                              
296	18660	Cortland, NY Micro Area	2	1291815778	7112822	     498.773	       2.746	 42.594039	 -76.076240                                                                                                 
440	18700	Corvallis, OR Metro Area	1	1750843967	6738492	     676.005	       2.602	 44.493882	-123.424664                                                                                                
525	18780	Craig, CO Micro Area	2	12284800386	19803413	    4743.188	       7.646	 40.616358	-108.211099                                                                                                  
294	18820	Crawfordsville, IN Micro Area	2	1306954206	2144021	     504.618	       0.828	 40.040296	 -86.892715                                                                                           
142	18980	Cullman, AL Micro Area	2	1903376556	52118974	     734.898	      20.123	 34.131923	 -86.869267                                                                                                 
206	19100	Dallas-Fort Worth-Arlington, TX Metro Area	1	24035191870	922063119	    9280.040	     356.011	 32.822558	 -97.025133                                                                           
174	19140	Dalton, GA Metro Area	1	1644571669	7253399	     634.973	       2.801	 34.796922	 -84.856330                                                                                                   
380	19300	Daphne-Fairhope-Foley, AL Metro Area	1	4117584013	1133129224	    1589.808	     437.504	 30.659218	 -87.746067                                                                                 
209	19340	Davenport-Moline-Rock Island, IA-IL Metro Area	1	5878613363	114201813	    2269.745	      44.094	 41.391680	 -90.460076                                                                        
212	19380	Dayton, OH Metro Area	1	3320017376	21705383	    1281.866	       8.380	 39.828854	 -84.141813                                                                                                  
174	19420	Dayton, TN Micro Area	2	816823020	54463362	     315.377	      21.028	 35.600587	 -84.949552                                                                                                   
290	19460	Decatur, AL Metro Area	1	3289381161	119693420	    1270.037	      46.214	 34.489361	 -87.097147                                                                                                
258	19540	Decatur, IN Micro Area	2	878078799	2430642	     339.028	       0.938	 40.745733	 -84.936130                                                                                                   
422	19660	Deltona-Daytona Beach-Ormond Beach, FL Metro Area	1	4109094861	1079325613	    1586.530	     416.730	 29.178900	 -81.189023                                                                    
216	19740	Denver-Aurora-Lakewood, CO Metro Area	1	21615642000	147293259	    8345.846	      56.870	 39.434749	-104.901209                                                                                
217	19760	DeRidder, LA Micro Area	2	2997502171	21999001	    1157.342	       8.494	 30.645018	 -93.340253                                                                                                
218	19780	Des Moines-West Des Moines, IA Metro Area	1	7468132027	73435205	    2883.462	      28.353	 41.544860	 -93.943487                                                                              
220	19820	Detroit-Warren-Dearborn, MI Metro Area	1	10072892006	897203024	    3889.166	     346.412	 42.721848	 -83.200846                                                                               
221	19940	Dixon, IL Micro Area	2	1877371243	10599322	     724.857	       4.092	 41.747442	 -89.299351                                                                                                   
222	20020	Dothan, AL Metro Area	1	4444378744	33487986	    1715.984	      12.930	 31.245496	 -85.469171                                                                                                  
428	20100	Dover, DE Metro Area	1	1518565081	549102079	     586.321	     212.010	 39.097088	 -75.502982                                                                                                  
524	20180	DuBois, PA Micro Area	2	2964817439	23932649	    1144.722	       9.240	 41.000249	 -78.473749                                                                                                  
450	20380	Dunn, NC Micro Area	2	1540982455	16387527	     594.977	       6.327	 35.368635	 -78.871610                                                                                                    
206	20460	Durant, OK Micro Area	2	2342539526	102255715	     904.460	      39.481	 33.964004	 -96.264137                                                                                                 
450	20500	Durham-Chapel Hill, NC Metro Area	1	4553919062	142312593	    1758.278	      54.947	 35.995536	 -79.096990                                                                                     
548	20660	Easton, MD Micro Area	2	695511462	539408789	     268.538	     208.267	 38.748352	 -76.178480                                                                                                  
408	20700	East Stroudsburg, PA Metro Area	1	1575560089	23131029	     608.327	       8.931	 41.056240	 -75.329065                                                                                        
232	20740	Eau Claire, WI Metro Area	1	4263832586	104078617	    1646.275	      40.185	 44.938029	 -91.285538                                                                                             
233	20780	Edwards, CO Micro Area	2	4362874440	18843976	    1684.515	       7.276	 39.626992	-106.695169                                                                                                 
288	20900	El Campo, TX Micro Area	2	2813116863	21288266	    1086.151	       8.219	 29.278480	 -96.229674                                                                                                
545	21020	Elizabeth City, NC Micro Area	2	1850914333	554192255	     714.642	     213.975	 36.265184	 -76.260696                                                                                         
350	21060	Elizabethtown-Fort Knox, KY Metro Area	1	3082732343	72564897	    1190.250	      28.017	 37.732980	 -85.972171                                                                                 
515	21140	Elkhart-Goshen, IN Metro Area	1	1199614703	12423390	     463.174	       4.797	 41.600693	 -85.863986                                                                                          
236	21300	Elmira, NY Metro Area	1	1055038636	8874334	     407.353	       3.426	 42.155280	 -76.747179                                                                                                   
238	21340	El Paso, TX Metro Area	1	14461646726	7634538	    5583.673	       2.948	 31.527394	-105.521333                                                                                                 
222	21460	Enterprise, AL Micro Area	2	1758565487	3907876	     678.986	       1.509	 31.402258	 -85.989602                                                                                               
240	21500	Erie, PA Metro Area	1	2069952474	1965847842	     799.213	     759.018	 42.117952	 -80.096386                                                                                                  
106	21580	Española, NM Micro Area	2	15179502714	91455675	    5860.839	      35.311	 36.509669	-106.693983                                                                                               
390	21900	Fairmont, WV Micro Area	2	799642465	7186184	     308.744	       2.775	 39.505839	 -80.243402                                                                                                  
244	22020	Fargo, ND-MN Metro Area	1	7278667047	26517816	    2810.309	      10.239	 46.914859	 -96.960183                                                                                                
378	22060	Faribault-Northfield, MN Micro Area	2	1284223348	52062136	     495.841	      20.101	 44.350943	 -93.298503                                                                                    
476	22100	Farmington, MO Micro Area	2	1170437422	7160607	     451.908	       2.765	 37.810707	 -90.473868                                                                                               
246	22180	Fayetteville, NC Metro Area	1	2701923062	19282163	    1043.218	       7.445	 35.037956	 -78.982209                                                                                            
456	22280	Fernley, NV Micro Area	2	5183310353	59602530	    2001.287	      23.013	 39.022213	-119.197425                                                                                                 
248	22300	Findlay, OH Micro Area	2	1376210232	5959837	     531.358	       2.301	 41.000471	 -83.666034                                                                                                  
220	22420	Flint, MI Metro Area	1	1649729501	32693085	     636.964	      12.623	 43.021077	 -83.706372                                                                                                   
368	22620	Forrest City, AR Micro Area	2	1644111375	20049932	     634.795	       7.741	 35.014026	 -90.742138                                                                                            
217	22860	Fort Polk South, LA Micro Area	2	3439275943	35153783	    1327.912	      13.573	 31.110563	 -93.181520                                                                                         
258	23060	Fort Wayne, IN Metro Area	1	3524916106	18669917	    1360.978	       7.208	 41.006999	 -85.216424                                                                                              
320	23140	Frankfort, IN Micro Area	2	1049119208	461117	     405.067	       0.178	 40.305944	 -86.477567                                                                                                 
336	23180	Frankfort, KY Micro Area	2	1060818733	17337099	     409.584	       6.694	 38.120504	 -84.938336                                                                                               
466	23300	Freeport, IL Micro Area	2	1462175613	1385929	     564.549	       0.535	 42.349726	 -89.665994                                                                                                 
420	23340	Fremont, NE Micro Area	2	1369377419	36983845	     528.720	      14.280	 41.577008	 -96.645853                                                                                                 
260	23420	Fresno, CA Metro Area	1	15433278958	135402551	    5958.823	      52.279	 36.761006	-119.655019                                                                                                
273	23500	Gaffney, SC Micro Area	2	1016985344	11701051	     392.660	       4.518	 35.049796	 -81.607647                                                                                                 
264	23540	Gainesville, FL Metro Area	1	3172084250	257185419	    1224.749	      99.300	 29.677981	 -82.479971                                                                                            
122	23580	Gainesville, GA Metro Area	1	1017306098	94561948	     392.784	      36.511	 34.317588	 -83.818497                                                                                             
206	23620	Gainesville, TX Micro Area	2	2265775271	61333916	     874.821	      23.681	 33.639196	 -97.210343                                                                                             
456	23820	Gardnerville Ranchos, NV Micro Area	2	1838162296	72317570	     709.718	      27.922	 38.905129	-119.609019                                                                                    
396	23860	Georgetown, SC Micro Area	2	2107094125	572624603	     813.554	     221.092	 33.417531	 -79.296333                                                                                             
276	23900	Gettysburg, PA Metro Area	1	1343400048	7883930	     518.690	       3.044	 39.869471	 -77.217730                                                                                               
150	23980	Glasgow, KY Micro Area	2	2012906596	36263738	     777.188	      14.002	 36.967571	 -85.815497                                                                                                 
104	24020	Glens Falls, NY Metro Area	1	4398123501	205555420	    1698.125	      79.365	 43.440450	 -73.636757                                                                                            
233	24060	Glenwood Springs, CO Micro Area	2	10148533053	27895304	    3918.371	      10.770	 39.509542	-107.667311                                                                                       
104	24100	Gloversville, NY Micro Area	2	1283235709	96916405	     495.460	      37.420	 43.115609	 -74.423678                                                                                            
266	24340	Grand Rapids-Wyoming, MI Metro Area	1	6914641979	2930476628	    2669.758	    1131.463	 42.978632	 -85.811208                                                                                  
106	24380	Grants, NM Micro Area	2	11757111073	5799905	    4539.446	       2.239	 34.932050	-108.000374                                                                                                  
366	24420	Grants Pass, OR Metro Area	1	4246697356	5623906	    1639.659	       2.171	 42.386981	-123.571626                                                                                              
216	24540	Greeley, CO Metro Area	1	10326656276	76677079	    3987.144	      29.605	 40.553696	-104.394221                                                                                                
267	24580	Green Bay, WI Metro Area	1	4843697458	2534691724	    1870.162	     978.650	 44.473961	 -87.995926                                                                                             
521	24640	Greenfield Town, MA Micro Area	2	1811271672	65368074	     699.336	      25.239	 42.584504	 -72.591792                                                                                         
268	24660	Greensboro-High Point, NC Metro Area	1	5161864504	69081871	    1993.007	      26.673	 36.025204	 -79.792633                                                                                   
294	24700	Greensburg, IN Micro Area	2	964946213	1955471	     372.568	       0.755	 39.305980	 -85.499831                                                                                                
274	24780	Greenville, NC Metro Area	1	1687873422	8114836	     651.692	       3.133	 35.592965	 -77.373138                                                                                               
212	24820	Greenville, OH Micro Area	2	1549120892	4245786	     598.119	       1.639	 40.131542	 -84.621248                                                                                               
273	24860	Greenville-Anderson-Mauldin, SC Metro Area	1	7020898608	200411721	    2710.784	      77.379	 34.683709	 -82.413423                                                                            
273	24940	Greenwood, SC Micro Area	2	2448090456	74346297	     945.213	      28.705	 34.190755	 -82.296677                                                                                               
490	25020	Guayama, PR Metro Area	1	328148354	235862236	     126.699	      91.067	 17.981448	 -66.069988                                                                                                 
548	25180	Hagerstown-Martinsburg, MD-WV Metro Area	1	2017453322	25788393	     778.943	       9.957	 39.542152	 -77.899767                                                                               
406	25220	Hammond, LA Metro Area	1	2049504791	136674364	     791.318	      52.770	 30.621580	 -90.406633                                                                                                
546	25260	Hanford-Corcoran, CA Metro Area	1	3598582456	5468555	    1389.421	       2.111	 36.072478	-119.815530                                                                                         
448	25300	Hannibal, MO Micro Area	2	2348355014	55510742	     906.705	      21.433	 39.664115	 -91.579179                                                                                                
276	25420	Harrisburg-Carlisle, PA Metro Area	1	4200960995	108892326	    1622.000	      42.044	 40.335924	 -77.050475                                                                                    
277	25500	Harrisonburg, VA Metro Area	1	2244174568	11270557	     866.481	       4.352	 38.507585	 -78.885321                                                                                            
278	25540	Hartford-West Hartford-East Hartford, CT Metro Area	1	3923052184	238346847	    1514.699	      92.026	 41.718601	 -72.573942                                                                   
482	25720	Heber, UT Micro Area	2	3048429878	79148299	    1177.005	      30.559	 40.334884	-111.161568                                                                                                   
450	25780	Henderson, NC Micro Area	2	656633631	42196853	     253.528	      16.292	 36.365481	 -78.405434                                                                                                
280	25860	Hickory-Lenoir-Morganton, NC Metro Area	1	4240788334	75209737	    1637.378	      29.039	 35.814667	 -81.457067                                                                                
496	25980	Hinesville, GA Metro Area	1	2374380758	232029278	     916.754	      89.587	 31.778780	 -81.576470                                                                                             
266	26090	Holland, MI Micro Area	2	2137343989	2610850577	     825.233	    1008.055	 42.595787	 -86.634745                                                                                               
284	26300	Hot Springs, AR Metro Area	1	1755505406	147165424	     677.804	      56.821	 34.578861	 -93.146915                                                                                            
288	26420	Houston-The Woodlands-Sugar Land, TX Metro Area	1	21395340858	3064071034	    8260.788	    1183.044	 29.749593	 -95.353642                                                                     
104	26460	Hudson, NY Micro Area	2	1643936648	35063635	     634.728	      13.538	 42.247729	 -73.626806                                                                                                  
258	26540	Huntington, IN Micro Area	2	991056505	13133894	     382.649	       5.071	 40.826394	 -85.478597                                                                                               
170	26580	Huntington-Ashland, WV-KY-OH Metro Area	1	6546101845	91680146	    2527.464	      35.398	 38.373691	 -82.385193                                                                                
290	26620	Huntsville, AL Metro Area	1	3526349956	151144361	    1361.531	      58.357	 34.783262	 -86.734871                                                                                             
288	26660	Huntsville, TX Micro Area	2	3827524076	97529546	    1477.815	      37.656	 30.909844	 -95.369290                                                                                              
378	26780	Hutchinson, MN Micro Area	2	1272903790	36406719	     491.471	      14.057	 44.821644	 -94.272320                                                                                              
292	26820	Idaho Falls, ID Metro Area	1	13457009784	126025981	    5195.781	      48.659	 43.620536	-112.420842                                                                                           
430	26860	Indiana, PA Micro Area	2	2141999553	18812180	     827.031	       7.263	 40.651432	 -79.087545                                                                                                 
294	26900	Indianapolis-Carmel-Anderson, IN Metro Area	1	11153808785	88567120	    4306.510	      34.196	 39.744932	 -86.204541                                                                           
185	26940	Indianola, MS Micro Area	2	1807175369	23758961	     697.754	       9.173	 33.605529	 -90.595090                                                                                               
266	26960	Ionia, MI Micro Area	2	1479671935	22641047	     571.305	       8.742	 42.944650	 -85.073766                                                                                                   
168	26980	Iowa City, IA Metro Area	1	3063678109	28948927	    1182.893	      11.177	 41.517806	 -91.647930                                                                                               
296	27060	Ithaca, NY Metro Area	1	1229335864	43793070	     474.649	      16.909	 42.453003	 -76.473481                                                                                                  
298	27140	Jackson, MS Metro Area	1	12040471900	208508037	    4648.852	      80.505	 32.316001	 -90.220840                                                                                               
300	27260	Jacksonville, FL Metro Area	1	8293138571	1285729956	    3201.999	     496.423	 30.237105	 -81.755235                                                                                          
522	27300	Jacksonville, IL Micro Area	2	2123056101	13877698	     819.717	       5.358	 39.693950	 -90.285047                                                                                            
540	27380	Jacksonville, TX Micro Area	2	2727190094	23873001	    1052.974	       9.217	 31.843872	 -95.156345                                                                                            
357	27500	Janesville-Beloit, WI Metro Area	1	1859887390	20681629	     718.107	       7.985	 42.669880	 -89.075284                                                                                       
122	27600	Jefferson, GA Micro Area	2	879716380	8906549	     339.660	       3.439	 34.130888	 -83.562538                                                                                                 
