"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00088782","1990","27.70532","-82.40092","12.2","TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US","1959.8","","1959.8","Z","90","Z","66","Z","0","Z","0","Z","0","Z","349","Z","120","Z","2.8","Z,1211,","71.6",",Z,0528,","35.0","Z,0709,+","","","","","","","","","","","","","243.6","","243.6","Z","1069.1",",Z","23.28","Z","29.15","Z","17.42","Z"
"USC00088782","1991","27.70532","-82.40092","12.2","TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US","1976.3","","1976.3","Z","119","Z","74","Z","0","Z","2","Z","0","Z","331","Z","111","Z","-1.1","Z,0216,","78.2",",Z,0715,","35.0","Z,0719,","","","","","","","0.0","Z,0217","","","","","165.0","","165.0","Z","1243.6",",Z","23.14","Z","28.64","Z","17.63","Z"
"USC00088782","1992","27.70532","-82.40092","12.2","TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US","1666.9","","1666.9","Z","111","Z","76","Z","0","Z","1","Z","0","Z","329","Z","93","Z","-0.6","Z,0117,","98.6",",Z,0624,","35.0","Z,0709,+","","","","","","","-0.6","Z,0117","","","","","306.8","","306.8","Z","1488.3",",Z","22.10","Z","27.77","Z","16.44","Z"
"USC00088782","1996","27.70532","-82.40092","12.2","TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US","1714.2","","1714.2","Z","94","Z","62","Z","0","Z","4","Z","0","Z","323","Z","80","Z","-4.4","Z,0205,","90.2",",Z,0101,","35.6","Z,0728,+","","","","","","","0.0","Z,0309","-4.4","Z,0205","-4.4","Z,0205","","","","","1151.9",",Z","22.02","Z","27.68","Z","16.35","Z"
"USC00088782","1997","27.70532","-82.40092","12.2","TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US","1804.3","","1804.3","Z","119","Z","73","Z","0","Z","1","Z","0","Z","327","Z","79","Z","-2.8","Z,0119,","228.1",",Z,0926,","34.4","Z,0817,+","","","","","","","-2.8","Z,0119","-2.8","Z,0119","","","213.7","","213.7","Z","1818.5",",Z","22.67","Z","27.94","Z","17.40","Z"
"USC00088782","1998","27.70532","-82.40092","12.2","TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US","1958.7","","1958.7","Z","107","Z","65","Z","0","Z","0","Z","0","Z","322","Z","95","Z","2.8","Z,0313,+","89.9",",Z,0319,","36.1","Z,0623,","","","","","","","","","","","","","324.4","","324.4","Z","1375.2",",Z","23.06","Z","28.13","Z","17.98","Z"
"USC00088782","1999","27.70532","-82.40092","12.2","TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US","1737.9","","1737.9","Z","111","Z","67","Z","0","Z","1","Z","0","Z","334","Z","76","Z","-2.2","Z,0106,","68.6",",Z,0616,","35.6","Z,0813,","","","","","","","-2.2","Z,0106","-2.2","Z,0106","","","215.4","","215.4","Z","1074.0",",Z","22.41","Z","27.92","Z","16.89","Z"
"USC00088782","2001","27.70532","-82.40092","12.2","TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US","1761.2","","1761.2","Z","101","Z","70","Z","0","Z","5","Z","0","Z","328","Z","67","Z","-2.2","Z,0105,","194.1",",Z,0914,","34.4","Z,0901,+","","","","","","","-1.1","Z,0126","-2.2","Z,0105","","","411.7","","411.7","Z","1239.2",",Z","22.36","Z","27.79","Z","16.93","Z"
"USC00088782","2002","27.70532","-82.40092","12.2","TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US","1964.0","","1964.0","Z","115","Z","80","Z","0","Z","2","Z","0","Z","325","Z","99","Z","-1.1","Z,0105,","165.9",",Z,1231,","34.4","Z,0816,+","","","","","","","-1.1","Z,0105","","","","","245.2","","245.2","Z","1759.3",",Z","22.71","Z","28.17","Z","17.25","Z"
"USC00088782","2003","27.70532","-82.40092","12.2","TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US","1807.5","","1807.5","Z","125","Z","78","Z","0","Z","1","Z","0","Z","315","Z","59","Z","-2.8","Z,0124,","81.3",",Z,0621,","33.9","Z,0710,+","","","","","","","-2.8","Z,0124","-2.8","Z,0124","","","433.6","","433.6","Z","1561.3",",Z","22.17","Z","27.42","Z","16.91","Z"
"USC00088782","2004","27.70532","-82.40092","12.2","TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US","1699.3","","1699.3","Z","106","Z","68","Z","0","Z","0","Z","0","Z","320","Z","61","Z","0.6","Z,1227,+","119.4",",Z,0807,","35.0","Z,0710,","","","","","","","","","","","","","365.0","","365.0","Z","1677.4",",Z","22.03","Z","27.34","Z","16.72","Z"
"USC00088782","2005","27.70532","-82.40092","12.2","TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US","1687.4","","1687.4","Z","115","Z","71","Z","0","Z","1","Z","0","Z","315","Z","66","Z","-0.6","Z,0124,","84.8",",Z,1023,","35.0","Z,0819,+","","","","","","","-0.6","Z,0124","","","","","324.2","","324.2","Z","1278.7",",Z","21.99","Z","26.94","Z","17.04","Z"
"USC00088782","2006","27.70532","-82.40092","12.2","TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US","1832.9","","1832.9","Z","95","Z","67","Z","0","Z","1","Z","0","Z","333","Z","95","Z","-0.6","Z,0214,","117.9",",Z,0612,","35.0","Z,0829,+","","","","","","","-0.6","Z,0214","","","","","331.1","","331.1","Z","1296.9",",Z","22.57","Z","28.21","Z","16.94","Z"
"USC00088782","2007","27.70532","-82.40092","12.2","TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US","1963.1","","1963.1","Z","95","Z","52","Z","0","Z","0","Z","0","Z","337","Z","106","Z","0.6","Z,0217,","83.3",",Z,1005,","35.6","Z,0821,+","","","","","","","","","","","","","242.5","","242.5","Z","1065.3",",Z","23.06","Z","28.52","Z","17.60","Z"
"USC00088782","2008","27.70532","-82.40092","12.2","TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US","1829.8","","1829.8","Z","","","","","0","Z","1","Z","0","Z","333","Z","89","Z","-2.2","Z,0103,","","","36.7","Z,0606,","","","","","","","-2.2","Z,0103","-2.2","Z,0103","","","191.5","","191.5","Z","","","22.65","Z","28.23","Z","17.06","Z"
"USC00088782","2009","27.70532","-82.40092","12.2","TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US","","","","","","","","","","","","","0","Z","324","Z","107","Z","","","","","35.6","Z,0623,","","","","","","","","","","","","","339.6","","339.6","Z","","","","","28.28","Z","",""
"USC00088782","2010","27.70532","-82.40092","12.2","TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US","1899.9","","1899.9","Z","102","Z","65","Z","0","Z","10","Z","0","Z","297","Z","131","Z","-3.3","Z,0111,","62.0",",Z,0312,","36.7","Z,0613,","-1.1","Z,1214","","","","","-1.7","Z,0112","-3.3","Z,0111","","","","","","","1112.0",",Z","21.72","Z","27.27","Z","16.16","Z"
"USC00088782","2011","27.70532","-82.40092","12.2","TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US","1968.4","","1968.4","7","100","7","71","7","0","7","1","7","0","7","338","7","117","7","-1.1","7,0113,","107.2",",7,0809,","35.6","7,0730,+","","","","","","","-1.1","Z,0113","","","","","410.6","","410.6","7","1482.9",",7","23.10","7","28.69","7","17.51","7"
"USC00088782","2012","27.70532","-82.40092","12.2","TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US","1950.5","","1950.5","7","107","7","65","7","0","7","1","7","0","7","346","7","83","7","-0.6","7,0104,","104.1",",7,0624,","35.0","7,0809,+","","","","","","","-0.6","7,0104","","","","","148.2","","148.2","7","1225.3",",7","23.14","7","28.62","7","17.67","7"
"USC00088782","2013","27.70532","-82.40092","12.2","TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US","1987.9","","1987.9","7","119","7","71","7","0","7","0","7","0","7","340","7","98","7","1.1","7,0218,","103.4",",7,0404,","35.0","7,0905,+","","","","","","","","","","","","","263.9","","263.9","7","1425.8",",7","23.16","7","28.55","7","17.76","7"
"USC00088782","2014","27.70532","-82.40092","12.2","TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US","1872.1","","1872.1","7","121","7","71","7","0","7","0","7","0","7","320","7","114","7","1.7","7,0119,+","92.7",",7,0927,","36.1","7,0830,+","","","","","","","","","","","","","248.7","","248.7","7","1451.3",",7","22.58","7","27.92","7","17.23","7"
"USC00088782","2015","27.70532","-82.40092","12.2","TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US","2304.4","","2304.4","7","132","7","83","7","0","7","1","7","0","7","339","7","118","7","0.0","7,0220,","69.1",",7,0726,","36.1","7,0710,","","","","","","","0.0","7,0220","","","","","273.7","","273.7","7","1302.4",",7","24.11","7","29.25","7","18.97","7"
"USC00088782","2016","27.70532","-82.40092","12.2","TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US","2087.9","","2087.9","7","107","7","64","7","0","7","0","7","0","7","336","7","108","7","2.2","7,0125,","110.2",",7,0504,","36.1","7,0823,+","","","","","","","","","","","","","194.1","","194.1","7","1306.2",",7","23.47","7","28.78","7","18.16","7"
"USC00088782","2017","27.70532","-82.40092","12.2","TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US","2095.1","","2095.1","7","114","7","77","7","0","7","0","7","0","7","348","7","115","7","1.1","7,0108,","166.9",",7,0910,","36.1","7,0516,","","","","","","","","","","","","","113.5","","113.5","7","1467.6",",7","23.67","7","28.92","7","18.42","7"
