"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00024149","1958","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","","","539.1","","539.1","0","106","0","54","0","2","","2","0","0","0","67","0","2","0","153","0","63","0","-10.0","0,1117,","25",",0,1117,+","76",",0,1115,","20.6",",0,0717,","39.4","0,0810,+","-3.3","0,1024","-3.3","0,1024","-8.9","0,1116","-8.9","0,1116","-8.9","0,1116","-0.6","0,0327","-3.3","0,0314","-5.6","0,0311","-7.2","0,0106","","","2703.5","","2703.5","0","386.4",",0","134",",0","12.44","0","18.63","0","6.26","0","","","","","","","","","",""
"USW00024149","1959","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","","","296.4","","296.4","0","97","0","40","0","3","","2","0","0","0","109","0","12","0","117","0","31","0","-17.2","0,0104,","127",",0,1231,","122",",0,1230,","24.4",",0,0820,","42.8","0,0723,","-1.1","0,1001","-4.4","0,1104","-4.4","0,1104","-8.9","0,1112","-8.9","0,1112","-0.6","0,0414","-2.2","0,0407","-4.4","0,0213","-8.9","0,0121","-8.9","0,0121","2898.9","","2898.9","0","311.9",",0","260",",0","10.44","0","16.53","0","4.36","0","","","","","","","","","",""
"USW00024149","1960","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","","","375.5","","375.5","0","106","0","39","0","30","","7","0","1","0","106","0","31","0","142","0","39","0","-18.9","0,0119,","178",",0,0117,","114",",0,0111,","34.5",",0,0801,","42.2","0,0718,","-0.6","0,1009","-4.4","0,1104","-4.4","0,1104","-7.8","0,1206","-9.4","0,1208","0.0","0,0522","-2.8","0,0312","-6.1","0,0305","-7.2","0,0304","-10.6","0,0229","3320.3","","3320.3","0","322.1",",0","510",",0","10.53","0","16.78","0","4.27","0","","","","","","","","","",""
"USW00024149","1961","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","","","561.2","","561.2","0","112","0","47","0","19","","9","0","2","0","91","0","12","0","139","0","55","0","-19.4","0,1211,","254",",0,1126,","175",",0,1124,","17.8",",0,1124,","46.1","0,0804,","-0.6","0,1009","-3.9","0,1029","-5.6","0,1102","-8.9","0,1116","-8.9","0,1116","0.0","0,0420","-3.3","0,0405","-5.0","0,0304","-7.2","0,0303","-8.9","0,0128","2906.6","","2906.6","0","328.2",",0","721",",0","11.61","0","17.72","0","5.50","0","","","","","","","","","",""
"USW00024149","1962","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","","","317.7","","317.7","0","95","0","44","0","4","","2","0","2","0","77","0","16","0","124","0","31","0","-19.4","0,0121,","51",",0,0113,","46",",0,0112,","19.6",",0,0326,","38.3","0,0815,+","0.0","0,1115","-2.2","0,1128","-4.4","0,1213","-6.7","0,1223","-10.6","0,1224","-0.6","0,0330","-2.2","0,0329","-4.4","0,0313","-7.2","0,0302","-13.3","0,0227","3201.8","","3201.8","0","334.7",",0","169",",0","11.00","0","16.93","0","5.06","0","","","","","","","","","",""
"USW00024149","1963","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","","","419.4","","419.4","0","107","0","39","0","18","","7","0","3","0","92","0","23","0","150","0","40","0","-23.9","0,0111,","152",",0,0131,","74",",0,0131,","20.6",",0,0605,","37.2","0,0811,+","-1.1","0,1026","-2.2","0,1027","-5.0","0,1120","-7.2","0,1121","","","0.0","0,0419","-2.2","0,0316","-6.7","0,0202","-6.7","0,0202","-9.4","0,0131","2994.9","","2994.9","0","260.7",",0","424",",0","11.45","0","17.40","0","5.51","0","","","","","","","","","",""
"USW00024149","1964","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","","","263.3","","263.3","0","102","0","45","0","17","","8","0","2","0","105","0","8","0","129","0","22","0","-23.9","0,1217,","152",",0,1221,","191",",0,1220,","27.7",",0,0715,","40.6","0,0712,","0.0","0,1114","-4.4","0,1115","-4.4","0,1115","-10.0","0,1215","-10.0","0,1215","-1.1","0,0419","-3.3","0,0418","-4.4","0,0325","-7.2","0,0225","","","2904.2","","2904.2","0","376.4",",0","817",",0","10.44","0","16.29","0","4.59","0","","","","","","","","","",""
"USW00024149","1965","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","","","341.2","","341.2","0","96","0","38","0","27","","4","0","0","0","97","0","1","0","140","0","32","0","-11.1","0,0324,+","178",",0,0111,+","127",",0,0106,","19.1",",0,0106,","40.0","0,0801,","-2.2","0,0917","-2.2","0,0917","-6.1","0,1216","-8.3","0,1217","","","-1.1","0,0407","-2.2","0,0326","-5.0","0,0325","-11.1","0,0324","-11.1","0,0324","3076.4","","3076.4","0","289.7",",0","369",",0","11.39","0","17.53","0","5.25","0","","","","","","","","","",""
"USW00024149","1966","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","","","418.8","","418.8","0","93","0","39","0","8","","5","0","0","0","73","0","2","0","152","0","42","0","-8.9","0,0120,","305",",0,0103,","208",",0,0102,","21.1",",0,1115,","41.1","0,0824,","-1.1","0,1014","-2.2","0,1108","","","","","","","-6.7","0,0419","-6.7","0,0419","-6.7","0,0419","-6.7","0,0419","-8.9","0,0120","2774.9","","2774.9","0","254.2",",0","588",",0","11.99","0","18.19","0","5.79","0","","","","","","","","","",""
"USW00024149","1967","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","","","609.3","","609.3","0","98","0","34","0","8","","5","0","0","0","80","0","8","0","140","0","60","0","-14.4","0,1215,","76",",0,1219,","81",",0,1231,","32.3",",0,0621,","43.3","0,0712,","-2.8","0,1102","-2.8","0,1102","-4.4","0,1104","-7.2","0,1126","-11.1","0,1213","0.0","0,0501","-4.4","0,0312","-4.4","0,0312","","","","","2699.3","","2699.3","0","281.8",",0","310",",0","12.26","0","18.47","0","6.05","0","","","","","","","","","",""
"USW00024149","1968","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","","","387.1","","387.1","0","110","0","48","0","9","","7","0","3","0","78","0","11","0","128","0","36","0","-30.0","0,1230,","178",",0,1231,+","150",",0,1228,","18.8",",0,0827,","40.6","0,0728,+","0.0","0,1008","-2.8","0,1105","-4.4","0,1219","-8.9","0,1221","-8.9","0,1221","-1.7","0,0422","-2.2","0,0421","-4.4","0,0216","-6.7","0,0214","-9.4","0,0128","2762.3","","2762.3","0","361.1",",0","545",",0","11.43","0","17.19","0","5.68","0","","","","","","","","","",""
"USW00024149","1969","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","","","413.5","","413.5","0","101","0","42","0","45","","10","0","3","0","112","0","23","0","141","0","39","0","-18.9","0,0125,","229",",0,0201,","145",",0,0111,","32.3",",0,0609,","39.4","0,0823,","-3.3","0,1013","-3.3","0,1013","","","","","","","0.0","0,0503","-2.2","0,0324","-4.4","0,0313","-9.4","0,0202","-9.4","0,0202","3206.6","","3206.6","0","367.0",",0","818",",0","10.73","0","16.57","0","4.90","0","","","","","","","","","",""
"USW00024149","1970","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","","","502.5","","502.5","0","97","0","44","0","9","","6","0","0","0","98","0","10","0","122","0","54","0","-11.1","0,1222,+","76",",0,0118,+","81",",0,0117,","24.4",",0,0118,","39.4","0,0823,+","0.0","0,0914","-2.2","0,1030","-7.8","0,1121","-7.8","0,1121","-11.1","0,1122","-0.6","0,0417","-2.8","0,0413","-4.4","0,0111","-8.9","0,0107","-8.9","0,0107","2994.9","","2994.9","0","384.0",",0","346",",0","11.35","0","17.30","0","5.40","0","","","","","","","","","",""
"USW00024149","1971","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","","","460.2","","460.2","0","116","0","58","0","12","","9","0","0","0","95","0","13","0","132","0","46","0","-13.9","0,0105,","76",",0,0108,+","61",",0,0304,","17.5",",0,0901,","41.1","0,0801,","-1.7","0,1015","-2.2","0,1016","-7.8","0,1028","-7.8","0,1028","-8.9","0,1029","0.0","0,0419","-2.2","0,0319","-4.4","0,0317","-6.7","0,0302","-13.9","0,0105","3052.4","","3052.4","0","392.9",",0","490",",0","11.03","0","17.00","0","5.05","0","","","","","","","","","",""
"USW00024149","1972","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","","","434.6","","434.6","0","118","0","46","0","24","","6","0","5","0","85","0","27","0","136","0","45","0","-23.3","0,1209,","51",",0,1213,+","48",",0,0204,+","21.8",",0,1010,","41.1","0,0808,","0.0","0,1024","-2.2","0,1030","-4.4","0,1122","-7.2","0,1203","-15.0","0,1204","0.0","0,0501","-2.2","0,0419","-6.1","0,0205","-10.6","0,0204","-10.6","0,0204","3108.3","","3108.3","0","383.5",",0","342",",0","11.01","0","17.04","0","4.99","0","","","","","","","","","32.4","X"
"USW00024149","1973","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","","","532.8","","532.8","0","88","0","40","0","13","","5","0","1","0","84","0","9","0","140","0","55","0","-18.3","0,0108,","102",",0,1228,+","109",",0,0210,","27.7",",0,1031,","41.7","0,0622,","0.0","0,1003","-2.8","0,1102","-8.3","0,1230","-8.3","0,1230","-13.9","0,1231","0.0","0,0429","-3.3","0,0407","-6.1","0,0208","-15.6","0,0110","-15.6","0,0110","3041.5","","3041.5","0","314.7",",0","478",",0","12.00","0","18.23","0","5.76","0","","","","","","","","","21.6","X"
"USW00024149","1974","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","","","487.3","","487.3","0","86","0","25","0","14","","2","0","8","0","66","0","11","0","147","0","44","0","-22.2","0,0106,","152",",0,0112,+","76",",0,0130,","14.2",",0,0427,","38.9","0,0805,+","-0.6","0,1006","-2.2","0,1116","-6.1","0,1223","-7.8","0,1229","","","-0.6","0,0413","-2.8","0,0323","-4.4","0,0307","-11.7","0,0112","-11.7","0,0112","2898.6","","2898.6","0","218.0",",0","151",",0","11.87","0","18.04","0","5.70","0","","","","","","","","","",""
"USW00024149","1975","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","","","410.1","","410.1","0","121","0","49","0","16","","6","0","0","0","98","0","10","0","132","0","33","0","-12.2","0,0111,","127",",0,0208,","117",",0,0202,","22.1",",0,1207,+","41.1","0,0710,","-0.6","0,1024","-5.6","0,1118","-5.6","0,1118","-8.9","0,1129","-8.9","0,1129","0.0","0,0402","-3.3","0,0401","-7.2","0,0328","-7.2","0,0328","-9.4","0,0130","2980.7","","2980.7","0","387.1",",0","481",",0","10.98","0","16.56","0","5.41","0","","","","","","","","","24.7","X"
"USW00024149","1976","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","","","370.6","","370.6","0","90","0","31","0","0","","0","0","0","0","84","0","7","0","148","0","28","0","-12.8","0,0205,","0","T,0,0311,+","20",",0,0112,+","15.2",",0,0510,+","37.8","0,0901,+","0.0","0,1019","-2.8","0,1114","-7.2","0,1127","-7.2","0,1127","","","-1.1","0,0416","-2.2","0,0315","-4.4","0,0312","-8.3","0,0305","-9.4","0,0304","2923.0","","2923.0","0","255.7",",0","84",",0","11.61","0","17.59","0","5.63","0","","","","","","","","","24.2","X"
"USW00024149","1977","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","","","548.6","","548.6","0","107","0","49","0","18","","8","0","0","0","86","0","21","0","132","0","52","0","-15.0","0,1231,","178",",0,1123,","160",",0,1122,","22.6",",0,0830,","41.1","0,0818,","-1.7","0,1103","-2.2","0,1108","-6.1","0,1119","-9.4","0,1120","-9.4","0,1120","-0.6","0,0419","-2.8","0,0418","-4.4","0,0314","-10.6","0,0111","-10.6","0,0111","2784.6","","2784.6","0","312.4",",0","611",",0","11.66","0","17.29","0","6.03","0","","","","","","","","","26.7","X"
"USW00024149","1978","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","","","365.6","","365.6","0","120","0","44","0","25","","2","0","5","0","79","0","17","0","126","0","33","0","-20.0","0,1231,+","127",",0,0101,","79",",0,1119,","22.6",",0,0401,","40.6","0,0808,+","-1.1","0,1022","-2.8","0,1025","-6.7","0,1110","-6.7","0,1110","-11.7","0,1111","0.0","0,0413","-3.3","0,0304","-9.4","0,0103","-9.4","0,0103","-9.4","0,0103","2882.9","","2882.9","0","373.4",",0","351",",0","10.93","0","16.30","0","5.56","0","","","","","","","","","23.6","X"
"USW00024149","1979","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","","","524.5","","524.5","0","107","0","48","0","30","","6","0","6","0","85","0","34","0","156","0","51","0","-21.1","0,0101,","254",",0,0117,+","99",",0,0111,","17.0",",0,0504,","41.1","0,0720,","-1.7","0,1110","-2.8","0,1119","-6.1","0,1127","-7.2","0,1128","","","-0.6","0,0403","-2.2","0,0303","-6.7","0,0204","-6.7","0,0204","-11.7","0,0203","3442.9","","3442.9","0","309.2",",0","342",",0","11.29","0","17.07","0","5.51","0","","","","","","","","","21.1","X"
"USW00024149","1980","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","","","295.6","","295.6","0","118","0","51","0","12","","6","0","0","0","77","0","18","0","143","0","23","0","-16.1","0,0128,","356",",0,0111,+","175",",0,0109,","13.5",",0,0612,","41.7","0,0722,","-1.1","0,1023","-2.2","0,1112","-5.6","0,1116","-9.4","0,1208","-9.4","0,1208","-0.6","0,0402","-2.2","0,0325","-7.2","0,0216","-7.2","0,0216","-15.0","0,0130","2815.4","","2815.4","0","340.1",",0","614",",0","11.34","0","16.94","0","5.73","0","","","","","","","","","21.1","X"
"USW00024149","1981","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","","","428.0","","428.0","0","101","0","43","0","6","","3","0","0","0","68","0","8","0","122","0","44","0","-14.4","0,0210,","76",",0,1230,+","76",",0,1228,","20.8",",0,0706,","40.6","0,0813,","-0.6","0,1021","-2.2","0,1128","-4.4","0,1212","-6.7","0,1229","","","-0.6","0,0413","-3.3","0,0306","-9.4","0,0211","-9.4","0,0211","-9.4","0,0211","2708.0","","2708.0","0","361.2",",0","211",",0","11.85","0","17.68","0","6.02","0","","","","","","","","","25.7","X"
"USW00024149","1982","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","","","455.0","","455.0","0","118","0","42","0","23","","6","0","1","0","86","0","24","0","129","0","46","0","-20.0","0,0106,","102",",0,0107,+","74",",0,0111,","12.4",",0,0701,","40.6","0,0819,+","0.0","0,1018","-3.9","0,1112","-5.0","0,1114","-8.3","0,1124","-9.4","0,1231","0.0","0,0505","-2.2","0,0420","-4.4","0,0222","-11.1","0,0210","-11.1","0,0210","2997.6","","2997.6","0","317.1",",0","342",",0","11.07","0","16.74","0","5.39","0","","","","","","","","","26.7","X"
"USW00024149","1983","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","","","390.8","","390.8","0","120","0","47","0","16","","5","0","5","0","65","0","14","0","131","0","39","0","-26.7","0,1223,","102",",0,1228,+","66",",0,1218,","13.2",",0,0720,","40.6","0,0807,","-0.6","0,1107","-3.3","0,1122","-6.1","0,1130","-7.2","0,1201","-8.9","0,1219","-0.6","0,0414","-2.2","0,0413","-6.7","0,0205","-6.7","0,0205","-8.9","0,0102","2774.6","","2774.6","0","343.8",",0","307",",0","11.58","0","17.57","0","5.59","0","","","","","","","","","23.1","X"
"USW00024149","1984","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","2.4","X","430.4","","430.4","0","107","0","41","0","12","","5","0","0","0","86","0","16","0","126","0","47","0","-16.1","0,1219,","102",",0,1218,","71",",0,1212,","13.2",",0,0831,","42.8","0,0725,","0.0","0,1015","-2.2","0,1016","-4.4","0,1021","-7.2","0,1203","-8.9","0,1204","-0.6","0,0429","-3.9","0,0218","-5.6","0,0121","-11.1","0,0120","-11.1","0,0120","3019.9","","3019.9","0","284.4",",0","286",",0","11.17","0","17.08","0","5.27","0","","","","","","","","","23.1","X"
"USW00024149","1985","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","2.3","X","436.0","","436.0","0","82","0","29","0","39","","8","0","3","0","136","0","56","0","132","0","45","0","-18.3","0,1123,","178",",0,0209,","127",",0,0207,","21.8",",0,0529,","41.7","0,0709,","-0.6","0,0929","-2.8","0,1008","-5.0","0,1009","-6.7","0,1112","-16.1","0,1122","-0.6","0,0512","-2.8","0,0421","-5.6","0,0217","-6.7","0,0210","-10.6","0,0206","3225.5","","3225.5","0","244.5",",0","716",",0","9.56","0","15.27","0","3.84","0","","","","","","","","","25.7","X"
"USW00024149","1986","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","2.7","X","488.8","","488.8","0","100","0","43","0","3","","1","0","0","0","68","0","4","0","130","0","46","0","-10.0","0,1110,","25",",0,0215,+","33",",0,0214,","15.5",",0,0223,","39.4","0,0810,","-0.6","0,1102","-6.1","0,1109","-6.1","0,1109","-10.0","0,1110","-10.0","0,1110","0.0","0,0430","-6.7","0,0220","-6.7","0,0220","-6.7","0,0220","","","3276.8","","3276.8","0","268.5",",0","138",",0","12.00","0","17.70","0","6.31","0","","","","","","","","","22.1","X"
"USW00024149","1987","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","2.6","X","464.0","","464.0","0","77","0","29","0","11","","1","0","0","0","75","0","19","0","165","0","48","0","-14.4","0,0116,","51",",0,0118,+","58",",0,0114,","19.1",",0,0710,","38.3","0,0809,","-0.6","0,1019","-3.9","0,1117","-5.6","0,1130","-8.9","0,1225","-8.9","0,1225","0.0","0,0420","-5.0","0,0329","-5.0","0,0329","-7.8","0,0123","-9.4","0,0122","2766.8","","2766.8","0","231.6",",0","88",",0","12.39","0","18.53","0","6.24","0","","","","","","","","","23.6","X"
"USW00024149","1988","46.3747","-117.0156","437.7","LEWISTON NEZ PERCE CO AIRPORT, ID US","3.1","X","473.9","","473.9","0","94","0","34","0","18","","4","0","0","0","81","0","12","0","148","0","48","0","-11.1","0,1226,","127",",0,1114,","185",",0,1114,","21.3",",0,1114,","40.0","0,0824,","-1.7","0,1027","-2.8","0,1114","-7.8","0,1215","-7.8","0,1215","-11.1","0,1226","-1.7","0,0409","-2.2","0,0311","-5.0","0,0203","-8.3","0,0202","-9.4","0,0201","2757.7","","2757.7","0","265.0",",0","389",",0","12.09","0","18.14","0","6.05","0","","","","","","","","","22.6","X"
