"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00046197","1959","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","12","0","6","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","40.1",",0,1225,","","","","","71.4",",0","0",",0","","","","","",""
"USC00046197","1960","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","8","0","6","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","40.6",",0,0901,","","","","","84.5",",0","0",",0","","","","","",""
"USC00046197","1961","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","6","0","6","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","14.2",",0,0822,","","","","","49.2",",0","0",",0","","","","","",""
"USC00046197","1962","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","8","0","3","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","15.0",",0,0124,","","","","","34.8",",0","0",",0","","","","","",""
"USC00046197","1963","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","13","0","5","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","29.0",",0,0815,","","","","","84.1",",0","0",",0","","","","","",""
"USC00046197","1964","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","7","0","1","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","10.2",",0,1118,","","","","","18.8",",0","0",",0","","","","","",""
"USC00046197","1965","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","15","0","10","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","30.2",",0,0403,","","","","","89.0",",0","0",",0","","","","","",""
"USC00046197","1966","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","5","0","4","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","21.6",",0,1004,","","","","","36.6",",0","0",",0","","","","","",""
"USC00046197","1967","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","10","0","8","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","24.1",",0,0902,","","","","","87.9",",0","0",",0","","","","","",""
"USC00046197","1968","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","5","0","4","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","67.3",",0,0706,","","","","","117.4",",0","0",",0","","","","","",""
"USC00046197","1969","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","10","0","5","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","15.5",",0,0114,","","","","","52.0",",0","0",",0","","","","","",""
"USC00046197","1970","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","8","0","6","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","12.7",",0,0228,","","","","","38.9",",0","0",",0","","","","","",""
"USC00046197","1971","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","9","0","4","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","6.4",",0,1026,","","","","","24.9",",0","0",",0","","","","","",""
"USC00046197","1972","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","10","0","5","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","8.9",",0,1006,","","","","","42.9",",0","0",",0","","","","","",""
"USC00046197","1973","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","11","0","4","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","5.6",",0,0212,","","","","","20.1",",0","0",",0","","","","","",""
"USC00046197","1974","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","8","0","4","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","16.0",",0,1205,","","","","","50.6",",0","0",",0","","","","","",""
"USC00046197","1975","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","12","0","3","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","9.1",",0,0409,","","","","","32.8",",0","0",",0","","","","","",""
"USC00046197","1976","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","19","0","13","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","54.6",",0,0924,","","","","","193.9",",0","0",",0","","","","","",""
"USC00046197","1977","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","11","0","5","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","62.5",",0,0816,","","","","","114.6",",0","0",",0","","","","","",""
"USC00046197","1978","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","27","0","11","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","60.2",",0,1021,","","","","","164.4",",0","0",",0","","","","","",""
"USC00046197","1979","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","19","0","12","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","11.9",",0,0117,","","","","","83.3",",0","0",",0","","","","","",""
"USC00046197","1980","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","19","0","11","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","20.1",",0,0214,","","","","","128.5",",0","0",",0","","","","","",""
"USC00046197","1981","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","12","0","5","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","14.7",",0,0302,","","","","","43.0",",0","0",",0","","","","","",""
"USC00046197","1982","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","16","0","8","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","18.8",",0,0312,","","","","","81.6",",0","0",",0","","","","","",""
"USC00046197","1983","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","27","0","12","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","57.2",",0,0302,","","","","","205.3",",0","0",",0","","","","","",""
"USC00046197","1984","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","13","0","9","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","31.0",",0,0728,","","","","","124.4",",0","0",",0","","","","","",""
"USC00046197","1985","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","","","","","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","","","","","","","","","0",",0","","","","","",""
"USC00046197","1987","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","19","0","6","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","23.6",",0,1031,","","","","","65.7",",0","0",",0","","","","","",""
"USC00046197","1988","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","9","0","5","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","14.5",",0,0203,","","","","","38.2",",0","0",",0","","","","","",""
"USC00046197","1989","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","5","0","3","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","21.8",",0,0104,","","","","","31.5",",0","0",",0","","","","","",""
"USC00046197","1990","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","11","0","4","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","17.0",",0,0903,","","","","","46.5",",0","0",",0","","","","","",""
"USC00046197","1991","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","16","0","11","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","15.7",",0,0104,","","","","","84.6",",0","0",",0","","","","","",""
"USC00046197","1992","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","25","0","16","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","30.2",",0,0326,","","","","","178.2",",0","0",",0","","","","","",""
"USC00046197","1994","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","17","0","10","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","17.5",",0,1225,","","","","","72.4",",0","0",",0","","","","","",""
"USC00046197","1995","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","15","0","6","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","17.8",",0,0104,","","","","","69.0",",0","0",",0","","","","","",""
"USC00046197","1996","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","6","0","0","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","2.0",",0,1122,","","","","","7.9",",0","0",",0","","","","","",""
"USC00046197","1997","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","12","0","6","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","21.1",",0,0924,","","","","","67.4",",0","0",",0","","","","","",""
"USC00046197","1999","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","7","0","4","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","33.0",",0,0712,","","","","","46.8",",0","0",",0","","","","","",""
"USC00046197","2000","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","7","0","3","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","14.0",",0,0622,","","","","","24.2",",0","0",",0","","","","","",""
"USC00046197","2001","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","14","0","4","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","12.2",",0,0226,","","","","","41.0",",0","0",",0","","","","","",""
"USC00046197","2002","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","5","0","2","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","9.1",",0,0907,","","","","","20.4",",0","0",",0","","","","","",""
"USC00046197","2003","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","10","0","5","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","14.0",",0,0212,","","","","","47.6",",0","0",",0","","","","","",""
"USC00046197","2004","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","15","0","10","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","28.7",",0,0222,","","","","","132.9",",0","0",",0","","","","","",""
"USC00046197","2011","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","7","7","5","7","","","","","","","","","","","","","","","","","","","","","17.8",",7,0219,","","","","","36.7",",7","","","","","","","",""
"USC00046197","2013","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","12","7","5","7","","","","","","","","","","","","","","","","","","","","","14.7",",7,0825,+","","","","","45.2",",7","","","","","","","",""
"USC00046197","2014","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","7","7","4","7","","","","","","","","","","","","","","","","","","","","","6.9",",7,0821,","","","","","21.4",",7","","","","","","","",""
"USC00046197","2015","33.2775","-115.5239","-18.3","NILAND, CA US","","","","","12","7","4","7","","","","","","","","","","","","","","","","","","","","","11.4",",7,0516,","","","","","38.1",",7","","","","","","","",""
