"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00003125","1968","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2213.0","","2213.0","0","12","0","4","0","0","","0","0","0","0","5","0","0","0","311","0","159","0","-3.3","0,1222,","0",",0,1231,+","0",",0,1231,+","11.2",",0,0213,","46.1","0,0621,+","-1.7","0,1221","-3.3","0,1222","","","","","","","481.1","","481.1","0","31.0",",0","0",",0","22.94","0","30.38","0","15.50","0","","","",""
"USW00003125","1969","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2311.1","","2311.1","0","25","0","6","0","0","","0","0","0","0","2","0","0","0","301","0","159","0","-0.6","0,0130,","0",",0,1231,+","0",",0,1231,+","24.1",",0,1110,","46.1","0,0822,+","0.0","0,1231","","","-0.6","0,0130","","","","","614.9","","614.9","0","100.5",",0","0",",0","23.18","0","30.16","0","16.20","0","","","",""
"USW00003125","1970","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","","","","","12","0","7","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","24.4",",0,0301,","","","","","","","","","","","","","","","","","84.6",",0","0",",0","","","","","","","","","",""
"USW00003125","1971","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2097.7","","2097.7","0","12","0","4","0","0","","0","0","0","0","11","0","0","0","296","0","152","0","-5.0","0,0108,","0",",0,1231,+","0",",0,1231,+","35.8",",0,0929,","45.6","0,0912,","-0.6","0,1209","","","-2.8","0,0110","-2.8","0,0110","-5.0","0,0108","594.8","","594.8","0","62.0",",0","0",",0","22.08","0","29.42","0","14.73","0","","","",""
"USW00003125","1972","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2292.6","","2292.6","0","13","0","5","0","0","","0","0","0","0","8","0","0","0","312","0","184","0","-2.8","0,0106,","0",",0,1231,+","0",",0,1231,+","76.7",",0,1006,","46.7","0,0704,","-2.2","0,1212","-2.2","0,1212","0.0","0,0110","-2.8","0,0106","","","664.6","","664.6","0","140.2",",0","0",",0","22.83","0","30.36","0","15.30","0","","","",""
"USW00003125","1973","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2190.3","","2190.3","0","20","0","10","0","0","","0","0","0","0","3","0","0","0","291","0","178","0","-2.8","0,0107,","0",",0,1231,+","0",",0,1231,+","22.1",",0,0816,","45.6","0,0607,","","","","","-1.1","0,0121","-2.8","0,0107","","","750.2","","750.2","0","94.1",",0","0",",0","22.49","0","30.28","0","14.70","0","","","",""
"USW00003125","1974","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2344.5","","2344.5","0","17","0","7","0","0","","0","0","0","0","7","0","0","0","307","0","182","0","-4.4","0,0103,","0",",0,1231,+","0",",0,1231,+","8.1",",0,0107,","47.2","0,0627,","-0.6","0,1211","","","0.0","0,0130","-4.4","0,0103","-4.4","0,0103","561.4","","561.4","0","44.6",",0","0",",0","23.05","0","30.83","0","15.26","0","","","",""
"USW00003125","1975","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2095.3","","2095.3","0","18","0","10","0","0","","0","0","0","0","3","0","0","0","296","0","153","0","-0.6","0,0104,","0",",0,1231,+","0","T,0,0311,","19.1",",0,0906,","46.7","0,0804,","","","","","0.0","0,0105","","","","","703.7","","703.7","0","80.4",",0","0","T,0","22.18","0","30.14","0","14.23","0","","","",""
"USW00003125","1976","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2103.4","","2103.4","0","27","0","16","0","0","","0","0","0","0","7","0","0","0","319","0","164","0","-3.3","0,0101,","0",",0,1231,+","0",",0,1231,+","15.7",",0,0910,+","46.7","0,0627,","-0.6","0,1129","","","0.0","0,0102","-3.3","0,0101","","","542.5","","542.5","0","150.7",",0","0",",0","22.58","0","30.39","0","14.76","0","","","",""
"USW00003125","1977","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2279.5","","2279.5","0","22","0","7","0","0","","0","0","0","0","2","0","0","0","322","0","168","0","-0.6","0,0110,","0",",0,1231,+","0",",0,1231,+","14.7",",0,0816,","46.1","0,0629,","","","","","0.0","0,0113","","","","","593.0","","593.0","0","66.0",",0","0",",0","23.27","0","31.13","0","15.40","0","","","",""
"USW00003125","1978","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","354.8","","354.8","0","","","","","","","","","","","","","",""
"USW00003125","1980","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2259.7","","2259.7","0","","","","","0","","0","0","0","0","0","0","0","0","340","0","168","0","1.1","0,0105,","0",",0,1231,+","0",",0,1231,+","","","47.2","0,0716,","","","","","","","","","","","","","","","","","0",",0","23.58","0","31.54","0","15.62","0","","","",""
"USW00003125","1981","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2445.0","","2445.0","0","8","0","7","0","0","","0","0","0","0","0","0","0","0","330","0","175","0","1.7","0,1224,","0",",0,1231,+","0",",0,1231,+","18.3",",0,1128,","47.8","0,0827,","","","","","","","","","","","329.7","","329.7","0","61.9",",0","0",",0","24.06","0","31.80","0","16.32","0","","","",""
"USW00003125","1982","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2020.0","","2020.0","0","","","","","","","","","0","0","0","0","0","0","290","0","161","0","1.1","0,0123,","","","","","","","45.6","0,0902,","","","","","","","","","","","460.1","","460.1","0","","","","","22.34","0","29.64","0","15.05","0","","","",""
"USW00003125","1983","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2200.5","","2200.5","0","29","0","12","0","0","","0","0","0","0","1","0","0","0","312","0","153","0","0.0","0,0104,","0",",0,1231,+","0",",0,1231,+","33.5",",0,0831,","47.2","0,0528,","","","","","0.0","0,0104","","","","","530.9","","530.9","0","135.1",",0","0",",0","23.08","0","30.21","0","15.96","0","","","",""
"USW00003125","1984","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2265.3","","2265.3","0","28","0","12","0","","","0","0","0","0","0","0","0","0","306","0","162","0","1.1","0,1215,","","","0",",0,1231,+","44.5",",0,0819,","46.1","0,0830,","","","","","","","","","","","414.7","","414.7","0","163.5",",0","0",",0","23.17","0","30.36","0","15.97","0","","","",""
"USW00003125","1985","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2323.1","","2323.1","0","21","0","8","0","","","0","0","0","0","2","0","0","0","299","0","168","0","-0.6","0,0201,","","","0",",0,1231,+","31.0",",0,1125,","47.8","0,0824,","0.0","0,1213","","","-0.6","0,0201","","","","","604.8","","604.8","0","90.1",",0","0",",0","22.93","0","30.23","0","15.63","0","","","",""
"USW00003125","1986","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2275.6","","2275.6","0","21","0","9","0","0","","0","0","0","0","0","0","0","0","326","0","174","0","1.1","0,1213,+","0",",0,1231,+","0",",0,1231,+","21.8",",0,0721,","46.1","0,0731,+","","","","","","","","","","","450.3","","450.3","0","84.3",",0","0",",0","23.58","0","31.11","0","16.06","0","","","",""
"USW00003125","1987","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2359.3","","2359.3","0","21","0","9","0","0","","0","0","0","0","7","0","0","0","308","0","178","0","-2.2","0,1227,+","0",",0,1231,+","0",",0,1231,+","22.6",",0,1217,","45.6","0,0831,","-2.2","0,1215","-2.2","0,1215","-0.6","0,0122","-2.2","0,0118","","","516.4","","516.4","0","90.5",",0","0",",0","23.17","0","30.58","0","15.75","0","","","",""
"USW00003125","1988","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2429.1","","2429.1","0","17","0","7","0","0","","0","0","0","0","5","0","0","0","308","0","187","0","-1.7","0,1230,","0",",0,1231,+","0",",0,1231,+","19.8",",0,0117,","45.0","0,0623,","-1.1","0,1228","","","0.0","0,0121","","","","","557.3","","557.3","0","52.9",",0","0",",0","23.61","0","31.18","0","16.05","0","","","",""
"USW00003125","1989","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2609.8","","2609.8","0","6","0","4","0","0","","0","0","0","0","2","0","0","0","315","0","196","0","-1.7","0,0101,","0",",0,1231,+","0",",0,1231,+","61.0",",0,0809,","45.6","0,0719,+","-1.1","0,1213","","","-1.7","0,0101","","","","","500.5","","500.5","0","105.8",",0","0",",0","24.21","0","32.03","0","16.40","0","","","",""
"USW00003125","1990","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2475.4","","2475.4","0","21","0","6","0","0","","0","0","0","0","8","0","0","0","306","0","185","0","-3.9","0,1226,","0",",0,1231,+","0",",0,1231,+","21.3",",0,0827,","49.4","0,0626,","-0.6","0,1218","-2.8","0,1223","0.0","0,0217","-3.3","0,0215","","","521.4","","521.4","0","70.9",",0","0",",0","23.41","0","30.97","0","15.85","0","","","",""
"USW00003125","1991","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2312.3","","2312.3","0","21","0","10","0","0","","0","0","0","0","4","0","0","0","303","0","169","0","-0.6","0,1202,+","0",",0,1231,+","0",",0,1231,+","35.1",",0,0904,","44.4","0,0701,","-0.6","0,1202","","","0.0","0,0131","","","","","508.2","","508.2","0","106.7",",0","0",",0","23.43","0","30.76","0","16.10","0","","","",""
"USW00003125","1992","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2505.9","","2505.9","0","32","0","21","0","0","","0","0","0","0","1","0","0","0","296","0","187","0","0.0","0,1217,","0",",0,1231,+","0",",0,1231,+","43.7",",0,0823,","46.1","0,0718,","0.0","0,1217","","","","","","","","","413.1","","413.1","0","261.1",",0","0",",0","23.84","0","31.08","0","16.61","0","","","",""
"USW00003125","1993","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2443.4","","2443.4","0","23","0","14","0","0","","0","0","0","0","1","0","0","0","299","0","180","0","-1.1","0,0104,","0",",0,1231,+","0",",0,1231,+","20.6",",0,1114,","47.2","0,0801,","","","","","-1.1","0,0104","","","","","526.5","","526.5","0","153.2",",0","0",",0","23.77","0","31.16","0","16.37","0","","","",""
"USW00003125","1994","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2531.9","","2531.9","0","23","0","8","0","0","","0","0","0","0","3","0","0","0","304","0","174","0","-1.7","0,1120,","0",",0,1231,+","0",",0,1231,+","15.5",",0,1225,","47.8","0,0625,","-1.7","0,1120","","","","","","","","","475.6","","475.6","0","72.0",",0","0",",0","23.70","0","31.20","0","16.19","0","","","",""
"USW00003125","1995","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2569.2","","2569.2","0","15","0","5","0","0","","0","0","0","0","0","0","0","0","326","0","175","0","2.2","0,1219,","0",",0,1231,+","0",",0,1231,+","8.9",",0,0418,","51.1","0,0728,","","","","","","","","","","","483.8","","483.8","0","38.5",",0","0",",0","24.54","0","32.07","0","17.02","0","","","",""
"USW00003125","1996","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2673.5","","2673.5","0","8","0","2","0","0","","0","0","0","0","3","0","0","0","327","0","188","0","-0.6","0,1220,+","0",",0,1231,+","0",",0,1231,+","7.6",",0,0907,","47.2","0,0731,","0.0","0,1201","","","","","","","","","296.5","","296.5","0","16.3",",0","0",",0","24.58","0","32.24","0","16.93","0","","","",""
"USW00003125","1997","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2558.7","","2558.7","0","20","0","10","0","0","","0","0","0","0","1","0","0","0","312","0","188","0","-1.1","0,0108,","0",",0,1231,+","0",",0,1231,+","26.2",",0,0722,","45.6","0,0805,+","","","","","-1.1","0,0108","","","","","434.0","","434.0","0","148.6",",0","0",",0","24.08","0","31.37","0","16.78","0","","","",""
"USW00003125","1998","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","589.2","","589.2","0","","","","","","","","","","","","","",""
"USW00003125","1999","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2372.6","","2372.6","0","16","0","8","0","0","","0","0","0","0","0","0","0","0","330","0","182","0","1.7","0,1209,","0",",0,1231,+","0",",0,1231,+","14.5",",0,0204,","45.0","0,0701,","","","","","","","","","","","","","","","68.5",",0","0",",0","23.53","0","31.19","0","15.87","0","","","",""
"USW00003125","2000","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2518.4","","2518.4","0","8","0","4","0","0","","0","0","0","0","0","0","0","0","330","0","178","0","1.1","0,1116,","0",",0,1231,+","0",",0,1231,+","15.7",",0,1022,","46.7","0,0719,+","","","","","","","","","","","365.4","","365.4","0","36.9",",0","0",",0","24.02","0","31.44","0","16.59","0","","","",""
"USW00003125","2001","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2670.2","","2670.2","0","22","0","10","0","0","","0","0","0","0","2","0","0","0","286","0","192","0","-0.6","0,1217,+","0",",0,1231,+","0",",0,1231,+","29.7",",0,0306,","46.7","0,0702,","-0.6","0,1214","","","","","","","","","597.3","","597.3","0","110.2",",0","0",",0","23.97","0","31.35","0","16.59","0","","","",""
"USW00003125","2002","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2453.0","","2453.0","0","5","0","0","0","0","","0","0","0","0","3","0","0","0","317","0","173","0","-0.6","0,0203,","0",",0,1231,+","0",",0,1231,+","2.0",",0,0908,","45.0","0,0901,+","0.0","0,1224","","","-0.6","0,0203","","","","","543.9","","543.9","0","4.9",",0","0",",0","23.64","0","31.40","0","15.88","0","","","",""
"USW00003125","2003","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2530.8","","2530.8","0","19","0","8","0","0","","0","0","0","0","1","0","0","0","318","0","172","0","0.0","0,1229,","0",",0,1231,+","0",",0,1231,+","21.1",",0,0225,","46.7","0,0714,","0.0","0,1229","","","","","","","","","379.5","","379.5","0","91.7",",0","0",",0","24.17","0","31.41","0","16.93","0","","","",""
"USW00003125","2004","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2521.1","","2521.1","0","23","0","15","0","0","","0","0","0","0","0","0","0","0","291","0","189","0","0.6","0,1225,+","0",",0,1231,+","0",",0,1231,+","34.8",",0,1205,","44.4","0,0808,+","","","","","","","","","","","511.8","","511.8","0","184.5",",0","0",",0","23.71","0","30.82","0","16.60","0","","","",""
"USW00003125","2005","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2423.7","","2423.7","0","21","0","10","0","0","","0","0","0","0","3","0","0","0","307","0","178","0","-1.1","0,1216,","0",",0,1231,+","0",",0,1231,+","25.4",",0,0211,","48.3","0,0717,","0.0","0,1207","","","","","","","","","511.7","","511.7","0","135.8",",0","0",",0","23.73","0","31.12","0","16.34","0","","","",""
"USW00003125","2006","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2516.4","","2516.4","0","11","0","6","0","0","","0","0","0","0","2","0","0","0","317","0","170","0","-1.7","0,1221,","0",",0,1231,+","0",",0,1231,+","17.8",",0,0809,","47.8","0,0722,+","0.0","0,1220","","","","","","","","","474.5","","474.5","0","46.5",",0","0",",0","23.86","0","31.65","0","16.06","0","","","",""
"USW00003125","2007","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2581.2","","2581.2","0","12","0","2","0","0","","0","0","0","0","5","0","0","0","305","0","189","0","-4.4","0,0114,","0",",0,1231,+","0",",0,1231,+","16.0",",0,1130,","46.7","0,0901,+","","","","","-2.2","0,0118","-2.2","0,0118","-4.4","0,0114","524.8","","524.8","0","30.4",",0","0",",0","23.88","0","31.57","0","16.18","0","","","",""
"USW00003125","2010","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2302.5","","2302.5","0","20","0","9","0","0","","0","0","0","0","2","0","0","0","308","0","165","0","-0.6","0,1231,","0",",0,1231,+","0",",0,1231,+","60.2",",0,0121,","46.1","0,0824,","0.0","0,1127","","","","","","","","","","","","","170.7",",0","0",",0","23.25","0","30.46","0","16.04","0","","","",""
"USW00003125","2011","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2514.1","","2514.1","7","19","7","8","7","","","","","0","7","4","7","0","7","299","7","170","7","-3.3","7,0204,+","","","","","11.2",",7,1112,+","48.3","7,0702,","","","","","-3.3","K,0204","-3.3","K,0204","","","554.7","","554.7","7","65.0",",7","","","23.48","7","30.89","7","16.08","7","","","",""
"USW00003125","2012","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2660.7","","2660.7","7","18","7","6","7","","","","","0","7","0","7","0","7","327","7","194","7","2.2","7,1229,+","","","","","16.0",",7,0730,","46.7","7,0813,+","","","","","","","","","","","499.0","","499.0","7","46.3",",7","","","24.48","7","32.15","7","16.81","7","","","",""
"USW00003125","2013","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2609.7","","2609.7","7","22","7","8","7","","","","","0","7","2","7","0","7","311","7","192","7","-2.2","7,0113,","","","","","35.6",",7,1122,","48.3","7,0628,","","","","","-2.2","7,0113","-2.2","7,0113","","","482.9","","482.9","7","97.0",",7","","","24.04","7","31.63","7","16.44","7","","","",""
"USW00003125","2014","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2765.8","","2765.8","7","17","7","6","7","","","","","0","7","2","7","0","7","343","7","206","7","-0.6","7,1229,","","","","","51.8",",7,0909,","48.9","7,0723,","0.0","7,1228","","","","","","","","","309.1","","309.1","7","106.2",",7","","","25.16","7","33.04","7","17.27","7","","","",""
"USW00003125","2015","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2784.4","","2784.4","7","16","7","8","7","","","","","0","7","5","7","0","7","328","7","187","7","-3.3","7,0101,","","","","","18.0",",7,1115,","47.8","7,0815,","0.0","7,1217","","","-2.2","7,0103","-2.2","7,0103","","","273.0","","273.0","7","66.6",",7","","","24.93","7","32.41","7","17.45","7","","","",""
"USW00003125","2016","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2764.3","","2764.3","7","16","7","8","7","","","","","0","7","0","7","0","7","321","7","200","7","1.1","7,0101,","","","","","9.7",",7,1222,","48.9","7,0619,","","","","","","","","","","","438.1","","438.1","7","52.8",",7","","","24.84","7","32.29","7","17.38","7","","","",""
"USW00003125","2017","32.8356","-114.3942","98.8","YUMA PROVING GROUND, AZ US","2706.3","","2706.3","7","14","7","5","7","","","","","0","7","0","7","0","7","317","7","193","7","1.1","7,1223,+","","","","","20.6",",7,0218,","49.4","7,0620,","","","","","","","","","","","400.2","","400.2","7","61.7",",7","","","24.76","7","32.08","7","17.44","7","","","",""
