"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"RQW00011630","1971","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","","","2953.0","","2953.0","X","207","X","102","X","0","","0","X","0","X","0","X","0","X","365","X","12","X","18.9","X,1219,+","0",",X,1231,+","0",",X,1231,+","56.4",",X,0824,","32.8","X,0730,","0.0","","0.0","X","1198.0",",X","0",",X","26.42","X","29.60","X","23.23","X","","","",""
"RQW00011630","1972","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","","","2916.5","","2916.5","0","195","0","91","0","0","","0","0","0","0","0","0","0","0","366","0","0","0","18.9","0,1231,+","0",",0,1231,+","0",",0,1231,+","62.7",",0,1021,","31.7","0,0821,","0.0","","0.0","0","915.0",",0","0",",0","26.30","0","29.18","0","23.42","0","110","X","17.5","X"
"RQW00011630","1973","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","","","2859.6","","2859.6","0","186","0","69","0","0","","0","0","0","0","0","0","0","0","365","0","12","0","16.1","0,0211,","0",",0,1231,+","0",",0,1231,+","78.0",",0,1011,","32.8","0,0829,+","0.0","","0.0","0","859.3",",0","0",",0","26.15","0","29.27","0","23.04","0","20","X","15.9","X"
"RQW00011630","1974","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","","","2976.5","","2976.5","0","197","0","97","0","0","","0","0","0","0","0","0","0","0","365","0","4","0","18.9","0,0314,+","0",",0,1231,+","0",",0,1231,+","213.6",",0,1024,","32.8","0,0827,+","0.0","","0.0","0","1724.2",",0","0",",0","26.48","0","29.32","0","23.64","0","","","",""
"RQW00011630","1975","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","","","2940.9","","2940.9","0","202","0","111","0","0","","0","0","0","0","0","0","0","0","365","0","9","0","17.8","0,0502,+","0",",0,1231,+","0",",0,1231,+","173.5",",0,0916,","32.8","0,0926,+","0.0","","0.0","0","1572.8",",0","0",",0","26.38","0","29.51","0","23.26","0","","","",""
"RQW00011630","1976","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","","","2943.3","","2943.3","0","206","0","98","0","0","","0","0","0","0","0","0","0","0","366","0","10","0","17.2","0,0418,+","0",",0,1231,+","0",",0,1231,+","70.6",",0,0801,","32.8","0,0823,","0.0","","0.0","0","1127.6",",0","0",",0","26.37","0","29.50","0","23.24","0","","","",""
"RQW00011630","1977","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","","","3107.1","","3107.1","X","219","X","107","X","0","","0","X","0","X","0","X","0","X","365","X","10","X","18.3","X,0218,","0",",X,1231,+","0",",X,1231,+","167.4",",X,1007,","32.2","X,0930,+","0.0","","0.0","X","1541.6",",X","0",",X","26.84","X","30.09","X","23.58","X","","","",""
"RQW00011630","1978","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","","","2974.8","","2974.8","X","202","X","109","X","0","","0","X","0","X","0","X","0","X","365","X","4","X","18.3","X,0215,","0",",X,1231,+","0",",X,1231,+","137.9",",X,1026,","32.2","X,0921,+","0.0","","0.0","X","1535.1",",X","0",",X","26.48","X","29.59","X","23.36","X","","","",""
"RQW00011630","1979","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","","","2800.4","","2800.4","X","217","X","118","X","0","","0","X","0","X","0","X","0","X","365","X","5","X","15.0","X,0306,","0",",X,1231,+","0",",X,1231,+","163.3",",X,0514,","33.3","X,1103,+","0.0","","0.0","X","2347.1",",X","0",",X","26.00","X","29.18","X","22.82","X","70","X","22.1","X"
"RQW00011630","1980","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","","","","","","","178","X","93","X","0","","0","X","0","X","0","X","","","","","","","16.7","X,0116,","0",",X,1231,+","0","T,X,0424,","78.0",",X,1006,","","","0.0","","0.0","X","1111.0",",X","0","T,X","","","","","23.31","X","170","X","25.7","X"
"RQW00011630","1981","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","","","2949.5","","2949.5","X","218","X","133","X","0","","0","X","0","X","0","X","0","X","365","X","7","X","16.1","X,0113,","0",",X,1231,+","0",",X,1231,+","145.0",",X,1212,","32.8","X,0904,+","","","","","1845.6",",X","0",",X","26.40","X","29.39","X","23.42","X","210","X","20.0","X"
"RQW00011630","1982","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","","","2767.7","","2767.7","X","201","X","119","X","0","","0","X","0","X","0","X","0","X","365","X","7","X","17.8","X,1219,+","0",",X,1231,+","0",",X,1231,+","66.5",",X,0912,","32.2","X,0914,+","0.0","","0.0","X","1355.9",",X","0",",X","25.91","X","29.01","X","22.80","X","160","X","17.5","X"
"RQW00011630","1983","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","","","","","","","174","0","93","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","116.1",",0,0421,","","","0.0","","0.0","X","1395.2",",0","0",",0","","","","","","","","","",""
"RQW00011630","1984","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","","","2966.7","","2966.7","X","188","0","99","0","0","","0","0","0","X","0","X","0","X","366","X","38","X","17.8","X,0102,","0",",0,1231,+","0",",0,1231,+","101.6",",0,0920,","33.9","X,1012,","","","","","1141.1",",0","0",",0","26.44","X","29.54","X","23.33","X","70","X","17.0","X"
"RQW00011630","1985","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","","","3112.5","","3112.5","X","192","0","100","0","0","","0","0","0","X","0","X","0","X","364","X","89","X","18.9","X,0429,+","0",",0,1231,+","0",",0,1231,+","147.8",",0,0518,","32.8","X,1027,+","0.0","","0.0","X","1603.5",",0","0",",0","26.87","X","30.25","X","23.50","X","80","X","19.0","X"
"RQW00011630","1986","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","","","3162.9","","3162.9","X","210","0","115","0","0","","0","0","0","X","0","X","0","X","363","X","95","X","16.1","X,0329,","0",",0,1231,+","0",",0,1231,+","63.8",",0,0511,","32.2","X,1118,+","0.0","","0.0","X","1350.8",",0","0",",0","27.03","X","30.50","X","23.56","X","","","",""
"RQW00011630","1987","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","3.0","X","3369.2","","3369.2","X","201","X","107","X","0","","0","X","0","X","0","X","0","X","364","X","164","X","17.2","X,0107,","0",",X,1231,+","0",",X,1231,+","130.6",",X,0316,","33.9","X,0917,","0.0","","0.0","X","2124.3",",X","0",",X","27.57","X","30.93","X","24.22","X","160","X","63.2","X"
"RQW00011630","1988","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","","","3322.5","","3322.5","X","224","0","121","0","0","","0","0","0","X","0","X","0","X","365","X","144","X","18.9","X,0118,","0",",0,1231,+","0",",0,1231,+","64.5",",0,0713,","32.8","X,0920,+","0.0","","0.0","X","1519.9",",0","0",",0","27.43","X","30.68","X","24.18","X","100","X","19.0","X"
"RQW00011630","1989","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","3.2","X","3233.9","","3233.9","X","197","0","87","0","0","","0","0","0","X","0","X","0","X","364","X","82","X","20.0","X,0328,+","0",",0,1231,+","0",",0,1231,+","85.3",",0,0531,","32.8","X,0909,+","0.0","","0.0","X","1029.9",",0","0",",0","27.21","X","30.40","X","24.02","X","340","X","53.5","X"
"RQW00011630","1990","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","","","3335.3","","3335.3","X","220","0","108","0","0","","0","0","0","X","0","X","0","X","363","X","143","X","18.9","X,1225,+","0",",0,1231,+","0",",0,1231,+","78.5",",0,0706,","33.9","X,1007,+","0.0","","0.0","X","1196.6",",0","0",",0","27.50","X","30.67","X","24.33","X","","","",""
"RQW00011630","1991","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","3.7","X","3326.3","","3326.3","X","190","0","97","0","0","","0","0","0","X","0","X","0","X","365","X","141","X","17.8","X,1224,+","0",",0,1231,+","0",",0,1231,+","60.7",",0,0630,","33.9","X,1030,","0.0","","0.0","X","1000.5",",0","0",",0","27.44","X","30.89","X","23.99","X","20","X","17.0","X"
"RQW00011630","1992","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","3.5","X","3222.9","","3222.9","X","204","0","117","0","0","","0","0","0","X","0","X","0","X","366","X","122","X","16.1","X,0131,","0",",0,1231,+","0",",0,1231,+","118.1",",0,0105,","32.8","X,1026,+","0.0","","0.0","X","1499.6",",0","0",",0","27.14","X","30.69","X","23.59","X","180","X","22.6","X"
"RQW00011630","1993","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","3.9","X","3359.2","","3359.2","X","189","0","101","0","0","","0","0","0","X","0","X","0","X","365","X","156","X","18.9","X,0303,+","0",",0,1231,+","0",",0,1231,+","117.3",",0,0916,","35.0","X,0801,+","0.0","","0.0","X","1532.7",",0","0",",0","27.53","X","30.99","X","24.06","X","150","X","18.0","X"
"RQW00011630","1994","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","4.4","X","3317.6","","3317.6","X","185","0","81","0","0","","0","0","0","X","0","X","0","X","363","X","122","X","18.9","X,1230,+","0",",0,1231,+","0",",0,1231,+","51.1",",0,1107,","33.9","X,0612,","0.0","","0.0","X","933.3",",0","0",",0","27.47","X","30.76","X","24.19","X","80","X","18.5","X"
"RQW00011630","1995","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","3.8","X","3283.8","","3283.8","X","180","X","91","X","0","","0","X","0","X","0","X","0","X","365","X","112","X","17.8","X,0325,+","0",",X,1231,+","0",",X,1231,+","64.0",",X,0818,","33.9","X,0903,","0.0","","0.0","X","1062.7",",X","0",",X","27.33","X","30.80","X","23.85","X","20","X","25.7","X"
"RQW00011630","1996","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","4.3","X","3146.3","","3146.3","X","225","0","120","0","0","","0","0","0","X","0","X","0","X","365","X","32","X","17.8","X,1218,","0",",0,1231,+","0",",0,1231,+","48.3",",0,1107,","33.3","X,0901,","0.0","","0.0","X","1246.4",",0","0",",0","26.95","X","30.12","X","23.78","X","290","X","25.7","X"
"RQW00011630","1997","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","4.1","X","3027.4","","3027.4","X","187","0","94","0","0","","0","0","0","X","0","X","0","X","365","X","10","X","17.2","X,0102,","0",",0,1231,+","0",",0,1231,+","92.2",",0,1126,","32.2","X,0911,+","0.0","","0.0","X","1279.2",",0","0",",0","26.62","X","29.54","X","23.70","X","200","X","17.5","X"
"RQW00011630","1998","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","4.3","X","3223.2","","3223.2","X","206","0","110","0","0","","0","0","0","X","0","X","0","X","363","X","47","X","17.2","X,0205,","0",",0,1231,+","0",",0,1231,+","89.4",",0,0921,","33.3","X,0816,+","0.0","","0.0","X","1483.1",",0","0",",0","27.21","X","30.13","X","24.29","X","140","X","47.8","X"
"RQW00011630","1999","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","","","","","","","223","0","117","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","51.1",",0,1117,","","","","","","","1441.0",",0","0",",0","","","","","","","","","",""
"RQW00011630","2000","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","","","","","","","","","","","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","","","","","","","","","","","0",",0","","","","","","","","","",""
"RQW00011630","2001","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","4.0","X","","","","","171","0","90","0","0","","0","0","","","","","","","","","","","","","0","T,0,0409,","0","T,0,0409,","87.6",",0,0822,","","","","","","","942.4",",0","0","T,0","","","","","","","100","X","27.7","X"
"RQW00011630","2002","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","4.1","X","3355.0","","3355.0","X","209","0","85","0","0","","0","0","0","X","0","X","0","X","365","X","92","X","18.9","X,0227,","0",",0,1231,+","0",",0,1231,+","51.1",",0,0604,","34.4","X,0809,+","0.0","","0.0","X","826.4",",0","0",",0","27.51","X","30.49","X","24.53","X","110","X","16.5","X"
"RQW00011630","2003","18.255","-65.64083","10.1","ROOSEVELT ROADS, PR US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","0.0","0","","","","","","","","","","","","","",""
