"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00093739","1977","37.9372","-75.4708","14.0","WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US","","","712.6","","712.6","0","107","0","71","0","4","","3","0","0","0","81","0","24","0","148","0","23","0","-15.0","0,0117,","51",",0,0107,","46",",0,0107,","109.5",",0,1218,","38.3","0,0721,","0.0","0,1113","-2.8","0,1114","-6.1","0,1208","-6.7","0,1210","-8.9","0,1212","0.0","0,0410","-3.3","0,0222","-7.8","0,0218","-7.8","0,0218","-8.9","0,0209","2697.4","","2697.4","0","977.5",",0","173",",0","13.31","0","17.25","0","9.37","0","","","","","","","","","","","","","","","",""
"USW00093739","1978","37.9372","-75.4708","14.0","WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US","","","572.9","","572.9","0","103","0","64","0","10","","4","0","0","0","80","0","12","0","148","0","10","0","-10.0","0,0110,","102",",0,0203,","112",",0,0202,","65.0",",0,1001,","34.4","0,0722,","0.0","0,1202","-2.8","0,1210","-5.0","0,1211","","","","","-0.6","0,0318","-2.8","0,0307","-7.2","0,0305","-7.2","0,0305","-8.9","0,0111","2616.5","","2616.5","0","1048.5",",0","349",",0","12.93","0","16.97","0","8.89","0","","","","","","","","","","","","","","","",""
"USW00093739","1979","37.9372","-75.4708","14.0","WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US","","","639.3","","639.3","0","122","0","71","0","16","","7","0","0","0","73","0","15","0","149","0","6","0","-14.4","0,0218,","76",",0,0207,","102",",0,0207,","99.3",",0,0721,","34.4","0,0810,","-3.3","0,1130","-3.3","0,1130","-8.3","0,1218","-8.3","0,1218","","","0.0","0,0327","-2.8","0,0319","-5.0","0,0316","-7.8","0,0220","-14.4","0,0218","2416.7","","2416.7","0","1490.8",",0","430",",0","13.54","0","17.39","0","9.69","0","","","","","","","","","","","","","","","",""
"USW00093739","1980","37.9372","-75.4708","14.0","WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US","","","644.8","","644.8","X","107","X","64","X","14","","6","X","0","X","80","X","15","X","146","X","10","X","-13.3","X,1226,","127",",X,0303,+","132",",X,0105,","79.2",",X,0723,","35.6","X,0801,","0.0","X,1117","-2.2","X,1120","-5.0","X,1217","-8.9","X,1220","-8.9","X,1220","0.0","0,0319","-2.8","0,0312","-6.1","0,0304","-8.9","0,0303","-8.9","0,0303","2326.5","","2326.5","X","848.8",",X","492",",X","13.13","X","17.33","X","8.93","X","","","","","","","293","X","","","","","","","33.5","X"
"USW00093739","1981","37.9372","-75.4708","14.0","WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US","","","606.0","","606.0","X","105","X","66","X","0","","1","X","0","X","85","X","15","X","144","X","11","X","-14.4","X,0113,","0","T,X,1225,+","69",",X,1225,","79.2",",X,0918,","34.4","X,0710,+","-2.2","X,1122","-2.2","X,1122","-4.4","X,1213","-7.2","X,1220","","","0.0","X,0326","-2.2","X,0322","-4.4","X,0320","-6.7","X,0213","-9.4","X,0204","2554.2","","2554.2","X","913.3",",X","102",",X","12.98","X","17.11","X","8.84","X","","","","","","","203","X","","","","","","","29.5","X"
"USW00093739","1982","37.9372","-75.4708","14.0","WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US","","","499.7","","499.7","X","108","X","72","X","15","","3","X","1","X","63","X","10","X","150","X","1","X","-17.8","X,0117,","102",",X,0214,","147",",X,0213,","50.5",",X,1025,","32.2","X,0726,","0.0","X,1107","-3.3","X,1209","-4.4","X,1210","-6.7","X,1213","","","0.0","X,0410","-2.8","X,0407","-6.7","X,0226","-6.7","X,0226","-10.6","X,0127","2541.1","","2541.1","X","868.1",",X","365",",X","13.19","X","17.12","X","9.27","X","","","","","","","315","X","","","","","","","24.1","X"
"USW00093739","1983","37.9372","-75.4708","14.0","WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US","","","618.2","","618.2","X","120","X","84","X","3","","3","X","0","X","54","X","7","X","134","X","14","X","-13.3","X,1226,","25",",X,1225,+","64",",X,0206,","39.1",",X,0301,","36.1","X,0820,","0.0","X,1118","-2.8","X,1202","-5.0","X,1220","-12.8","X,1224","-12.8","X,1224","-1.1","X,0330","-2.8","X,0326","-4.4","X,0227","-8.9","X,0120","-8.9","X,0120","2232.2","","2232.2","X","1010.7",",X","171",",X","13.61","X","17.49","X","9.73","X","","","","","","","225","X","","","","","","","27.3","X"
"USW00093739","1984","37.9372","-75.4708","14.0","WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US","4.1","X","576.5","","576.5","X","114","X","63","X","0","","0","X","0","X","74","X","6","X","154","X","6","X","-12.8","X,0122,","0","T,X,0307,+","13",",X,0307,","68.8",",X,0530,","33.9","X,0903,+","-2.8","X,1115","-2.8","X,1115","-5.6","X,1121","-6.7","X,1226","","","0.0","X,0324","-4.4","X,0312","-4.4","X,0312","-7.2","X,0310","-12.8","X,0122","2439.7","","2439.7","X","907.0",",X","31",",X","13.46","X","17.96","X","8.97","X","","","","","","","","","","","","","","","",""
"USW00093739","1985","37.9372","-75.4708","14.0","WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US","4.0","X","641.5","","641.5","X","107","X","66","X","16","","4","X","2","X","80","X","14","X","186","X","14","X","-17.8","X,0121,+","76",",X,1221,+","81",",X,1220,","104.6",",X,0819,","34.4","X,0815,+","-1.1","X,1202","-2.2","X,1203","-8.3","X,1215","-8.3","X,1215","-9.4","X,1219","-2.8","X,0410","-2.8","X,0410","-5.0","X,0319","-7.2","X,0211","-11.1","X,0127","2240.2","","2240.2","X","1136.0",",X","316",",X","13.93","X","18.82","X","9.05","X","","","","","","","293","X","","","","","","","31.3","X"
"USW00093739","1986","37.9372","-75.4708","14.0","WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US","3.7","X","713.9","","713.9","X","114","X","60","X","7","","4","X","0","X","74","X","10","X","164","X","16","X","-11.7","X,0129,+","102",",X,0130,","94",",X,0129,","63.0",",X,0719,","36.1","X,0713,","-2.2","X,1113","-2.2","X,1113","-4.4","X,1114","","","","","-0.6","X,0325","-6.7","X,0323","-6.7","X,0323","-6.7","X,0323","-8.9","X,0308","2262.7","","2262.7","X","827.6",",X","250",",X","13.77","X","18.67","X","8.87","X","","","","","","","45","X","","","","","","","28.6","X"
"USW00093739","1987","37.9372","-75.4708","14.0","WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US","4.3","X","721.9","","721.9","X","117","X","68","X","12","","3","X","0","X","79","X","7","X","156","X","22","X","-13.3","X,0128,","102",",X,0210,+","104",",X,0209,","66.8",",X,0623,","36.1","X,0827,","-1.1","X,1106","-2.8","X,1121","-4.4","X,1122","-7.2","X,1230","","","-1.1","X,0406","-3.3","X,0316","-4.4","X,0310","-10.0","X,0216","-10.0","X,0216","2420.2","","2420.2","X","980.0",",X","282",",X","13.52","X","18.36","X","8.68","X","","","","","","","68","X","","","","","","","28.2","X"
"USW00093739","1988","37.9372","-75.4708","14.0","WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US","4.0","X","631.4","","631.4","X","114","X","68","X","1","","2","X","0","X","86","X","10","X","141","X","17","X","-11.1","X,0116,+","76",",X,0108,","76",",X,0108,","42.2",",X,0407,","35.0","X,0815,+","0.0","X,1119","-3.3","X,1206","-6.7","X,1210","-6.7","X,1210","-10.0","X,1212","-1.7","X,0323","-6.1","X,0322","-6.1","X,0322","-8.3","X,0222","-10.6","X,0207","2491.3","","2491.3","X","788.5",",X","143",",X","13.00","X","17.93","X","8.05","X","","","","","","","","","","","","","","","",""
"USW00093739","1989","37.9372","-75.4708","14.0","WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US","","","731.2","","731.2","X","139","X","93","X","23","","7","X","0","X","83","X","10","X","168","X","10","X","-15.6","X,1221,","203",",X,0219,","191",",X,0224,+","161.5",",X,0818,","36.1","X,0711,","0.0","X,1111","-2.8","X,1119","-5.0","X,1123","-6.7","X,1130","-8.9","X,1218","-2.2","X,0412","-2.2","X,0412","-5.0","X,0226","-8.9","X,0225","-8.9","X,0225","2378.2","","2378.2","X","1468.8",",X","729",",X","13.56","X","18.30","X","8.82","X","","","","","","","270","X","","","","","","","30.4","X"
"USW00093739","1990","37.9372","-75.4708","14.0","WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US","4.3","X","737.8","","737.8","X","110","X","79","X","0","","0","X","0","X","49","X","1","X","183","X","21","X","-9.4","X,0226,","0","T,X,0407,","13",",X,0407,","57.2",",X,0526,","35.6","X,0710,+","-1.7","X,1119","-2.2","X,1130","-5.0","X,1206","","","","","0.0","X,0419","-3.3","X,0328","-8.3","X,0308","-8.3","X,0308","-9.4","X,0226","2230.6","","2230.6","X","956.6",",X","13",",X","15.11","X","20.31","X","9.91","X","","","","","","","","","","","","","","","",""
"USW00093739","1991","37.9372","-75.4708","14.0","WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US","3.4","X","848.6","","848.6","X","105","X","55","X","1","","1","X","0","X","65","X","3","X","179","X","29","X","-10.6","X,0123,+","25",",X,0226,","25",",X,0226,","145.3",",X,0809,","37.8","X,0723,+","-1.1","X,1105","-2.2","X,1106","-6.1","X,1127","-7.2","X,1216","","","0.0","X,0404","-2.2","X,0312","-6.1","X,0217","-6.7","X,0216","-10.6","X,0123","1918.8","","1918.8","X","903.3",",X","25",",X","15.04","X","20.26","X","9.82","X","","","","","","","338","X","","","","","","","23.2","X"
"USW00093739","1992","37.9372","-75.4708","14.0","WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US","3.8","X","559.4","","559.4","X","134","X","83","X","0","","0","X","0","X","80","X","1","X","145","X","13","X","-11.1","X,0120,+","0",",X,1231,+","0","T,X,1224,+","73.7",",X,0925,","35.6","X,0714,","-0.6","X,1020","-2.8","X,1116","-6.1","X,1224","-8.3","X,1225","","","-1.7","X,0404","-3.3","X,0324","-5.0","X,0322","-7.2","X,0210","-11.1","X,0120","2283.5","","2283.5","X","1051.1",",X","0","T,X","13.42","X","18.22","X","8.62","X","","","","","","","90","X","","","","","","","32.6","X"
"USW00093739","1993","37.9372","-75.4708","14.0","WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US","4.1","X","712.5","","712.5","X","106","X","65","X","8","","6","X","0","X","80","X","7","X","151","X","27","X","-15.0","X,1231,","127",",X,0228,+","114",",X,0226,","61.2",",X,0313,","38.3","X,0710,","0.0","X,1103","-2.8","X,1211","-4.4","X,1212","-9.4","X,1230","-9.4","X,1230","-0.6","X,0322","-2.2","X,0320","-5.0","X,0319","-6.7","X,0315","-9.4","X,0228","2392.6","","2392.6","X","828.6",",X","284",",X","13.54","X","18.49","X","8.59","X","","","","","","","180","X","","","","","","","29.1","X"
"USW00093739","1994","37.9372","-75.4708","14.0","WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US","4.2","X","613.2","","613.2","X","108","X","64","X","2","","1","X","1","X","67","X","8","X","173","X","18","X","-17.8","X,0119,","51",",X,0101,","25",",X,0301,","90.4",",X,0302,","35.0","X,0709,+","-0.6","X,1123","-3.3","X,1124","-5.0","X,1231","","","","","0.0","X,0321","-3.9","X,0318","-7.2","X,0228","-7.2","X,0228","-10.6","X,0122","2456.3","","2456.3","X","912.8",",X","87",",X","13.75","X","19.00","X","8.51","X","","","","","","","","","","","","","","","",""
"USW00093739","1995","37.9372","-75.4708","14.0","WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US","4.1","X","687.9","","687.9","X","92","X","59","X","2","","2","X","0","X","80","X","5","X","180","X","22","X","-12.2","X,0206,","76",",X,1208,","145",",X,1207,","47.2",",X,0430,","35.6","X,0805,+","-0.6","X,1105","-2.2","X,1109","-4.4","X,1122","-8.3","X,1211","","","-1.7","X,0406","-5.6","X,0311","-5.6","X,0311","-7.8","X,0214","-9.4","X,0213","2120.5","","2120.5","X","890.8",",X","175",",X","13.72","X","18.67","X","8.77","X","","","","","270","X","","","","","","","26.7","X","",""
"USW00093739","1996","37.9372","-75.4708","14.0","WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US","","","599.3","","599.3","X","139","X","93","X","","","","","0","X","78","X","11","X","154","X","6","X","-16.1","X,0205,","","","","","92.5",",X,1008,","35.6","X,0520,","0.0","X,1103","-2.8","X,1113","-5.0","X,1128","-7.2","X,1221","","","-0.6","X,0408","-2.8","X,0314","-4.4","X,0311","-8.3","X,0310","-8.9","X,0309","2585.7","","2585.7","X","1359.0",",X","","","13.06","X","17.54","X","8.57","X","","","","","","","","","","","","","","","",""
"USW00093739","1997","37.9372","-75.4708","14.0","WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US","4.2","X","601.1","","601.1","X","125","X","75","X","","","","","0","X","59","X","4","X","141","X","15","X","-13.3","X,0119,","","","","","37.1",",X,0724,","35.6","X,0718,","-2.2","X,1117","-2.2","X,1117","","","","","","","-0.6","X,0410","-3.9","X,0317","-5.0","X,0212","-13.3","X,0119","-13.3","X,0119","2290.9","","2290.9","X","1030.0",",X","","","13.57","X","18.26","X","8.88","X","50","X","60","X","","","","","17.0","X","21.0","X","","","",""
"USW00093739","1998","37.9372","-75.4708","14.0","WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US","4.0","X","732.3","","732.3","X","123","X","67","X","","","","","0","X","50","X","4","X","164","X","16","X","-8.3","X,1231,","","","","","89.9",",X,0128,","36.7","X,0722,","-0.6","X,1105","-2.2","X,1122","-4.4","X,1223","-8.3","X,1231","","","0.0","X,0324","-2.2","X,0317","-6.1","X,0313","","","","","2146.9","","2146.9","X","1128.3",",X","","","14.71","X","19.24","X","10.17","X","50","X","50","X","","","","","22.8","X","27.3","X","","","",""
"USW00093739","1999","37.9372","-75.4708","14.0","WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US","4.3","X","658.1","","658.1","X","111","X","71","X","","","","","0","X","67","X","4","X","157","X","19","X","-10.6","X,0106,","","","","","77.5",",X,1017,","36.1","X,0706,+","-2.2","X,1117","-2.2","X,1117","-4.4","X,1201","-7.8","X,1225","","","0.0","X,0406","-2.2","X,0312","-4.4","X,0309","-7.2","X,0308","-10.6","X,0106","2177.8","","2177.8","X","1104.5",",X","","","14.08","X","18.84","X","9.32","X","310","X","320","X","","","","","17.4","X","24.6","X","","","",""
"USW00093739","2000","37.9372","-75.4708","14.0","WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US","","","578.5","","578.5","X","125","X","71","X","","","","","0","X","86","X","11","X","158","X","6","X","-11.1","X,1226,+","","","","","82.0",",X,0804,","33.3","X,0807,+","-1.1","X,1115","-2.8","X,1116","-5.0","W,1123","-6.7","X,1204","-10.0","X,1223","-3.3","X,0318","-3.3","X,0318","-4.4","X,0213","-7.2","X,0130","-8.9","X,0128","2190.3","","2190.3","X","1017.5",",X","","","13.18","X","18.00","X","8.36","X","","","","","","","","","","","","","","","",""
"USW00093739","2001","37.9372","-75.4708","14.0","WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US","4.0","X","602.0","","602.0","X","108","X","60","X","","","","","0","X","76","X","0","X","169","X","10","X","-8.3","X,0105,","","","","","70.1",",X,0321,","34.4","X,0630,+","-1.7","X,1112","-3.3","X,1222","-4.4","X,1227","","","","","-0.6","X,0405","-4.4","X,0328","-4.4","X,0328","-6.7","X,0219","","","2550.7","","2550.7","X","741.4",",X","","","13.82","X","18.83","X","8.80","X","","","","","","","","","","","","","","","",""
"USW00093739","2002","37.9372","-75.4708","14.0","WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US","4.2","X","901.1","","901.1","X","118","X","76","X","","","","","0","X","62","X","1","X","175","X","32","X","-7.8","X,1207,","","","","","65.5",",X,0614,","35.6","X,0823,+","0.0","X,1119","-2.2","X,1127","-5.6","X,1129","-7.2","X,1204","","","0.0","X,0407","-6.7","X,0323","-6.7","X,0323","-6.7","X,0323","","","1906.8","","1906.8","X","979.6",",X","","","15.20","X","20.05","X","10.35","X","190","X","190","X","","","","","19.2","X","23.2","X","","","",""
"USW00093739","2003","37.9372","-75.4708","14.0","WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US","4.2","X","640.3","","640.3","X","143","X","91","X","","","5","X","0","X","75","X","8","X","151","X","12","X","-16.1","X,0118,","","","127",",X,0117,","53.3",",X,0619,","33.9","X,0626,","0.0","X,1024","-5.0","X,1203","-5.0","X,1203","-6.7","X,1204","","","-0.6","X,0401","-2.8","X,0315","-4.4","X,0311","-8.9","X,0213","-8.9","X,0213","2486.6","","2486.6","X","1253.4",",X","361",",X","13.37","X","17.70","X","9.05","X","60","X","360","X","","","","","21.9","X","65.7","X","","","",""
"USW00093739","2004","37.9372","-75.4708","14.0","WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US","4.2","X","725.3","","725.3","X","118","X","75","X","","","3","X","0","X","75","X","15","X","174","X","10","X","-12.8","X,0111,","","","191",",X,1226,","113.3",",X,0728,","33.9","X,0705,","0.0","X,1110","-2.2","X,1204","-5.6","X,1216","-10.0","W,1220","-10.0","W,1220","-0.6","X,0324","-5.6","X,0323","-5.6","X,0323","-7.2","X,0202","-10.6","X,0125","2292.4","","2292.4","X","1290.8",",X","294",",X","14.01","X","18.54","X","9.49","X","60","X","320","X","","","","","15.6","X","20.6","X","","","",""
"USW00093739","2005","37.9372","-75.4708","14.0","WALLOPS ISLAND WALLOPS FLIGHT FACILITY, VA US","4.1","X","767.9","","767.9","X","107","X","61","X","","","4","X","0","X","78","X","7","X","156","X","17","X","-11.7","X,0128,+","","","53",",X,1205,","74.7",",X,1008,","34.4","X,0727,","0.0","X,1112","-2.8","X,1118","-4.4","X,1125","-6.7","X,1214","","","0.0","X,0322","-4.4","X,0310","-4.4","X,0310","-7.2","X,0219","-9.4","X,0129","2381.8","","2381.8","X","1012.7",",X","166",",X","13.82","X","18.27","X","9.36","X","80","X","90","X","","","","","19.7","X","25.0","X","","","",""
