"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00003124","1911","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","774.1","","774.1","0","53","0","30","0","","","4","0","0","0","79","0","0","0","243","0","69","0","-13.3","0,1226,","","","38",",0,1220,","50.8",",0,1005,","37.8","0,0818,+","-1.7","0,1029","-2.2","0,1030","-6.1","0,1111","-6.7","0,1115","-12.2","0,1127","-0.6","0,0224","-2.2","0,0221","-7.8","0,0217","-7.8","0,0217","","","1288.2","","1288.2","0","309.3",",0","126",",0","15.98","0","23.98","0","7.98","0","","","","","","","","","",""
"USW00003124","1912","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","713.3","","713.3","0","43","0","38","0","","","4","0","0","0","100","0","0","0","226","0","52","0","-13.9","0,0226,","","","102",",0,0224,","50.8",",0,0724,","37.8","0,0710,+","-1.1","0,1116","-6.1","0,1205","-6.1","0,1205","","","","","-0.6","0,0414","-3.9","0,0413","-4.4","0,0228","-7.2","0,0227","-13.9","0,0226","2144.9","","2144.9","0","502.8",",0","275",",0","15.07","0","23.52","0","6.63","0","","","","","","","","","",""
"USW00003124","1913","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","812.5","","812.5","0","53","0","39","0","","","3","0","0","0","56","0","2","0","225","0","64","0","-17.2","0,0108,","","","102",",0,0106,","45.7",",0,0207,","38.9","0,0706,","0.0","0,1116","-2.2","0,1121","","","","","","","0.0","0,0327","-5.0","0,0326","-5.0","0,0326","-10.6","0,0112","-10.6","0,0112","1791.0","","1791.0","0","430.2",",0","204",",0","15.73","0","22.94","0","8.51","0","","","","","","","","","",""
"USW00003124","1914","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","","","","","64","0","45","0","0","","0","0","0","0","26","0","","","","","","","-5.0","0,1215,+","0",",0,1231,+","0",",0,1231,+","50.8",",0,1222,","","","-1.1","0,1203","-3.9","0,1208","-5.0","0,1215","","","","","0.0","0,0320","-3.3","0,0131","-5.0","0,0130","","","","","1418.2","","1418.2","0","649.9",",0","0",",0","","","","","9.12","0","","","","","","","","","",""
"USW00003124","1915","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","","","","","56","0","34","0","","","3","0","0","0","51","0","","","","","","","-7.8","0,1227,+","","","76",",0,0204,","44.5",",0,0130,","","","-2.2","0,1111","-2.2","0,1111","-5.0","0,1216","-6.7","0,1219","","","-0.6","0,0312","-3.3","0,0304","-5.6","0,0119","-7.8","0,0117","","","","","","","386.6",",0","187",",0","","","","","8.38","0","","","","","","","","","",""
"USW00003124","1916","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","","","","","26","0","22","0","","","2","0","0","0","48","0","","","","","","","-8.9","0,0202,","","","318",",0,0120,","50.8",",0,0120,","","","-1.7","0,1108","-3.3","0,1114","-6.1","0,1115","-7.8","0,1208","","","-1.1","0,0401","-2.8","0,0326","-5.6","0,0325","-7.2","0,0324","-8.9","0,0202","1331.6","","1331.6","","353.8",",0","470",",0","","","","","8.13","0","","","","","","","","","",""
"USW00003124","1917","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","","","","","50","0","41","0","2","","2","0","0","0","50","0","","","","","","","-5.6","0,0314,+","51",",0,0218,","51",",0,0218,","50.5",",0,0719,","","","-2.8","0,1208","-2.8","0,1208","","","","","","","0.0","0,0419","-2.8","0,0317","-5.6","0,0314","","","","","","","","","472.9",",0","76",",0","","","","","8.87","0","","","","","","","","","",""
"USW00003124","1955","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","891.5","","891.5","0","53","0","34","0","0","","0","0","0","0","39","0","0","0","247","0","40","0","-7.2","0,0219,","0",",0,1231,+","0","T,0,0120,+","49.8",",0,0820,","38.3","0,0608,","0.0","0,1109","","","","","","","","","-1.1","0,0327","-3.3","0,0321","-5.6","0,0222","-7.2","0,0219","","","","","","","440.3",",0","0","T,0","16.97","0","23.36","0","10.58","0","","","","","","","","","",""
"USW00003124","1956","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","1015.6","","1015.6","0","50","0","21","0","0","","0","0","0","0","41","0","1","0","241","0","73","0","-10.0","0,0203,","0","T,0,0402,+","13",",0,0216,","52.8",",0,0723,","37.2","0,0709,+","-0.6","0,1102","-3.9","0,1103","-4.4","0,1104","-6.7","0,1227","","","0.0","0,0403","-3.3","0,0313","-5.6","0,0204","-10.0","0,0203","-10.0","0,0203","1151.2","","1151.2","0","309.8",",0","23",",0","17.31","0","24.26","0","10.35","0","","","203","X","","","","","24.2","X"
"USW00003124","1957","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","905.6","","905.6","0","69","0","32","0","1","","1","0","0","0","23","0","0","0","214","0","54","0","-3.9","0,1123,+","25",",0,1122,","30",",0,1122,","30.5",",0,0817,","38.3","0,0730,+","-1.1","0,1118","-2.8","0,1122","","","","","","","-1.1","0,0325","-2.2","0,0323","","","","","","","1378.2","","1378.2","0","301.1",",0","38",",0","17.04","0","23.67","0","10.41","0","","","270","X","","","","","26.7","X"
"USW00003124","1958","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","938.0","","938.0","0","64","0","36","0","1","","2","0","0","0","28","0","0","0","218","0","47","0","-7.8","0,1117,+","25",",0,1118,","152",",0,0307,","36.1",",0,0805,","37.8","0,0711,+","-7.8","0,1116","-7.8","0,1116","-7.8","0,1116","-7.8","0,1116","","","-0.6","0,0313","-5.0","0,0308","-5.0","0,0308","","","","","1568.2","","1568.2","0","445.2",",0","287",",0","16.89","0","23.14","0","10.64","0","","","","","","","","","",""
"USW00003124","1959","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","852.9","","852.9","0","62","0","34","0","1","","3","0","0","0","33","0","0","0","229","0","48","0","-5.0","0,1227,","25",",0,1213,","30",",0,1213,","27.2",",0,0806,","37.2","0,0624,+","-0.6","0,1030","-2.8","0,1206","-4.4","0,1215","","","","","-2.2","0,0306","-2.2","0,0306","-4.4","0,0101","","","","","1242.3","","1242.3","0","326.6",",0","100",",0","16.91","0","23.70","0","10.11","0","","","","","","","","","",""
"USW00003124","1960","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","912.4","","912.4","0","56","0","29","0","6","","4","0","0","0","58","0","0","0","237","0","46","0","-8.3","0,0102,","76",",0,0211,","84",",0,0210,","27.9",",0,0722,","37.2","0,0620,+","0.0","0,1127","-2.2","0,1128","-7.8","0,1207","-7.8","0,1207","","","-0.6","0,0317","-5.0","0,0225","-5.0","0,0225","-6.7","0,0118","","","1562.8","","1562.8","0","278.6",",0","293",",0","16.65","0","23.53","0","9.76","0","","","90","X","","","","","27.2","X"
"USW00003124","1961","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","817.0","","817.0","X","50","X","37","X","0","","1","X","0","X","21","X","0","X","230","X","35","X","-1.7","X,1217,+","0","T,X,1029,","25",",X,1029,","45.7",",X,0808,","36.1","X,0623,+","-0.6","0,1029","","","","","","","","","-0.6","0,0301","","","","","","","","","1370.7","","1370.7","X","413.8",",X","25",",X","16.66","X","23.15","X","10.16","X","","","","","","","","","",""
"USW00003124","1962","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","927.8","","927.8","0","53","0","22","0","0","","2","0","0","0","24","0","0","0","240","0","51","0","-12.8","0,0111,","0",",0,1231,+","53",",0,0310,","22.9",",0,0124,","36.7","0,0624,","-2.2","0,1119","-2.2","0,1119","","","","","","","-1.1","0,0315","-4.4","0,0314","-4.4","0,0314","-8.3","0,0112","-12.8","0,0111","1491.7","","1491.7","0","183.5",",0","114",",0","17.28","0","23.80","0","10.77","0","","","","","","","","","",""
"USW00003124","1963","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","883.5","","883.5","0","58","0","33","0","0","","2","0","0","0","30","0","0","0","247","0","37","0","-8.3","0,0120,","0","T,0,1210,","91",",0,1121,","34.5",",0,1121,","37.2","0,0724,","-1.1","0,1122","","","","","","","","","-1.7","0,0319","-3.9","0,0214","-5.0","0,0213","-8.3","0,0120","","","1221.2","","1221.2","0","321.6",",0","139",",0","17.10","0","23.88","0","10.33","0","","","225","X","","","","","29.3","X"
"USW00003124","1964","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","783.9","","783.9","0","60","0","42","0","3","","3","0","0","0","60","0","0","0","211","0","32","0","-7.2","0,0114,","76",",0,0303,","127",",0,0216,","61.0",",0,0909,","37.2","0,0705,","0.0","0,1116","-2.8","0,1119","","","","","","","0.0","0,0403","-3.9","0,0309","-4.4","0,0215","-7.2","0,0114","","","1662.0","","1662.0","0","568.2",",0","312",",0","15.75","0","22.39","0","9.11","0","","","270","X","","","","","24.7","X"
"USW00003124","1965","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","751.6","","751.6","0","74","0","37","0","2","","3","0","0","0","40","0","0","0","236","0","45","0","-8.3","0,0212,","76",",0,0210,","81",",0,0210,","23.1",",0,1210,+","36.7","0,0704,","0.0","0,1129","-2.8","0,1219","-5.0","0,1224","","","","","-0.6","0,0313","-4.4","0,0304","-4.4","0,0304","-8.3","0,0212","","","1512.9","","1512.9","0","376.9",",0","177",",0","16.41","0","23.51","0","9.31","0","","","360","X","","","","","62.2","X"
"USW00003124","1966","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","776.0","","776.0","0","73","0","39","0","3","","8","0","0","0","62","0","0","0","252","0","37","0","-7.2","0,1229,+","51",",0,0209,","71",",0,0209,","45.5",",0,0728,","36.1","0,0706,","-0.6","0,1127","-2.2","0,1213","-7.2","0,1228","-7.2","0,1228","","","-3.9","X,0305","-3.9","X,0305","-6.1","X,0304","","","","","1471.8","","1471.8","0","430.5",",0","408",",0","16.34","0","23.56","0","9.12","0","","","225","X","","","","","23.1","X"
"USW00003124","1967","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","695.3","","695.3","0","82","0","38","0","4","","4","0","0","0","50","0","0","0","265","0","30","0","-8.3","0,0108,","127",",0,1216,","175",",0,1217,","45.2",",0,0703,","36.7","0,0702,+","0.0","0,1129","-2.2","0,1209","-6.1","0,1210","","","","","-1.7","0,0412","-3.3","0,0307","-7.8","0,0109","-7.8","0,0109","","","1326.9","","1326.9","0","506.3",",0","519",",0","16.50","0","23.92","0","9.08","0","","","248","X","","","","","26.2","X"
"USW00003124","1968","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","719.8","","719.8","0","54","0","28","0","0","","1","0","0","0","39","0","0","0","234","0","34","0","-10.0","0,1222,","0",",0,1231,+","71",",0,1226,","30.7",",0,0730,","37.8","0,0622,+","-1.7","0,1126","-2.8","0,1203","-6.7","0,1221","-6.7","0,1221","-10.0","0,1222","-0.6","0,0419","-2.8","0,0106","","","","","","","1416.8","","1416.8","0","319.3",",0","71",",0","16.35","0","23.33","0","9.37","0","","","225","X","","","","","24.2","X"
"USW00003124","1969","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","897.7","","897.7","0","67","0","35","0","2","","3","0","0","0","39","0","0","0","240","0","58","0","-6.7","0,0315,","76",",0,0315,","117",",0,0314,","25.1",",0,0806,","38.3","0,0630,","-0.6","0,1118","-2.2","0,1119","-5.0","0,1231","","","","","-1.7","0,0316","-6.7","0,0315","-6.7","0,0315","-6.7","0,0315","","","1465.1","","1465.1","0","298.3",",0","239",",0","16.67","0","23.83","0","9.50","0","","","225","X","","","","","22.1","X"
"USW00003124","1970","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","802.8","","802.8","0","55","0","28","0","2","","2","0","0","0","31","0","0","0","242","0","43","0","-8.3","0,0103,","25",",0,0311,+","81",",0,0305,","62.7",",0,0801,","40.0","0,0626,","-1.7","0,1116","-2.2","0,1216","","","","","","","0.0","0,0319","-3.3","0,0203","-6.1","0,0130","-6.7","0,0107","","","1537.8","","1537.8","0","415.2",",0","127",",0","16.49","0","23.82","0","9.17","0","","","158","X","","","","","30.8","X"
"USW00003124","1971","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","707.0","","707.0","0","68","0","38","0","","","5","0","0","0","47","0","1","0","252","0","41","0","-11.1","0,0104,","","","310",",0,1204,","31.2",",0,1204,","36.7","0,0713,+","-0.6","0,1029","-4.4","0,1030","-4.4","0,1030","","","","","0.0","0,0419","-2.2","0,0306","-5.0","0,0303","-7.8","0,0302","-9.4","0,0108","1376.3","","1376.3","0","378.3",",0","583",",0","16.06","0","23.29","0","8.83","0","","","","","","","","","",""
"USW00003124","1972","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","","","","","","","","","0","","1","0","","","","","","","","","","","","","0","T,0,1112,","58",",0,1112,","","","","","","","","","","","","","","","","","","","","","","","","","1315.9","","1315.9","0","","","71",",0","","","","","","","","","","","","","","","",""
"USW00003124","1973","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","909.7","","909.7","0","41","0","22","0","2","","5","0","0","0","52","0","0","0","218","0","57","0","-5.6","0,0121,+","152",",0,0102,","152",",0,0102,","33.3",",0,0221,","38.9","0,0702,+","-0.6","0,1121","-3.9","0,1124","","","","","","","0.0","0,0404","-2.2","0,0403","-5.6","0,0121","","","","","","","","","200.7",",0","390",",0","16.44","0","23.40","0","9.48","0","","","","","","","","","",""
"USW00003124","1974","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","848.1","","848.1","0","51","0","31","0","0","","0","0","0","0","45","0","0","0","235","0","51","0","-8.9","0,1224,","0",",0,1231,+","0",",0,1231,+","42.7",",0,0719,","40.0","0,0622,","-1.1","0,1129","-5.0","0,1210","-5.0","0,1210","-8.9","0,1224","-8.9","0,1224","-0.6","0,0311","-2.8","0,0310","-5.6","0,0208","","","","","1242.4","","1242.4","0","411.7",",0","0",",0","16.74","0","23.91","0","9.58","0","","","","","","","","","",""
"USW00003124","1975","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","804.7","","804.7","0","53","0","30","0","0","","4","0","0","0","61","0","0","0","244","0","60","0","-7.2","0,0222,","0","T,0,1129,","33",",0,0328,+","26.4",",0,0906,","38.3","0,0630,","-2.2","0,1119","-2.2","0,1119","-5.0","0,1130","","","","","-1.1","0,0419","-4.4","0,0223","-4.4","0,0223","-7.2","0,0222","","","1654.9","","1654.9","0","304.6",",0","137",",0","16.29","0","24.03","0","8.55","0","","","","","","","","","",""
"USW00003124","1976","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","743.7","","743.7","0","66","0","36","0","0","","2","0","0","0","48","0","0","0","245","0","57","0","-7.8","0,0102,","0","T,0,0415,+","119",",0,0304,","35.3",",0,0722,","36.7","0,0704,+","-1.1","0,1029","-6.1","0,1128","-6.1","0,1128","-7.2","0,1129","","","-2.2","0,0418","-2.2","0,0418","-5.0","0,0417","-6.7","0,0103","","","1334.4","","1334.4","0","338.2",",0","223",",0","16.45","0","24.00","0","8.91","0","","","","","","","","","",""
"USW00003124","1977","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","","","","","64","0","34","0","0","","0","0","","","","","0","0","261","0","64","0","","","0",",0,1231,+","15",",0,0326,","48.0",",0,1008,","38.9","0,0616,","","","","","","","","","","","","","","","","","","","","","1491.7","","1491.7","0","483.3",",0","25",",0","","","24.91","0","","","","","","","","","","","",""
"USW00003124","1978","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","940.1","","940.1","0","76","0","47","0","5","","3","0","0","0","39","0","2","0","232","0","77","0","-14.4","0,1208,","279",",0,1207,","310",",0,1207,","56.4",",0,0801,","39.4","0,0624,","-0.6","0,1116","-3.3","0,1203","-6.1","0,1207","-14.4","0,1208","-14.4","0,1208","-0.6","0,0409","-2.8","0,0220","-5.0","0,0218","","","","","","","","","556.8",",0","424",",0","17.09","0","24.57","0","9.61","0","","","","","","","","","",""
"USW00003124","1979","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","","","","","53","0","31","0","1","","2","0","","","","","","","","","","","","","76",",0,0129,","76",",0,0129,","37.3",",0,0804,","","","","","","","","","","","","","","","","","","","","","","","1507.2","","1507.2","0","265.9",",0","142",",0","","","","","","","","","","","","","","","",""
"USW00003124","1980","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","","","","","59","0","32","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","29.5",",0,0813,","","","","","","","","","","","","","","","","","","","","","","","","","","","269.7",",0","0",",0","","","","","","","","","","","","","","","",""
"USW00003124","1981","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","","","","","78","0","47","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0","T,0,0328,+","43.2",",0,0923,","","","","","","","","","","","","","","","","","","","","","","","1195.8","","1195.8","0","438.2",",0","0","T,0","","","","","","","","","","","","","","","",""
"USW00003124","2007","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","","","","","68","W","37","W","","","","","","","","","","","","","","","","","","","","","28.4",",W,0720,","","","","","","","","","","","","","","","","","","","","","","","","","","","415.3",",W","","","","","","","","","","","","","","","","","",""
"USW00003124","2009","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","3.5","W","1030.3","","1030.3","W","47","W","19","W","","","","","0","W","22","W","0","W","237","W","75","W","-4.9","W,0211,","","","","","35.6",",W,0707,","37.2","W,0728,+","-2.1","W,1029","-2.7","W,1226","","","","","","","-0.5","W,0327","-4.9","W,0211","-4.9","W,0211","","","","","1084.7","","1084.7","W","164.1",",W","","","18.03","W","25.37","W","10.68","W","210","W","","","23.7","W","101.9","W","",""
"USW00003124","2011","31.58833","-110.34417","1438.4","FORT HUACHUCA SIERRA VISTA MUNICIPAL AIRPORT, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1118.0","","1118.0","W","","","","","","","","","","","","","","","","","","","",""
