"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00012867","1961","28.23333","-80.6","2.4","COCOA BEACH PATRICK AFB, FL US","1832.4","","1832.4","X","84","X","50","X","0","","0","X","0","X","0","X","0","X","317","X","10","X","2.8","X,0122,","0",",X,1231,+","0",",X,1231,+","91.7",",X,0113,","33.3","X,0731,","","","","","","","254.1","","254.1","X","933.8",",X","0",",X","22.72","X","25.78","X","19.67","X","","","",""
"USW00012867","1962","28.23333","-80.6","2.4","COCOA BEACH PATRICK AFB, FL US","1800.9","","1800.9","X","102","X","56","X","0","","0","X","0","X","1","X","0","X","301","X","19","X","-2.8","X,1213,","0",",X,1231,+","0",",X,1231,+","50.5",",X,0209,","34.4","X,0726,+","-2.8","X,1213","-2.8","X,1213","","","211.5","","211.5","X","775.5",",X","0",",X","22.45","X","25.70","X","19.20","X","360","X","21.1","X"
"USW00012867","1963","28.23333","-80.6","2.4","COCOA BEACH PATRICK AFB, FL US","1715.3","","1715.3","X","110","X","74","X","0","","0","X","0","X","0","X","0","X","290","X","16","X","2.2","X,1225,","0",",X,1231,+","0",",X,1231,+","189.0",",X,0923,","34.4","X,0815,","","","","","","","356.1","","356.1","X","1434.9",",X","0",",X","22.02","X","25.11","X","18.92","X","203","X","25.7","X"
"USW00012867","1964","28.23333","-80.6","2.4","COCOA BEACH PATRICK AFB, FL US","1810.0","","1810.0","X","108","X","63","X","0","","0","X","0","X","1","X","0","X","311","X","15","X","-1.7","X,0114,","0",",X,1231,+","0",",X,1231,+","73.2",",X,0827,","33.9","X,0713,+","","","","","-1.7","X,0114","358.8","","358.8","X","1024.5",",X","0",",X","22.70","X","25.61","X","19.79","X","150","X","27.2","X"
"USW00012867","1965","28.23333","-80.6","2.4","COCOA BEACH PATRICK AFB, FL US","1904.5","","1904.5","X","105","X","58","X","0","","0","X","0","X","0","X","0","X","320","X","12","X","0.6","X,0117,","0",",X,1231,+","0",",X,1231,+","64.8",",X,1001,","33.3","X,0816,+","","","","","","","158.2","","158.2","X","755.2",",X","0",",X","23.03","X","25.92","X","20.14","X","210","X","28.3","X"
"USW00012867","1966","28.23333","-80.6","2.4","COCOA BEACH PATRICK AFB, FL US","1724.3","","1724.3","X","127","X","83","X","0","","0","X","0","X","1","X","0","X","300","X","12","X","-1.1","X,0131,","0",",X,1231,+","0",",X,1231,+","118.9",",X,0223,","33.9","X,0825,+","","","","","-1.1","X,0131","219.6","","219.6","X","1860.7",",X","0",",X","22.22","X","25.10","X","19.34","X","20","X","25.2","X"
"USW00012867","1967","28.23333","-80.6","2.4","COCOA BEACH PATRICK AFB, FL US","1893.2","","1893.2","X","97","X","49","X","0","","0","X","0","X","0","X","0","X","330","X","10","X","1.1","X,0226,","0",",X,1231,+","0",",X,1231,+","58.9",",X,0913,","33.9","X,0703,","","","","","","","227.1","","227.1","X","761.9",",X","0",",X","23.11","X","26.22","X","19.99","X","315","X","24.7","X"
"USW00012867","1968","28.23333","-80.6","2.4","COCOA BEACH PATRICK AFB, FL US","1886.3","","1886.3","X","104","X","66","X","0","","0","X","0","X","0","X","0","X","297","X","25","X","0.6","X,1216,","0",",X,1231,+","0",",X,1231,+","174.5",",X,0604,","35.6","X,0424,","","","","","","","253.3","","253.3","X","1358.0",",X","0",",X","22.42","X","25.68","X","19.17","X","203","X","23.1","X"
"USW00012867","1969","28.23333","-80.6","2.4","COCOA BEACH PATRICK AFB, FL US","1794.9","","1794.9","X","122","X","76","X","0","","0","X","0","X","0","X","0","X","278","X","17","X","4.4","X,1115,","0",",X,1231,+","0",",X,1231,+","64.0",",X,0308,","35.0","X,0712,","","","","","","","389.5","","389.5","X","1315.4",",X","0",",X","22.28","X","25.19","X","19.37","X","300","X","30.3","X"
"USW00012867","1970","28.23333","-80.6","2.4","COCOA BEACH PATRICK AFB, FL US","1782.5","","1782.5","X","108","X","65","X","0","","0","X","0","X","2","X","0","X","300","X","5","X","-0.6","X,0110,","0",",X,1231,+","0",",X,1231,+","68.1",",X,0928,","34.4","X,0626,","","","","","-0.6","X,0110","358.2","","358.2","X","861.4",",X","0",",X","22.26","X","25.38","X","19.15","X","190","X","25.7","X"
