"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00282130","1918","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","","","","","","","30","","187","6","-31.1","6,0101,","","","","","-1.7","6,0927","-2.2","6,1004","-6.7","6,1106","-6.7","6,1106","-8.9","6,1112","0.0","6,0502","-2.2","6,0426","-5.0","6,0414","-7.2","6,0412","-11.7","6,0328","","","","","-0.85","6"
"USC00282130","1919","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","153","6","91","6","","","15","","181","6","-27.8","6,1218,","","","49.5",",6,0309,","-1.1","6,0927","-3.3","6,1008","-4.4","6,1013","-6.7","6,1103","-10.6","6,1116","0.0","6,0519","-3.3","6,0428","-7.8","6,0426","-7.8","6,0426","-9.4","6,0425","1342.3",",6","","","0.03","6"
"USC00282130","1920","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","","","","","","","32","","185","6","-31.7","6,0201,","","","","","-1.1","6,0920","-3.9","6,1030","-6.1","6,1111","-7.8","6,1112","-11.7","6,1113","-1.1","6,0517","-3.9","6,0506","-5.0","6,0418","-8.3","6,0414","-11.7","6,0411","","","","","-0.92","6"
"USC00282130","1922","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","131","6","77","6","","","16","","169","6","-27.8","6,0217,","","","66.8",",6,0701,","0.0","6,0926","-3.9","6,1019","-5.6","6,1021","-6.7","6,1126","-9.4","6,1127","-1.7","6,0430","-3.3","6,0429","-4.4","6,0425","-7.2","6,0422","-9.4","6,0323","1025.7",",6","","","1.75","6"
"USC00282130","1923","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","","","","","","","10","","145","6","-24.4","6,0208,","","","","","-1.7","6,1007","-2.8","6,1028","-6.1","6,1102","-6.7","6,1110","-8.9","6,1120","-2.8","6,0511","-2.8","6,0511","-8.3","6,0402","-8.3","6,0402","-16.1","6,0401","","","","","2.60","6"
"USC00282130","1924","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","112","6","70","6","13","6","9","","159","6","-21.1","6,0127,","229",",6,0401,","92.7",",6,0930,","-0.6","6,1014","-3.3","6,1109","-5.0","6,1116","-11.7","6,1117","-11.7","6,1117","-1.7","6,0522","-2.8","6,0420","-5.6","6,0404","-6.7","6,0402","-9.4","6,0315","955.4",",6","1229",",6","1.85","6"
"USC00282130","1925","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","","","","","","","7","","153","6","-26.7","6,0128,","","","","","-3.9","6,1010","-3.9","6,1010","-4.4","6,1029","-8.3","6,1031","-8.9","6,1129","-0.6","6,0508","-2.2","6,0422","-5.0","6,0421","-11.1","6,0316","-11.1","6,0316","","","","","2.57","6"
"USC00282130","1926","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","135","6","78","6","","","7","","159","6","-22.8","6,0211,+","","","46.2",",6,0601,","-1.1","6,1016","-2.2","6,1022","-6.7","6,1104","-6.7","6,1104","-8.9","6,1112","-0.6","6,0505","-4.4","6,0427","-4.4","6,0427","-6.7","6,0416","-12.2","6,0317","997.2",",6","","","1.78","6"
"USC00282130","1927","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","139","6","92","6","","","4","","135","6","-24.4","6,0127,","","","62.2",",6,1103,","-0.6","6,1031","-2.8","6,1107","-4.4","6,1108","-10.6","6,1204","-10.6","6,1204","-2.8","6,0426","-2.8","6,0426","-4.4","6,0404","-8.3","6,0324","-12.2","6,0304","1352.2",",6","","","3.16","6"
"USC00282130","1928","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","133","6","74","6","","","5","","141","6","-20.0","6,0130,","","","74.7",",6,0817,","-3.9","6,1027","-3.9","6,1027","-4.4","6,1030","-9.4","6,1126","-9.4","6,1126","-1.1","6,0428","-2.2","6,0427","-5.6","6,0421","-7.2","6,0328","-11.7","6,0307","1212.9",",6","","","3.65","6"
"USC00282130","1929","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","","","","","","","2","","124","6","-22.2","6,0224,","","","","","0.0","6,1009","-2.8","6,1011","-4.4","6,1122","-8.9","6,1123","-8.9","6,1123","-0.6","6,0504","-3.3","6,0402","-4.4","6,0319","-15.0","6,0310","-15.0","6,0310","","","","","3.63","6"
"USC00282130","1930","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","","","","","","","8","","133","6","-21.7","6,0217,","","","","","-2.2","6,1019","-2.2","6,1019","-4.4","6,1102","-6.7","6,1127","-13.3","6,1128","0.0","6,0429","-4.4","6,0424","-4.4","6,0424","-6.7","6,0323","-11.1","6,0322","","","","","3.95","6"
"USC00282130","1931","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","","","","","","","4","","121","6","-18.3","6,0115,","","","","","-6.7","6,1107","-6.7","6,1107","-6.7","6,1107","-6.7","6,1107","-10.6","6,1206","0.0","6,0502","-2.2","6,0501","-5.6","6,0322","-6.7","6,0307","-8.9","6,0303","","","","","4.76","6"
"USC00282130","1932","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","99","6","76","6","","","0","","136","6","-17.2","6,1217,","","","102.9",",6,1006,","-0.6","6,1013","-3.9","6,1104","-5.0","6,1114","-10.0","6,1123","-10.0","6,1123","0.0","6,0428","-2.2","6,0417","-5.0","6,0404","-7.2","6,0319","-10.6","6,0316","1112.3",",6","","","4.08","6"
"USC00282130","1933","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","","","","","","","7","","141","6","-26.7","6,1230,","","","","","-2.2","6,1027","-2.2","6,1027","-5.6","6,1105","-9.4","6,1115","-9.4","6,1115","-2.8","6,0428","-2.8","6,0428","-5.6","6,0325","-6.7","6,0316","-10.0","6,0310","","","","","4.15","6"
"USC00282130","1934","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","98","6","75","6","","","21","","150","6","-34.4","6,0209,","","","53.3",",6,1006,+","-0.6","6,1012","-2.2","6,1030","-4.4","6,1113","-7.8","6,1207","-12.2","6,1208","0.0","6,0430","-2.8","6,0429","-4.4","6,0413","-6.7","6,0326","-12.2","6,0325","1018.1",",6","","","2.03","6"
"USC00282130","1935","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","86","6","59","6","","","13","","142","6","-26.1","6,0130,","","","61.0",",6,1031,","0.0","6,1005","-2.2","6,1024","-6.7","6,1124","-6.7","6,1124","-12.2","6,1204","-2.2","6,0417","-2.2","6,0417","-5.6","6,0326","-11.1","6,0314","-11.1","6,0314","934.5",",6","","","2.23","6"
"USC00282130","1939","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","98","6","79","6","","","","","","","","","","","50.8",",6,0824,","","","","","","","","","","","","","","","","","","","","","1060.1",",6","","","",""
"USC00282130","1940","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","103","6","80","6","","","","","","","","","","","60.2",",6,0828,","","","","","","","","","","","","","","","","","","","","","1183.3",",6","","","",""
"USC00282130","1941","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","77","6","60","6","","","","","","","","","","","43.2",",6,1101,","","","","","","","","","","","","","","","","","","","","","740.6",",6","","","",""
"USC00282130","1942","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","106","6","80","6","","","","","","","","","","","67.1",",6,0809,","","","","","","","","","","","","","","","","","","","","","1348.9",",6","","","",""
"USC00282130","1943","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","93","6","64","6","","","","","","","","","","","71.9",",6,1109,","","","","","","","","","","","","","","","","","","","","","881.9",",6","","","",""
"USC00282130","1944","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","93","6","77","6","","","","","","","","","","","69.6",",6,0914,","","","","","","","","","","","","","","","","","","","","","1146.5",",6","","","",""
"USC00282130","1945","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","131","6","101","6","","","","","","","","","","","63.5",",6,0824,","","","","","","","","","","","","","","","","","","","","","1427.0",",6","","","",""
"USC00282130","1946","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","93","6","62","6","","","","","","","","","","","49.5",",6,0602,","","","","","","","","","","","","","","","","","","","","","777.2",",6","","","",""
"USC00282130","1947","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","100","6","79","6","","","","","","","","","","","61.0",",6,0405,","","","","","","","","","","","","","","","","","","","","","1194.2",",6","","","",""
"USC00282130","1948","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","114","0","88","0","","","","","","","","","","","68.6",",0,1230,","","","","","","","","","","","","","","","","","","","","","1108.2",",0","","","",""
"USC00282130","1949","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","118","0","88","0","11","0","","","","","","","152",",0,0131,","41.9",",0,0520,","","","","","","","","","","","","","","","","","","","","","953.3",",0","741",",0","",""
"USC00282130","1950","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","127","0","88","0","11","0","","","","","","","127",",0,1205,+","78.0",",0,1125,","","","","","","","","","","","","","","","","","","","","","1218.8",",0","887",",0","",""
"USC00282130","1951","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","105","0","73","0","11","0","","","","","","","127",",0,1218,","54.9",",0,0728,","","","","","","","","","","","","","","","","","","","","","1263.4",",0","766",",0","",""
"USC00282130","1952","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","115","0","87","0","10","0","","","","","","","127",",0,1203,","87.6",",0,0901,","","","","","","","","","","","","","","","","","","","","","1558.0",",0","650",",0","",""
"USC00282130","1953","41.16667","-74.78333","232.0","CULVERS LAKE, NJ US","105","0","78","0","7","0","","","","","","","76",",0,1107,","85.6",",0,1207,","","","","","","","","","","","","","","","","","","","","","1148.3",",0","482",",0","",""
