"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00085182","1953","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","2000.3","","2000.3","0","149","0","107","0","0","","0","0","0","0","0","0","0","0","357","0","113","0","1.7","0,0105,","0",",0,1231,+","0",",0,1231,+","112.5",",0,0605,","36.7","0,0527,","","","","","","","","","","","","","166.3","","166.3","0","2047.4",",0","0",",0","23.43","0","29.48","0","17.37","0"
"USC00085182","1954","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","1833.6","","1833.6","0","136","0","105","0","","","","","0","0","2","0","0","0","352","0","108","0","-1.7","0,1221,","","","","","94.7",",0,0918,","35.6","0,0828,+","","","-1.7","0,1221","","","","","","","","","166.2","","166.2","0","1986.8",",0","","","22.79","0","29.04","0","16.54","0"
"USC00085182","1955","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","1769.6","","1769.6","0","98","0","70","0","0","","0","0","0","0","0","0","0","0","357","0","138","0","0.6","0,0131,","0",",0,1231,+","0",",0,1231,+","78.5",",0,0611,","35.6","0,0912,+","","","","","","","","","","","","","192.7","","192.7","0","1185.6",",0","0",",0","22.85","0","29.79","0","15.92","0"
"USC00085182","1956","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","1794.7","","1794.7","0","112","0","78","0","0","","0","0","0","0","4","0","0","0","352","0","114","0","-3.9","0,0109,","0",",0,1231,+","0",",0,1231,+","84.6",",0,0809,","37.2","0,0808,","","","-0.6","0,1230","","","-1.1","0,0115","-3.9","0,0109","","","181.2","","181.2","0","1115.9",",0","0",",0","22.56","0","29.39","0","15.73","0"
"USC00085182","1957","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","1992.9","","1992.9","0","149","0","107","0","0","","0","0","0","0","2","0","0","0","358","0","105","0","-1.7","0,1212,","0",",0,1231,+","0",",0,1231,+","173.2",",0,1224,","35.0","0,0818,","","","-1.7","0,1212","","","","","","","","","138.3","","138.3","0","2023.3",",0","0",",0","23.49","0","29.30","0","17.67","0"
"USC00085182","1958","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","1818.2","","1818.2","0","130","0","95","0","0","","0","0","0","0","4","0","0","0","329","0","114","0","-2.8","0,0205,","0",",0,1231,+","0",",0,1231,+","73.2",",0,0121,","36.1","0,0619,+","","","","","","","-2.8","0,0205","-2.8","0,0205","","","337.6","","337.6","0","1582.9",",0","0",",0","22.42","0","28.53","0","16.32","0"
"USC00085182","1959","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","1978.1","","1978.1","0","142","0","108","0","0","","0","0","0","0","1","0","0","0","348","0","112","0","-0.6","0,0118,","0",",0,1231,+","0",",0,1231,+","201.2",",0,0618,","34.4","0,1011,+","","","","","","","-0.6","0,0118","","","","","125.2","","125.2","0","2429.6",",0","0",",0","23.34","0","29.35","0","17.33","0"
"USC00085182","1960","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","","","","","136","0","101","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","231.6",",0,0918,","","","","","","","","","","","","","","","236.4","","236.4","0","1963.7",",0","0",",0","","","","","",""
"USC00085182","1961","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","1953.4","","1953.4","0","93","0","63","0","0","","0","0","0","0","5","0","0","0","353","0","148","0","-3.3","0,1230,","0",",0,1231,+","0",",0,1231,+","95.3",",0,1018,","36.7","0,0814,+","","","-1.7","0,1229","-3.3","0,1230","-1.1","0,0212","","","","","","","","","930.9",",0","0",",0","23.21","0","30.37","0","16.04","0"
"USC00085182","1962","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","1820.7","","1820.7","0","110","0","86","0","0","","0","0","0","0","6","0","0","0","351","0","131","0","-3.3","0,1211,","0",",0,1231,+","0",",0,1231,+","67.8",",0,0908,","39.4","0,0727,","","","-3.3","0,1211","-3.3","0,1211","0.0","0,0103","","","","","136.7","","136.7","0","1414.8",",0","0",",0","22.72","0","29.37","0","16.07","0"
"USC00085182","1963","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","1799.5","","1799.5","0","110","0","75","0","0","","0","0","0","0","1","0","0","0","348","0","131","0","0.0","0,1226,","0",",0,1231,+","0",",0,1231,+","104.1",",0,0503,","36.7","0,0816,+","","","0.0","0,1226","","","","","","","","","254.0","","254.0","0","1099.6",",0","0",",0","22.61","0","29.37","0","15.84","0"
"USC00085182","1964","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","1875.5","","1875.5","0","109","0","83","0","0","","0","0","0","0","2","0","0","0","352","0","106","0","-0.6","0,0115,","0",",0,1231,+","0",",0,1231,+","111.8",",0,0827,","36.7","0,0617,","","","","","","","0.0","0,0224","","","","","244.4","","244.4","0","1510.7",",0","0",",0","23.04","0","29.12","0","16.96","0"
"USC00085182","1965","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","1770.5","","1770.5","0","101","0","78","0","0","","0","0","0","0","2","0","0","0","352","0","82","0","-3.9","0,0118,","0",",0,1231,+","0",",0,1231,+","112.8",",0,1031,","35.6","0,0816,","","","","","","","-0.6","0,0119","-3.9","0,0118","","","121.0","","121.0","0","1479.2",",0","0",",0","22.78","0","29.00","0","16.55","0"
"USC00085182","1966","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","1702.9","","1702.9","0","144","0","112","0","0","","0","0","0","0","1","0","0","0","347","0","82","0","-2.2","0,0131,","0",",0,1231,+","0",",0,1231,+","122.9",",0,0410,","35.0","0,0826,+","","","","","","","-2.2","0,0131","-2.2","0,0131","","","177.0","","177.0","0","2025.9",",0","0",",0","22.35","0","28.12","0","16.57","0"
"USC00085182","1967","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","1825.1","","1825.1","0","101","0","71","0","0","","0","0","0","0","1","0","0","0","357","0","114","0","0.0","0,0106,","0",",0,1231,+","0",",0,1231,+","127.8",",0,0702,","36.7","0,0513,","","","","","","","0.0","0,0106","","","","","170.9","","170.9","0","1343.6",",0","0",",0","23.00","0","29.39","0","16.61","0"
"USC00085182","1968","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","1678.0","","1678.0","0","112","0","77","0","0","","0","0","0","0","3","0","0","0","337","0","88","0","-2.8","0,0302,","0",",0,1231,+","0",",0,1231,+","84.3",",0,0626,","35.6","0,0729,","","","-2.2","0,1216","-2.2","0,1216","-2.8","0,0302","-2.8","0,0302","","","213.3","","213.3","0","1673.5",",0","0",",0","22.06","0","28.37","0","15.75","0"
"USC00085182","1969","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","1715.3","","1715.3","0","130","0","99","0","0","","0","0","0","0","0","0","0","0","343","0","93","0","2.2","0,0220,","0",",0,1231,+","0",",0,1231,+","85.3",",0,0620,","36.1","0,0821,+","","","","","","","","","","","","","313.2","","313.2","0","1852.3",",0","0",",0","22.18","0","28.16","0","16.20","0"
"USC00085182","1970","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","","","","","117","0","83","0","0","","0","0","","","","","0","0","344","0","86","0","","","0",",0,1231,+","0",",0,1231,+","142.2",",0,0326,","35.6","0,0804,","","","","","","","","","","","","","","","","","1535.8",",0","0",",0","","","28.34","0","",""
"USC00085182","1971","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","1801.4","","1801.4","0","112","0","83","0","0","","0","0","0","0","4","0","0","0","353","0","100","0","-2.8","0,0120,","0",",0,1231,+","0",",0,1231,+","97.3",",0,1103,","36.1","0,0430,","","","","","","","0.0","0,0305","-2.8","0,0120","","","251.5","","251.5","0","1351.8",",0","0",",0","22.75","0","29.23","0","16.26","0"
"USC00085182","1972","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","1876.4","","1876.4","0","121","0","89","0","0","","0","0","0","0","0","0","0","0","358","0","80","0","1.1","0,1228,+","0",",0,1231,+","0",",0,1231,+","107.4",",0,0430,","36.1","0,0701,","","","","","","","","","","","","","56.8","","56.8","0","1458.9",",0","0",",0","23.18","0","29.22","0","17.14","0"
"USC00085182","1973","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","1859.5","","1859.5","0","132","0","89","0","0","","0","0","0","0","2","0","0","0","346","0","96","0","0.0","0,1222,+","0",",0,1231,+","0",",0,1231,+","81.3",",0,0127,","35.0","0,0716,+","","","0.0","0,1218","","","","","","","","","188.9","","188.9","0","1414.6",",0","0",",0","22.79","0","28.72","0","16.86","0"
"USC00085182","1974","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","","","","","115","0","87","0","0","","0","0","","","","","0","0","357","0","93","0","","","0",",0,1231,+","0",",0,1231,+","96.8",",0,0114,","34.4","0,0928,+","","","","","","","","","","","","","142.0","","142.0","0","1383.2",",0","0",",0","","","29.06","0","",""
"USC00085182","1975","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","","","","","119","0","88","0","0","","0","0","","","","","0","0","356","0","126","0","","","0",",0,1231,+","0",",0,1231,+","78.0",",0,0706,","35.6","0,0614,","","","","","","","","","","","","","","","","","1493.7",",0","0",",0","","","29.81","0","",""
"USC00085182","1976","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","","","","","119","0","79","0","0","","0","0","","","","","0","0","352","0","67","0","","","0",",0,1231,+","0",",0,1231,+","70.4",",0,0530,","35.0","0,0821,+","","","","","","","","","","","","","","","","","1342.4",",0","0",",0","","","28.44","0","",""
"USC00085182","1977","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","1768.2","","1768.2","0","121","0","78","0","0","","0","0","0","0","5","0","0","0","342","0","100","0","-4.4","0,0120,","0",",0,1231,+","0","T,0,0119,","109.7",",0,0529,","36.1","0,0626,+","","","","","","","-1.1","0,0218","-4.4","0,0120","-4.4","0,0120","","","","","1703.1",",0","0","T,0","22.46","0","28.61","0","16.30","0"
"USC00085182","1978","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","1903.5","","1903.5","0","123","0","102","0","0","","0","0","0","0","4","0","0","0","342","0","133","0","-2.2","0,0223,","0",",0,1231,+","0",",0,1231,+","101.1",",0,0719,","35.0","0,0909,+","","","","","","","-2.2","0,0223","-2.2","0,0223","","","238.9","","238.9","0","1567.8",",0","0",",0","23.02","0","29.32","0","16.71","0"
"USC00085182","1979","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","1839.4","","1839.4","0","104","0","86","0","0","","0","0","0","0","1","0","0","0","352","0","105","0","-1.1","0,0202,","0",",0,1231,+","0",",0,1231,+","130.0",",0,0913,","36.1","0,0706,","","","","","","","-1.1","0,0202","","","","","139.3","","139.3","0","1395.5",",0","0",",0","22.92","0","29.30","0","16.55","0"
"USC00085182","1980","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","","","","","","","","","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","","","","","","","","","","","","","","","","","","","","","","","0",",0","","","","","",""
"USC00085182","1981","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","1885.0","","1885.0","0","100","0","74","0","0","","0","0","0","0","6","0","0","0","354","0","139","0","-3.3","0,0119,","0",",0,1231,+","0",",0,1231,+","94.5",",0,0818,","37.8","0,0717,+","","","0.0","0,1211","","","-3.3","0,0119","-3.3","0,0119","","","","","","","1273.2",",0","0",",0","22.73","0","29.70","0","15.76","0"
"USC00085182","1982","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","2021.1","","2021.1","0","126","0","100","0","0","","0","0","0","0","2","0","0","0","359","0","96","0","-4.4","0,0112,","0",",0,1231,+","0",",0,1231,+","81.8",",0,1109,","35.6","0,0828,","","","","","","","0.0","0,0115","-4.4","0,0112","-4.4","0,0112","149.9","","149.9","0","1918.4",",0","0",",0","23.61","0","29.63","0","17.60","0"
"USC00085182","1983","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","1874.3","","1874.3","0","135","0","109","0","0","","0","0","0","0","1","0","0","0","351","0","96","0","-2.2","0,1226,","0",",0,1231,+","0",",0,1231,+","214.6",",0,1023,","36.1","0,0911,+","","","-2.2","0,1226","-2.2","0,1226","","","","","","","160.6","","160.6","0","2038.8",",0","0",",0","22.95","0","29.02","0","16.88","0"
"USC00085182","1984","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","","","","","114","0","83","0","","","0","0","0","0","1","0","","","","","","","0.0","0,0301,","","","0",",0,1231,+","138.4",",0,0927,","","","","","","","","","0.0","0,0301","","","","","158.2","","158.2","0","1488.6",",0","0",",0","","","","","16.73","0"
"USC00085182","1985","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","2013.3","","2013.3","0","119","0","83","0","0","","0","0","0","0","7","0","0","0","354","0","124","0","-3.9","0,0123,+","0",",0,1231,+","0",",0,1231,+","116.8",",0,0415,","35.6","0,0608,+","","","-0.6","0,1226","","","-1.1","0,0214","-3.9","0,0123","","","","","","","1449.8",",0","0",",0","23.25","0","29.62","0","16.87","0"
"USC00085182","1986","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","2003.2","","2003.2","0","123","0","95","0","0","","0","0","0","0","4","0","0","0","360","0","107","0","-2.8","0,0129,","0",",0,1231,+","0",",0,1231,+","113.5",",0,0624,","35.6","0,0429,","","","","","","","0.0","0,0303","-2.8","0,0129","","","183.1","","183.1","0","1647.4",",0","0",",0","23.47","0","29.71","0","17.23","0"
"USC00085182","1987","26.68333","-80.26667","4.3","LOXAHATCHEE, FL US","2009.9","","2009.9","0","111","0","81","0","0","","0","0","0","0","0","0","0","0","356","0","131","0","0.6","0,0128,+","0",",0,1231,+","0",",0,1231,+","193.0",",0,1104,","36.7","0,0816,+","","","","","","","","","","","","","117.2","","117.2","0","1579.0",",0","0",",0","23.43","0","29.54","0","17.31","0"
