"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00026627","1956","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","0.0","","0.0","0","122","0","56","0","220","","23","0","128","0","237","0","180","0","3","0","0","0","-45.6","0,0228,","762",",0,0317,+","320",",0,0225,","24.4",",0,0224,","24.4","0,0607,","-1.1","0,0917","-2.8","0,0918","-7.2","0,0920","-7.2","0,0920","-10.0","0,0921","-1.1","0,0625","-3.9","0,0602","-7.2","0,0422","-7.2","0,0422","-13.9","0,0421","8480.3","","8480.3","0","432.1",",0","2034",",0","-6.04","0","-1.66","0","-10.42","0","","","","","","","",""
"USW00026627","1957","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","3.6","","3.6","0","140","0","43","0","178","","16","0","58","0","216","0","136","0","9","0","0","0","-45.6","0,1227,","533",",0,0125,","152",",0,0927,","15.7",",0,0927,","29.4","0,0606,","-3.9","0,0920","-3.9","0,0920","-5.0","0,0921","-8.3","0,0925","-12.2","0,0929","-3.9","0,0522","-3.9","0,0522","-8.9","0,0504","-8.9","0,0504","-8.9","0,0504","7802.1","","7802.1","0","369.8",",0","1183",",0","-1.29","0","2.40","0","-4.99","0","","","","","","","",""
"USW00026627","1958","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","0.3","","0.3","0","109","0","47","0","140","","6","0","53","0","235","0","172","0","8","0","0","0","-44.4","0,0101,","178",",0,0311,+","51",",0,1006,","33.0",",0,0811,","25.0","0,0620,","0.0","0,0919","-2.2","0,0928","-7.8","0,1003","-7.8","0,1003","-11.1","0,1017","-1.1","0,0520","-2.2","0,0518","-8.9","0,0513","-8.9","0,0513","-8.9","0,0513","7338.9","","7338.9","0","379.1",",0","542",",0","-1.91","0","1.76","0","-5.58","0","","","","","","","",""
"USW00026627","1959","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","0.0","","0.0","0","94","0","35","0","204","","8","0","95","0","226","0","183","0","6","0","0","0","-39.4","0,1213,+","381",",0,0415,+","51",",0,0411,","38.9",",0,0710,","24.4","0,0603,","-0.6","0,0906","-2.2","0,0910","-5.0","0,1008","-6.7","0,1010","-8.9","0,1011","0.0","0,0527","-4.4","0,0501","-4.4","0,0501","-7.8","0,0428","-17.2","0,0420","7945.4","","7945.4","0","298.8",",0","501",",0","-4.17","0","-0.16","0","-8.17","0","","","","","","","",""
"USW00026627","1960","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","0.0","","0.0","0","77","0","32","0","183","","5","0","75","0","244","0","178","0","8","0","0","0","-37.2","0,0213,+","279",",0,0225,+","51",",0,0406,","25.9",",0,0423,","27.8","0,0811,","0.0","0,0904","-3.9","0,0905","-5.0","0,0922","-6.7","0,1006","-11.7","0,1007","0.0","0,0606","-2.2","0,0605","-11.7","0,0428","-11.7","0,0428","-11.7","0,0428","8154.4","","8154.4","0","218.0",",0","351",",0","-2.66","0","1.28","0","-6.60","0","","","","","","","",""
"USW00026627","1961","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","0.0","","0.0","0","128","0","61","0","179","","26","0","101","0","225","0","176","0","1","0","0","0","-42.8","0,1227,","533",",0,0423,","114",",0,0401,","16.8",",0,0701,","21.7","0,0530,","-2.2","0,0929","-2.2","0,0929","-5.6","0,0930","-10.6","0,1009","-10.6","0,1009","0.0","0,0705","-2.2","0,0521","-5.6","0,0512","-7.8","0,0426","-10.6","0,0421","7698.8","","7698.8","0","490.9",",0","1652",",0","-4.38","0","-0.51","0","-8.24","0","","","","","","","",""
"USW00026627","1962","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","1.4","","1.4","0","151","0","64","0","205","","24","0","74","0","238","0","174","0","8","0","0","0","-42.8","0,0128,","381",",0,0223,+","94",",0,1105,","32.3",",0,0901,","26.1","0,0801,","-0.6","0,0831","-2.2","0,0913","-5.0","0,0914","-7.2","0,1010","-11.7","0,1011","0.0","0,0605","-2.2","0,0529","-4.4","0,0503","-9.4","0,0502","-9.4","0,0502","8006.3","","8006.3","0","500.9",",0","1435",",0","-2.61","0","0.83","0","-6.04","0","","","","","","","",""
"USW00026627","1963","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","0.6","","0.6","0","145","0","60","0","163","","23","0","68","0","229","0","178","0","5","0","0","0","-38.9","0,0107,","1016",",0,0324,","165",",0,0321,","29.7",",0,0816,","26.7","0,0813,","-0.6","0,0920","-2.2","0,0921","-5.0","0,0922","-6.7","0,1002","-8.9","0,1010","0.0","0,0608","-2.2","0,0607","-4.4","0,0504","-6.7","0,0503","-11.1","0,0424","7442.8","","7442.8","0","556.9",",0","1761",",0","-2.58","0","1.05","0","-6.20","0","","","","","","","",""
"USW00026627","1964","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","0.3","","0.3","0","140","0","45","0","216","","20","0","97","0","240","0","186","0","9","0","0","0","-42.8","0,0217,","457",",0,0317,+","86",",0,1105,","21.6",",0,1229,","25.0","0,0813,+","-2.2","0,0915","-2.2","0,0915","-5.0","0,0916","-6.7","0,1011","-11.1","0,1028","0.0","0,0603","-4.4","0,0528","-4.4","0,0528","-10.0","0,0510","-10.0","0,0510","8164.6","","8164.6","0","307.0",",0","1304",",0","-4.16","0","-0.26","0","-8.05","0","","","","","","","",""
"USW00026627","1965","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","0.3","","0.3","0","182","0","75","0","197","","","","71","0","230","0","183","0","3","0","0","0","-39.4","0,0116,","660",",0,0301,+","","","27.4",",0,0922,","25.6","0,0728,","0.0","0,0920","-5.6","0,0929","-5.6","0,0929","-7.2","0,0930","-8.9","0,1004","0.0","0,0525","-3.3","0,0524","-4.4","0,0515","-11.7","0,0514","-11.7","0,0514","7750.2","","7750.2","0","616.9",",0","","","-3.23","0","0.27","0","-6.73","0","","","","","","","",""
"USW00026627","1966","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","1.4","","1.4","0","132","0","43","0","180","","","","94","0","235","0","186","0","8","0","0","0","-39.4","0,0316,","381",",0,1231,","","","18.0",",0,0704,","25.0","0,0725,","-1.1","0,0820","-2.2","0,1010","-7.8","0,1017","-7.8","0,1017","-8.9","0,1018","-0.6","0,0603","-2.8","0,0527","-5.0","0,0523","-6.7","0,0522","-10.6","0,0517","8214.7","","8214.7","0","354.6",",0","","","-3.83","0","-0.27","0","-7.40","0","","","","","","","",""
"USW00026627","1967","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","0.0","","0.0","0","138","0","44","0","175","","","","58","0","229","0","157","0","4","0","0","0","-34.4","0,1202,","406",",0,0313,+","","","33.3",",0,0811,","23.3","0,0804,","-0.6","0,0903","-2.2","0,0906","-5.0","0,1009","-7.2","0,1016","-12.2","0,1018","-1.1","0,0603","-2.2","0,0528","-6.7","0,0506","-6.7","0,0506","-12.8","0,0415","7250.7","","7250.7","0","395.6",",0","","","-1.48","0","2.18","0","-5.14","0","","","","","","","",""
"USW00026627","1968","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","8.5","","8.5","0","112","0","29","0","182","","12","0","88","0","259","0","173","0","9","0","0","0","-38.9","0,1207,","457",",0,0325,+","135",",0,1127,","24.4",",0,0804,","30.0","0,0707,","0.0","0,0829","-2.8","0,0916","-6.1","0,0919","-9.4","0,0925","-9.4","0,0925","0.0","0,0608","-2.8","0,0602","-5.0","0,0516","-6.7","0,0515","-10.6","0,0503","7877.0","","7877.0","0","234.7",",0","1105",",0","-3.74","0","0.46","0","-7.93","0","","","","","","","",""
"USW00026627","1969","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","0.0","","0.0","0","110","0","34","0","164","","13","0","58","0","220","0","157","0","5","0","0","0","-41.1","0,0103,","635",",0,0227,+","135",",0,1105,","19.3",",0,0830,","25.6","0,0525,+","0.0","0,0811","-3.9","0,1019","-5.6","0,1021","-6.7","0,1027","-14.4","0,1029","-2.2","0,0604","-2.2","0,0604","-7.2","0,0424","-7.2","0,0424","-12.2","0,0423","7501.0","","7501.0","0","272.0",",0","959",",0","-1.42","0","2.37","0","-5.21","0","90","X","","","20.1","X","",""
"USW00026627","1970","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","0.0","","0.0","0","121","0","47","0","205","","18","0","80","0","242","0","164","0","1","0","0","0","-41.1","0,0128,","533",",0,1231,+","175",",0,1116,","23.1",",0,1007,+","21.7","0,0726,","0.0","0,0830","-2.2","0,0831","-8.3","0,0925","-8.3","0,0925","-10.0","0,0926","0.0","0,0609","-2.8","0,0510","-4.4","0,0509","-8.9","0,0502","-8.9","0,0502","7621.9","","7621.9","0","410.1",",0","1427",",0","-3.53","0","0.05","0","-7.11","0","80","X","","","25.0","X","",""
"USW00026627","1971","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","0.0","","0.0","0","140","0","41","0","217","","12","0","104","0","235","0","191","0","3","0","0","0","-45.6","0,0311,","838",",0,0228,+","97",",0,0110,","14.2",",0,0929,","22.2","0,0719,","-0.6","0,0907","-2.8","0,0913","-5.6","0,1001","-6.7","0,1002","-9.4","0,1003","-2.2","0,0524","-2.2","0,0524","-8.9","0,0517","-8.9","0,0517","-8.9","0,0517","8814.6","","8814.6","0","313.6",",0","1099",",0","-5.53","0","-1.85","0","-9.22","0","110","X","","","23.7","X","",""
"USW00026627","1972","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","18.5","","18.5","0","114","0","35","0","190","","8","0","92","0","235","0","180","0","14","0","0","0","-36.7","0,0114,","635",",0,0413,+","56",",0,1228,+","16.8",",0,1014,","30.6","0,0707,","-1.1","0,0917","-2.8","0,0918","-4.4","0,0919","-7.8","0,0930","-10.0","0,1001","-0.6","0,0607","-2.2","0,0521","-7.2","0,0429","-7.2","0,0429","-11.7","0,0427","8274.9","","8274.9","0","279.8",",0","591",",0","-3.29","0","0.08","0","-6.67","0","70","X","","","21.9","X","",""
"USW00026627","1975","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","2.0","","2.0","0","124","0","32","0","171","","2","0","91","0","235","0","172","0","9","0","0","0","-38.9","0,1210,+","330",",0,0421,+","81",",0,1014,","24.9",",0,0710,","27.2","0,0707,","0.0","0,0908","-3.3","0,0920","-5.6","0,0921","-7.2","0,1008","-10.6","0,1025","-0.6","0,0613","-3.3","0,0523","-6.7","0,0519","-6.7","0,0519","-11.1","0,0428","","","","","276.0",",0","547",",0","-4.04","0","-0.43","0","-7.65","0","","","","","","","",""
"USW00026627","1976","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","0.8","","0.8","0","120","0","18","0","173","","2","0","88","0","225","0","167","0","7","0","0","0","-43.3","0,0211,","330",",0,0402,+","33",",0,0425,","19.6",",0,0724,","25.6","0,0713,","-0.6","0,0904","-2.2","0,1001","-6.1","0,1009","-9.4","0,1010","-9.4","0,1010","0.0","0,0604","-2.2","0,0530","-4.4","0,0528","-19.4","0,0428","-19.4","0,0428","8131.4","","8131.4","0","206.8",",0","473",",0","-3.43","0","0.74","0","-7.59","0","60","X","68","X","22.8","X","31.4","X"
"USW00026627","1977","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","11.4","","11.4","0","131","0","37","0","204","","8","0","85","0","248","0","172","0","24","0","0","0","-40.0","0,1215,","254",",0,0422,+","102",",0,1105,","21.6",",0,0926,","29.4","0,0822,+","0.0","0,0904","-2.2","0,0905","-5.6","0,1008","-8.9","0,1013","-8.9","0,1013","-0.6","0,0605","-2.8","0,0603","-4.4","0,0514","-10.0","0,0504","-10.0","0,0504","7388.5","","7388.5","0","317.7",",0","775",",0","-2.70","0","1.70","0","-7.11","0","90","X","","","24.1","X","",""
"USW00026627","1978","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7184.4","","7184.4","0","","","","","","","","","","","","","","","","","",""
"USW00026627","1992","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","","","","","100","0","30","0","","","7","0","","","","","","","","","","","","","","","86",",0,0209,","18.5",",0,0821,","","","","","","","","","","","","","","","","","","","","","","","","","","","233.6",",0","783",",0","","","","","","","","","","","","","",""
"USW00026627","1993","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","","","","","92","0","27","0","","","3","0","","","","","","","","","","","","","","","46",",0,0319,","21.1",",0,0919,","","","","","","","","","","","","","","","","","","","","","","","","","","","225.6",",0","460",",0","","","","","","","","","","","","","",""
"USW00026627","1994","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","","","","","111","0","39","0","","","8","0","","","","","","","","","","","","","","","61",",0,1117,","34.5",",0,0824,","","","","","","","","","","","","","","","","","","","","","","","","","","","380.1",",0","764",",0","","","","","","","","","","","","","",""
"USW00026627","1995","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","","","","","70","0","16","0","","","0","0","","","","","","","","","","","","","","","23",",0,0122,","6.9",",0,0929,","","","","","","","","","","","","","","","","","","","","","","","","","","","106.3",",0","183",",0","","","","","","","","","","","","","",""
