"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00012844","1952","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","2267.7","","2267.7","0","113","0","74","0","0","","0","0","0","0","0","0","0","0","355","0","117","0","3.3","0,1216,","0",",0,1231,+","0","T,0,0612,","144.8",",0,0908,","36.1","0,0816,+","","","","","","","","","90.9","","90.9","0","1292.8",",0","0","T,0","24.20","0","29.13","0","19.27","0","","","","","","","","","","","","","","","",""
"USW00012844","1953","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","2281.1","","2281.1","0","137","0","105","0","0","","0","0","0","0","0","0","0","0","353","0","95","0","4.4","0,0105,","0",",0,1231,+","0",",0,1231,+","64.3",",0,0829,","35.0","0,0619,+","","","","","","","","","108.9","","108.9","0","1807.5",",0","0",",0","24.28","0","28.83","0","19.73","0","","","","","","","","","","","","","","","",""
"USW00012844","1954","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","2096.0","","2096.0","0","158","0","116","0","0","","0","0","0","0","0","0","0","0","348","0","74","0","3.3","0,1222,+","0",",0,1231,+","0","T,0,0614,+","109.5",",0,0618,","36.1","0,0611,","","","","","","","","","127.7","","127.7","0","1859.8",",0","0","T,0","23.63","0","28.21","0","19.05","0","","","","","","","","","","","","","","","",""
"USW00012844","1955","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","2102.2","","2102.2","0","111","0","64","0","0","","0","0","0","0","0","0","0","0","356","0","84","0","3.9","0,0130,","0",",0,1231,+","0",",0,1231,+","95.3",",0,1214,","36.1","0,0810,","","","","","","","","","158.6","","158.6","0","948.4",",0","0",",0","23.77","0","28.60","0","18.94","0","","","","","","","","","","","","","","","",""
"USW00012844","1956","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","2126.7","","2126.7","0","107","0","62","0","0","","0","0","0","0","1","0","0","0","342","0","76","0","-0.6","0,0109,","0",",0,1231,+","0",",0,1231,+","88.1",",0,0908,","36.1","0,0807,","","","","","-0.6","0,0109","","","155.3","","155.3","0","976.0",",0","0",",0","23.57","0","28.32","0","18.82","0","","","","","","","","","","","","","","","",""
"USW00012844","1957","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","2293.7","","2293.7","0","154","0","102","0","0","","0","0","0","0","1","0","0","0","354","0","94","0","-0.6","0,1212,","0",",0,1231,+","0",",0,1231,+","159.8",",0,0121,","35.0","0,0702,","-0.6","0,1212","","","","","","","103.0","","103.0","0","1598.7",",0","0",",0","24.39","0","28.85","0","19.93","0","","","","","","","","","","","","","","","",""
"USW00012844","1958","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","2186.4","","2186.4","0","137","0","87","0","0","","0","0","0","0","0","0","0","0","327","0","95","0","1.1","0,0109,","0",",0,1231,+","0",",0,1231,+","178.8",",0,0505,","36.1","0,0617,+","","","","","","","","","295.6","","295.6","0","1656.0",",0","0",",0","23.55","0","27.98","0","19.14","0","","","","","","","","","","","","","","","",""
"USW00012844","1959","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","2358.0","","2358.0","0","158","0","103","0","0","","0","0","0","0","0","0","0","0","346","0","93","0","1.7","0,0118,","0",",0,1231,+","0",",0,1231,+","130.8",",0,1020,","35.6","0,0630,","","","","","","","","","101.0","","101.0","0","1744.1",",0","0",",0","24.45","0","28.71","0","20.19","0","","","","","","","","","","","","","","","",""
"USW00012844","1960","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","2134.2","","2134.2","0","133","0","94","0","0","","0","0","0","0","0","0","0","0","343","0","80","0","2.2","0,0122,","0",",0,1231,+","0",",0,1231,+","131.8",",0,0917,","34.4","0,0823,+","","","","","","","","","201.7","","201.7","0","1696.0",",0","0",",0","23.60","0","28.21","0","18.99","0","","","","","","","","","","","","","","","",""
"USW00012844","1961","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","2199.9","","2199.9","0","102","0","64","0","0","","0","0","0","0","0","0","0","0","350","0","96","0","1.1","0,1230,","0",",0,1231,+","0",",0,1231,+","55.6",",0,0109,","35.0","0,0914,+","","","","","","","","","143.1","","143.1","0","959.4",",0","0",",0","23.95","0","28.60","0","19.29","0","","","","","","","","","","","","","","","",""
"USW00012844","1962","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","2090.5","","2090.5","0","119","0","83","0","0","","0","0","0","0","1","0","0","0","350","0","93","0","-1.1","0,1213,","0",",0,1231,+","0",",0,1231,+","77.5",",0,0921,","35.6","0,0804,+","-1.1","0,1213","","","","","","","121.9","","121.9","0","1234.7",",0","0",",0","23.58","0","28.55","0","18.62","0","","","","","","","","","","","","","","","",""
"USW00012844","1963","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","2084.9","","2084.9","0","114","0","79","0","0","","0","0","0","0","0","0","0","0","337","0","92","0","3.9","0,1225,","0",",0,1231,+","0",",0,1231,+","163.3",",0,1002,","36.7","0,0814,+","","","","","","","","","194.1","","194.1","0","1354.7",",0","0",",0","23.52","0","28.25","0","18.79","0","","","","","","","","","","","","","","","",""
"USW00012844","1964","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","2156.9","","2156.9","0","128","0","89","0","0","","0","0","0","0","0","0","0","0","346","0","70","0","1.7","0,0114,","0",",0,1231,+","0",",0,1231,+","177.8",",0,1011,","34.4","0,0814,+","","","","","","","","","201.6","","201.6","0","2014.8",",0","0",",0","23.87","0","28.19","0","19.55","0","","","","","","","","","","","","","","","",""
"USW00012844","1965","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","2175.9","","2175.9","0","111","0","76","0","0","","0","0","0","0","1","0","0","0","351","0","59","0","0.0","0,0118,","0",",0,1231,+","0",",0,1231,+","127.0",",0,1014,","33.9","0,0731,+","","","","","0.0","0,0118","","","92.4","","92.4","0","1480.6",",0","0",",0","23.99","0","28.63","0","19.34","0","80","X","","","","","","","20.6","X","","","","","",""
"USW00012844","1966","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","1989.5","","1989.5","0","150","0","104","0","0","","0","0","0","0","1","0","0","0","343","0","32","0","0.0","0,0131,","0",",0,1231,+","0",",0,1231,+","107.4",",0,0630,","33.9","0,0721,","","","","","0.0","0,0131","","","132.4","","132.4","0","2025.6",",0","0",",0","23.26","0","27.62","0","18.91","0","170","X","","","","","","","19.7","X","","","","","",""
"USW00012844","1967","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","2039.8","","2039.8","0","111","0","75","0","0","","0","0","0","0","0","0","0","0","354","0","55","0","1.7","0,0226,","0",",0,1231,+","0",",0,1231,+","103.1",",0,1005,","35.6","0,0509,","","","","","","","","","143.6","","143.6","0","1309.5",",0","0",",0","23.63","0","28.44","0","18.81","0","260","X","","","","","","","15.6","X","","","","","",""
"USW00012844","1968","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","1803.6","","1803.6","0","116","0","88","0","0","","0","0","0","0","1","0","0","0","330","0","35","0","-0.6","0,0302,","0",",0,1231,+","0",",0,1231,+","92.7",",0,0930,+","33.9","0,0424,","","","","","-0.6","0,0302","","","199.5","","199.5","0","1967.4",",0","0",",0","22.45","0","27.23","0","17.67","0","130","X","","","","","","","15.6","X","","","","","",""
"USW00012844","1969","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","1894.3","","1894.3","0","149","0","109","0","0","","0","0","0","0","0","0","0","0","331","0","39","0","3.9","0,1227,","0",",0,1231,+","0",",0,1231,+","124.0",",0,0620,","35.6","0,0712,","","","","","","","","","259.4","","259.4","0","2025.6",",0","0",",0","22.84","0","27.21","0","18.47","0","310","X","","","","","","","17.4","X","","","","","",""
"USW00012844","1970","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","2036.4","","2036.4","0","119","0","82","0","0","","0","0","0","0","1","0","0","0","337","0","57","0","-1.7","0,0110,","0",",0,1231,+","0",",0,1231,+","105.4",",0,0325,","36.1","0,0804,","","","","","-1.7","0,0110","","","271.5","","271.5","0","1405.1",",0","0",",0","23.21","0","27.76","0","18.67","0","180","X","","","","","","","17.9","X","","","","","",""
"USW00012844","1971","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","2220.3","","2220.3","0","135","0","87","0","0","","0","0","0","0","1","0","0","0","353","0","96","0","-1.1","0,0120,","0",",0,1231,+","0",",0,1231,+","74.4",",0,0515,","37.2","0,0430,","","","","","-1.1","0,0120","","","220.4","","220.4","0","1304.5",",0","0",",0","23.94","0","28.89","0","19.00","0","10","X","","","","","","","17.9","X","","","","","",""
"USW00012844","1972","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","2420.9","","2420.9","0","135","0","94","0","0","","0","0","0","0","0","0","0","0","357","0","87","0","6.1","0,0220,","0",",0,1231,+","0",",0,1231,+","135.4",",0,1107,","35.6","0,0629,","","","","","","","","","29.7","","29.7","0","1909.0",",0","0",",0","24.78","0","29.25","0","20.31","0","140","X","","","","","","","17.4","X","","","","","",""
"USW00012844","1973","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","2291.6","","2291.6","0","136","0","95","0","0","","0","0","0","0","0","0","0","0","346","0","70","0","2.2","0,1222,","0",",0,1231,+","0",",0,1231,+","66.0",",0,0722,","34.4","0,0525,","","","","","","","","","110.1","","110.1","0","1390.5",",0","0",",0","24.17","0","28.60","0","19.75","0","290","X","","","","","","","14.8","X","","","","","",""
"USW00012844","1974","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","2269.0","","2269.0","0","124","0","87","0","0","","0","0","0","0","0","0","0","0","356","0","48","0","3.3","0,0211,","0",",0,1231,+","0",",0,1231,+","110.2",",0,1006,","35.0","0,0527,+","","","","","","","","","101.3","","101.3","0","1485.2",",0","0",",0","24.29","0","28.62","0","19.96","0","340","X","","","","","45","X","20.6","X","","","","","25.7","X"
"USW00012844","1975","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","2182.0","","2182.0","0","129","0","85","0","0","","0","0","0","0","0","0","0","0","354","0","21","0","2.8","0,1222,","0",",0,1231,+","0",",0,1231,+","109.2",",0,0918,","33.3","0,0727,","","","","","","","","","66.4","","66.4","0","1128.4",",0","0",",0","24.06","0","28.51","0","19.61","0","240","X","","","","","315","X","13.0","X","","","","","26.7","X"
"USW00012844","1976","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","1919.8","","1919.8","0","120","0","80","0","0","","0","0","0","0","0","0","0","0","349","0","32","0","2.2","0,0118,","0",",0,1231,+","0",",0,1231,+","126.7",",0,0528,","34.4","0,0716,+","","","","","","","","","176.8","","176.8","0","1405.5",",0","0",",0","23.13","0","27.56","0","18.70","0","270","X","","","","","135","X","16.5","X","","","","","23.6","X"
"USW00012844","1977","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","2093.6","","2093.6","0","130","0","83","0","0","","0","0","0","0","3","0","0","0","338","0","69","0","-2.8","0,0120,","0",",0,1231,+","0","T,0,0119,","133.9",",0,0505,","34.4","0,0821,+","","","","","-2.8","0,0120","-2.8","0,0120","234.3","","234.3","0","1632.8",",0","0","T,0","23.39","0","27.94","0","18.83","0","300","X","","","","","180","X","13.9","X","","","","","21.1","X"
"USW00012844","1978","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","2099.3","","2099.3","0","145","0","91","0","0","","0","0","0","0","1","0","0","0","339","0","75","0","0.0","0,0223,","0",",0,1231,+","0",",0,1231,+","133.6",",0,1107,","34.4","0,0907,+","","","","","0.0","0,0223","","","255.3","","255.3","0","1580.5",",0","0",",0","23.49","0","27.97","0","19.00","0","310","X","","","","","45","X","17.4","X","","","","","21.1","X"
"USW00012844","1979","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","2039.3","","2039.3","0","135","0","86","0","0","","0","0","0","0","0","0","0","0","344","0","67","0","1.7","0,0103,","0",",0,1231,+","0",",0,1231,+","164.8",",0,0425,","34.4","0,0904,+","","","","","","","","","154.1","","154.1","0","1554.8",",0","0",",0","23.38","0","27.82","0","18.94","0","360","X","","","","","360","X","25.9","X","","","","","33.4","X"
"USW00012844","1980","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","2112.6","","2112.6","0","126","0","81","0","0","","0","0","0","0","1","0","0","0","338","0","90","0","-1.1","0,0303,","0",",0,1231,+","0",",0,1231,+","88.1",",0,0127,","36.7","0,0609,","","","","","-1.1","0,0303","","","206.4","","206.4","0","1440.4",",0","0",",0","23.45","0","28.40","0","18.50","0","350","X","","","","","270","X","15.6","X","","","","","41.1","X"
"USW00012844","1981","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","2108.4","","2108.4","0","111","0","61","0","0","","0","0","0","0","1","0","0","0","345","0","107","0","0.0","0,0113,","0",",0,1231,+","0",",0,1231,+","100.1",",0,1105,","37.2","0,0716,","","","","","0.0","0,0113","","","210.4","","210.4","0","1264.6",",0","0",",0","23.45","0","28.43","0","18.47","0","290","X","","","","","180","X","17.9","X","","","","","28.3","X"
"USW00012844","1982","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","2415.4","","2415.4","0","159","0","97","0","0","","0","0","0","0","1","0","0","0","356","0","72","0","-1.7","0,0112,","0",",0,1231,+","0",",0,1231,+","149.6",",0,1101,","35.0","0,0802,","","","","","-1.7","0,0112","","","139.1","","139.1","0","2049.0",",0","0",",0","24.73","0","28.61","0","20.85","0","290","X","","","","","270","X","16.5","X","","","","","24.7","X"
"USW00012844","1983","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","","","2077.8","","2077.8","0","152","0","116","0","0","","0","0","0","0","1","0","0","0","341","0","79","0","-1.1","0,1226,","0",",0,1231,+","0",",0,1231,+","131.1",",0,0120,","37.2","0,0726,","-1.1","0,1226","","","","","","","138.0","","138.0","0","2101.2",",0","0",",0","23.54","0","27.58","0","19.50","0","80","X","","","","","90","X","17.4","X","","","","","23.6","X"
"USW00012844","1984","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","4.2","X","1985.9","","1985.9","0","141","0","79","0","0","","0","0","0","0","0","0","0","0","351","0","18","0","2.2","0,0301,","0",",0,1231,+","0",",0,1231,+","188.2",",0,1122,","33.9","0,0820,+","","","","","","","","","168.5","","168.5","0","1773.8",",0","0",",0","23.37","0","27.50","0","19.24","0","360","X","","","","","360","X","17.0","X","","","","","25.2","X"
"USW00012844","1985","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","3.8","X","2202.0","","2202.0","0","127","0","75","0","0","","0","0","0","0","3","0","0","0","341","0","56","0","-2.2","0,0122,","0",",0,1231,+","0",",0,1231,+","80.3",",0,0321,","35.0","0,0603,","","","","","0.0","0,0123","-2.2","0,0122","180.8","","180.8","0","1219.9",",0","0",",0","23.75","0","28.19","0","19.31","0","230","X","","","","","135","X","15.6","X","","","","","22.6","X"
"USW00012844","1986","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","4.2","X","2286.2","","2286.2","0","151","0","113","0","0","","0","0","0","0","1","0","0","0","353","0","68","0","-0.6","0,0128,","0",",0,1231,+","0",",0,1231,+","100.8",",0,1206,","35.0","0,0729,+","","","","","-0.6","0,0128","","","171.2","","171.2","0","1760.9",",0","0",",0","24.28","0","28.69","0","19.88","0","40","X","","","","","315","X","14.3","X","","","","","22.6","X"
"USW00012844","1987","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","5.4","X","2196.1","","2196.1","0","126","0","77","0","0","","0","0","0","0","0","0","0","0","344","0","77","0","5.0","0,0124,+","0",",0,1231,+","0",",0,1231,+","100.1",",0,1103,","36.7","0,0713,","","","","","","","","","103.4","","103.4","0","1491.8",",0","0",",0","23.97","0","28.30","0","19.65","0","270","X","","","","","315","X","15.6","X","","","","","27.8","X"
"USW00012844","1988","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","4.9","X","2202.3","","2202.3","0","137","0","81","0","0","","0","0","0","0","0","0","0","0","345","0","69","0","3.9","0,1218,","0",",0,1231,+","0",",0,1231,+","170.2",",0,0820,","35.0","0,0424,","","","","","","","","","128.4","","128.4","0","1649.7",",0","0",",0","23.99","0","28.29","0","19.70","0","160","X","","","","","180","X","15.6","X","","","","","21.6","X"
"USW00012844","1989","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","4.9","X","2384.9","","2384.9","0","127","0","74","0","0","","0","0","0","0","4","0","0","0","351","0","104","0","-2.2","0,1225,+","0",",0,1231,+","0",",0,1231,+","99.3",",0,0415,","36.1","0,0807,","0.0","0,1223","-2.2","0,1224","0.0","0,0224","","","86.1","","86.1","0","983.2",",0","0",",0","24.44","0","29.11","0","19.78","0","260","X","","","","","225","X","13.0","X","","","","","21.6","X"
"USW00012844","1990","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","5.1","X","2550.7","","2550.7","0","130","0","75","0","0","","0","0","0","0","0","0","0","0","364","0","101","0","7.8","0,0113,","0",",0,1231,+","0",",0,1231,+","110.0",",0,0919,","35.6","0,0801,+","","","","","","","","","102.8","","102.8","0","1418.4",",0","0",",0","25.25","0","29.51","0","20.99","0","140","X","","","","","315","X","15.6","X","","","","","29.3","X"
"USW00012844","1991","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","4.8","X","2442.0","","2442.0","0","159","0","107","0","0","","0","0","0","0","0","0","0","0","357","0","79","0","2.8","0,0216,","0",",0,1231,+","0",",0,1231,+","172.2",",0,0115,","35.6","0,0821,","","","","","","","","","54.5","","54.5","0","2016.4",",0","0",",0","24.81","0","29.00","0","20.62","0","230","X","","","","","225","X","20.6","X","","","","","29.3","X"
"USW00012844","1992","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","5.0","X","2169.0","","2169.0","0","141","0","91","0","0","","0","0","0","0","0","0","0","0","351","0","70","0","5.6","0,0116,","0",",0,1231,+","0",",0,1231,+","121.7",",0,1118,","35.0","0,0706,+","","","","","","","","","91.4","","91.4","0","1553.5",",0","0",",0","24.00","0","28.40","0","19.59","0","240","X","","","","","225","X","20.6","X","","","","","29.3","X"
"USW00012844","1993","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","4.3","X","2192.6","","2192.6","0","146","0","93","0","","","","","0","0","0","0","0","0","353","0","74","0","5.0","0,0315,","","","","","141.7",",0,0321,","35.6","0,0821,+","","","","","","","","","62.8","","62.8","0","1609.1",",0","","","24.08","0","28.37","0","19.79","0","","","","","","","","","","","","","","","",""
"USW00012844","1994","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","4.0","X","2327.5","","2327.5","0","159","0","112","0","0","","0","0","0","0","0","0","0","0","354","0","36","0","5.6","0,0115,","0",",0,1231,+","0","T,0,0325,","163.8",",0,1221,","34.4","0,0608,","","","","","","","","","91.2","","91.2","0","2182.5",",0","0","T,0","24.53","0","28.46","0","20.59","0","","","10","X","360","X","","","","","20.1","X","23.7","X","",""
"USW00012844","1995","26.6847","-80.0994","5.8","WEST PALM BEACH INTERNATIONAL AIRPORT, FL US","4.0","X","2272.1","","2272.1","0","152","0","97","0","0","","0","0","0","0","0","0","0","0","338","0","72","0","1.7","0,1225,","0",",0,1231,+","0",",0,1231,+","203.5",",0,0823,","35.0","0,0817,+","","","","","","","","","125.4","","125.4","0","1753.1",",0","0",",0","24.03","0","28.27","0","19.79","0","","","170","X","200","X","","","","","17.0","X","21.9","X","",""
