"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00023062","1958","39.7633","-104.8694","1611.2","DENVER STAPLETON, CO US","","","396.2","","396.2","0","99","0","46","0","41","","22","0","3","0","150","0","19","0","162","0","30","0","-20.6","0,1128,","178",",0,0120,","137",",0,0211,","47.2",",0,0508,","35.6","0,0713,","-1.7","0,1022","-2.2","0,1031","-5.0","0,1115","-9.4","0,1116","-9.4","0,1116","-1.7","0,0430","-2.2","0,0429","-5.0","0,0319","-7.2","0,0318","-12.8","0,0317","3206.9","","3206.9","0","478.7",",0","","","1765",",0","10.73","0","17.91","0","3.55","0","","","","","315","X","","","","","26.7","X","",""
"USW00023062","1959","39.7633","-104.8694","1611.2","DENVER STAPLETON, CO US","","","431.6","","431.6","0","88","0","41","0","62","","27","0","7","0","165","0","21","0","142","0","37","0","-25.0","0,0104,","305",",0,0326,","315",",0,0325,","35.3",",0,0325,","36.1","0,0818,","-1.1","0,0929","-3.9","0,1030","-6.1","0,1031","-11.1","0,1104","-11.1","0,1104","0.0","0,0422","-2.2","0,0421","-6.7","0,0413","-6.7","0,0413","-13.9","0,0412","3281.9","","3281.9","0","420.4",",0","","","2846",",0","9.97","0","17.29","0","2.64","0","","","","","","","","","","","","","",""
"USW00023062","1960","39.7633","-104.8694","1611.2","DENVER STAPLETON, CO US","","","432.8","","432.8","0","77","0","35","0","66","","25","0","18","0","147","0","34","0","158","0","50","0","-23.9","0,0228,","203",",0,1206,","175",",0,0429,","40.1",",0,1018,","36.7","0,0831,+","0.0","0,1019","-2.8","0,1029","-4.4","0,1030","-7.8","0,1109","-9.4","0,1110","0.0","0,0501","-5.6","0,0430","-5.6","0,0430","-8.9","0,0317","-8.9","0,0317","3515.0","","3515.0","0","381.0",",0","","","1900",",0","9.81","0","17.38","0","2.24","0","","","","","293","X","","","","","31.4","X","",""
"USW00023062","1961","39.7633","-104.8694","1611.2","DENVER STAPLETON, CO US","","","317.9","","317.9","0","104","0","41","0","49","","20","0","7","0","168","0","24","0","141","0","31","0","-26.7","0,1210,","178",",0,0328,","246",",0,0318,","45.7",",0,0513,","37.2","0,0717,","-1.7","0,0925","-4.4","0,1023","-4.4","0,1023","-6.7","0,1102","-8.9","0,1113","0.0","0,0513","-3.3","0,0425","-5.6","0,0416","-6.7","0,0330","-15.6","0,0306","3389.6","","3389.6","0","483.4",",0","","","2041",",0","9.34","0","16.86","0","1.82","0","","","","","270","X","","","","","27.8","X","",""
"USW00023062","1962","39.7633","-104.8694","1611.2","DENVER STAPLETON, CO US","","","359.6","","359.6","0","80","0","23","0","47","","16","0","19","0","159","0","28","0","167","0","44","0","-31.1","0,0110,+","305",",0,0109,","305",",0,0108,","23.4",",0,0108,","37.8","0,0814,+","-0.6","0,0908","-2.2","0,1024","-4.4","0,1107","-6.7","0,1117","-9.4","0,1119","-0.6","0,0413","-3.9","0,0412","-4.4","0,0402","-9.4","0,0401","-9.4","0,0401","3813.8","","3813.8","0","215.9",",0","","","1333",",0","9.80","0","18.11","0","1.49","0","","","","","293","X","","","","","27.2","X","",""
"USW00023062","1963","39.7633","-104.8694","1611.2","DENVER STAPLETON, CO US","","","355.8","","355.8","0","75","0","33","0","37","","13","0","19","0","152","0","27","0","188","0","37","0","-31.7","0,0112,+","203",",0,0305,+","198",",0,0303,","33.3",",0,0616,","37.2","0,0725,","-3.9","0,1027","-3.9","0,1027","-5.0","0,1101","-6.7","0,1112","-9.4","0,1130","-1.1","0,0424","-2.8","0,0423","-7.2","0,0315","-7.2","0,0315","-14.4","0,0314","3274.3","","3274.3","0","311.3",",0","","","1016",",0","10.41","0","18.81","0","2.00","0","","","","","248","X","","","","","29.3","X","",""
"USW00023062","1964","39.7633","-104.8694","1611.2","DENVER STAPLETON, CO US","","","380.9","","380.9","0","78","0","29","0","37","","15","0","7","0","164","0","26","0","160","0","50","0","-22.2","0,1217,","254",",0,0404,","254",",0,0403,","33.8",",0,0529,","36.7","0,0727,+","0.0","0,1004","-2.8","0,1018","-7.2","0,1019","-7.2","0,1019","-8.9","0,1213","-1.1","0,0512","-2.8","0,0504","-6.1","0,0405","-10.0","0,0328","-10.0","0,0328","3401.6","","3401.6","0","258.2",",0","","","1455",",0","9.80","0","17.89","0","1.71","0","","","","","270","X","","","","","29.8","X","",""
"USW00023062","1965","39.7633","-104.8694","1611.2","DENVER STAPLETON, CO US","","","263.4","","263.4","0","103","0","51","0","44","","21","0","11","0","149","0","22","0","151","0","22","0","-20.6","0,0216,+","178",",0,0216,+","165",",0,0131,","56.6",",0,0604,","36.1","0,0812,","-1.1","0,0916","-3.9","0,1104","-5.0","0,1109","-7.2","0,1121","-17.8","0,1215","-1.7","0,0509","-3.9","0,0414","-13.9","0,0326","-13.9","0,0326","-13.9","0,0326","3388.5","","3388.5","0","555.8",",0","70.8","X","1581",",0","9.79","0","17.49","0","2.08","0","187674",",X","","","225","X","225","X","","","31.4","X","25.0","X"
"USW00023062","1966","39.7633","-104.8694","1611.2","DENVER STAPLETON, CO US","","","392.8","","392.8","0","85","0","33","0","31","","13","0","8","0","168","0","20","0","168","0","37","0","-25.0","0,0121,","178",",0,0213,","157",",0,1014,","16.3",",0,0818,","36.7","0,0716,+","-3.9","0,1014","-3.9","0,1014","-5.6","0,1015","-7.8","0,1101","-9.4","0,1108","0.0","0,0513","-2.8","0,0512","-5.0","0,0421","-10.6","0,0420","-10.6","0,0420","3312.3","","3312.3","0","275.6",",0","70.5","X","1107",",0","10.25","0","18.65","0","1.85","0","188748",",X","","","315","X","315","X","","","24.7","X","20.1","X"
"USW00023062","1967","39.7633","-104.8694","1611.2","DENVER STAPLETON, CO US","","","166.2","","166.2","0","107","0","48","0","37","","18","0","6","0","172","0","15","0","156","0","4","0","-24.4","0,1231,","127",",0,1103,","157",",0,1102,","82.6",",0,0413,","33.9","0,0824,+","0.0","0,1016","-3.3","0,1024","-5.6","0,1027","-8.9","0,1102","-8.9","0,1102","-1.1","0,0514","-2.8","0,0503","-4.4","0,0422","-15.6","0,0308","-15.6","0,0308","3184.5","","3184.5","0","592.7",",0","67.0","X","1312",",0","9.63","0","17.80","0","1.47","0","178410",",X","","","270","X","315","X","","","24.7","X","18.8","X"
"USW00023062","1968","39.7633","-104.8694","1611.2","DENVER STAPLETON, CO US","","","280.9","","280.9","0","79","0","37","0","45","","15","0","9","0","180","0","16","0","151","0","24","0","-24.4","0,1222,","127",",0,0215,+","178",",0,0403,","33.3",",0,0809,","36.1","0,0620,","-1.7","0,1009","-3.9","0,1017","-8.3","0,1107","-8.3","0,1107","-9.4","0,1115","0.0","0,0519","-2.2","0,0508","-6.1","0,0423","-7.2","0,0409","-10.6","0,0404","3475.1","","3475.1","0","308.5",",0","70.5","X","1214",",0","9.36","0","17.60","0","1.12","0","188166",",X","","","225","X","270","X","","","23.6","X","17.4","X"
"USW00023062","1969","39.7633","-104.8694","1611.2","DENVER STAPLETON, CO US","","","386.5","","386.5","0","97","0","40","0","42","","16","0","4","0","165","0","23","0","149","0","34","0","-20.6","0,0124,","279",",0,1013,","249",",0,1003,","74.9",",0,0507,","37.8","0,0808,","-1.7","0,1004","-6.7","0,1005","-6.7","0,1005","-6.7","0,1005","-12.2","0,1012","-2.8","0,0428","-2.8","0,0428","-5.6","0,0326","-10.0","0,0325","-10.0","0,0325","3404.3","","3404.3","0","547.6",",0","66.0","X","1518",",0","9.95","0","17.52","0","2.37","0","178536",",X","","","270","X","","","","","27.8","X","",""
"USW00023062","1970","39.7633","-104.8694","1611.2","DENVER STAPLETON, CO US","","","349.9","","349.9","0","89","0","36","0","35","","17","0","4","0","184","0","17","0","148","0","32","0","-23.3","0,0106,","127",",0,0311,","127",",0,0310,","80.3",",0,0611,","36.7","0,0802,","-5.0","0,1007","-5.0","0,1007","-5.0","0,1007","-6.7","0,1015","-10.0","0,1122","-0.6","0,0515","-3.3","0,0501","-5.6","0,0421","-8.3","0,0404","-10.0","0,0328","3538.5","","3538.5","0","349.5",",0","69.2","X","1196",",0","9.71","0","18.11","0","1.31","0","185490",",X","","","45","X","45","X","","","26.7","X","17.9","X"
"USW00023062","1971","39.7633","-104.8694","1611.2","DENVER STAPLETON, CO US","","","352.6","","352.6","0","78","0","30","0","46","","19","0","10","0","170","0","24","0","156","0","38","0","-26.7","0,0106,","254",",0,0918,","305",",0,0917,","29.7",",0,0917,","38.3","0,0717,+","-0.6","0,0917","-5.0","0,0918","-5.0","0,0918","-6.7","0,0919","-10.6","0,1030","0.0","0,0519","-6.1","0,0406","-6.1","0,0406","-9.4","0,0319","-9.4","0,0319","3471.2","","3471.2","0","279.0",",0","68.7","X","1684",",0","9.68","0","17.99","0","1.36","0","184626",",X","","","225","X","135","X","","","30.3","X","21.0","X"
"USW00023062","1972","39.7633","-104.8694","1611.2","DENVER STAPLETON, CO US","","","298.2","","298.2","0","99","0","39","0","60","","21","0","20","0","155","0","27","0","167","0","25","0","-27.8","0,1210,","330",",0,1102,","399",",0,0426,","77.2",",0,0426,","37.8","0,0730,","-0.6","0,1023","-2.2","0,1025","-5.6","0,1029","-7.2","0,1030","-9.4","0,1031","0.0","0,0503","-3.3","0,0502","-4.4","0,0404","-7.2","0,0330","-11.7","0,0329","3265.7","","3265.7","0","429.7",",0","60.7","X","2114",",0","9.91","0","17.92","0","1.91","0","163146",",X","","","270","X","225","X","","","26.7","X","18.8","X"
"USW00023062","1973","39.7633","-104.8694","1611.2","DENVER STAPLETON, CO US","","","338.9","","338.9","0","112","0","41","0","76","","22","0","10","0","158","0","21","0","156","0","33","0","-21.7","0,1231,+","330",",0,1226,","262",",0,1223,","83.1",",0,0506,","39.4","0,0706,","-1.1","0,1011","-2.8","0,1102","-10.0","0,1104","-10.0","0,1104","-10.0","0,1104","-0.6","0,0502","-2.2","0,0416","-11.1","0,0410","-11.1","0,0410","-11.1","0,0410","3646.7","","3646.7","0","584.2",",0","68.9","X","2503",",0","9.94","0","17.51","0","2.37","0","183786",",X","","","315","X","315","X","","","29.3","X","21.9","X"
"USW00023062","1974","39.7633","-104.8694","1611.2","DENVER STAPLETON, CO US","","","384.0","","384.0","0","83","0","37","0","61","","22","0","11","0","151","0","16","0","169","0","46","0","-27.2","0,0105,+","229",",0,0112,+","216",",0,0413,","45.5",",0,0608,","35.6","0,0628,+","-1.7","0,1030","-2.2","0,1031","-6.7","0,1104","-6.7","0,1104","-10.0","0,1114","-1.7","0,0416","-2.2","0,0415","-6.1","0,0414","-6.7","0,0404","-15.0","0,0324","3237.0","","3237.0","0","357.3",",0","72.0","X","1677",",0","10.23","0","18.48","0","1.98","0","193200",",X","","","360","X","315","X","","","28.8","X","19.2","X"
"USW00023062","1975","39.7633","-104.8694","1611.2","DENVER STAPLETON, CO US","","","294.2","","294.2","0","91","0","40","0","45","","21","0","5","0","162","0","19","0","158","0","24","0","-23.9","0,0206,","203",",0,0402,","152",",0,0331,","34.8",",0,0813,","35.0","0,0807,+","-0.6","0,0920","-3.3","0,1023","-6.1","0,1024","-10.0","0,1110","-10.0","0,1110","-0.6","0,0501","-2.8","0,0418","-4.4","0,0414","-12.8","0,0403","-12.8","0,0403","3542.3","","3542.3","0","394.6",",0","69.8","X","1632",",0","9.65","0","17.79","0","1.52","0","187308",",X","","","315","X","315","X","","","25.2","X","20.1","X"
"USW00023062","1976","39.7633","-104.8694","1611.2","DENVER STAPLETON, CO US","","","357.0","","357.0","0","89","0","33","0","34","","11","0","7","0","157","0","14","0","146","0","29","0","-20.0","0,0103,","127",",0,1027,+","160",",0,1026,","43.4",",0,0801,","36.7","0,0710,","-1.1","0,1007","-2.2","0,1016","-4.4","0,1018","-7.2","0,1019","-13.9","0,1126","-1.1","0,0418","-3.9","0,0403","-5.0","0,0330","-8.9","0,0312","-8.9","0,0312","3168.5","","3168.5","0","341.8",",0","73.9","X","1126",",0","10.52","0","18.45","0","2.59","0","197142",",X","","","315","X","360","X","","","24.7","X","23.7","X"
"USW00023062","1977","39.7633","-104.8694","1611.2","DENVER STAPLETON, CO US","","","428.2","","428.2","0","81","0","27","0","16","","10","0","4","0","134","0","12","0","180","0","33","0","-20.0","0,0109,","203",",0,0311,","196",",0,0310,","27.2",",0,0310,","36.7","0,0717,","0.0","0,1002","-2.8","0,1010","-6.1","0,1101","-6.7","0,1108","-10.0","0,1109","-0.6","0,0405","-2.2","0,0404","-6.7","0,0330","-6.7","0,0330","-8.9","0,0226","3089.2","","3089.2","0","263.6",",0","75.2","X","711",",0","11.40","0","19.23","0","3.56","0","201762",",X","","","360","X","360","X","","","26.7","X","21.0","X"
"USW00023062","1978","39.7633","-104.8694","1611.2","DENVER STAPLETON, CO US","","","400.9","","400.9","0","74","0","32","0","42","","21","0","7","0","146","0","31","0","160","0","52","0","-23.3","0,1208,","178",",0,0507,","196",",0,0505,","28.2",",0,0501,","36.7","0,0725,","0.0","0,0921","-2.2","0,1023","-6.1","0,1110","-6.7","0,1111","-13.3","0,1127","-5.0","0,0507","-5.0","0,0507","-5.0","0,0507","-8.9","0,0316","-8.9","0,0316","3220.5","","3220.5","0","297.6",",0","72.1","X","1581",",0","9.84","0","17.40","0","2.28","0","193470",",X","","","135","X","135","X","","","26.7","X","24.1","X"
"USW00023062","1979","39.7633","-104.8694","1611.2","DENVER STAPLETON, CO US","","","356.8","","356.8","0","94","0","44","0","68","","27","0","13","0","151","0","30","0","153","0","34","0","-23.9","0,0101,","432",",0,1121,","343",",0,1120,","41.4",",0,0502,","37.2","0,0806,","0.0","0,1022","-5.0","0,1031","-5.0","0,1031","-10.6","0,1112","-10.6","0,1112","0.0","0,0511","-3.9","0,0412","-10.0","0,0402","-10.0","0,0402","-10.0","0,0402","3622.5","","3622.5","0","517.9",",0","77.0","X","2311",",0","9.69","0","16.99","0","2.39","0","206106",",X","","","270","X","270","X","","","24.7","X","17.9","X"
"USW00023062","1980","39.7633","-104.8694","1611.2","DENVER STAPLETON, CO US","","","511.4","","511.4","0","85","0","32","0","58","","18","0","8","0","139","0","22","0","165","0","49","0","-20.6","0,0208,","152",",0,0329,+","157",",0,0207,","32.8",",0,0424,","37.8","0,0806,","0.0","0,1017","-2.8","0,1023","-4.4","0,1114","-6.7","0,1115","-10.0","0,1125","-1.7","0,0414","-2.8","0,0413","-5.0","0,0412","-8.9","0,0317","-8.9","0,0317","3359.7","","3359.7","0","348.4",",0","72.2","X","1371",",0","11.20","0","18.48","0","3.92","0","197004",",X","","","","","","","","","","","",""
"USW00023062","1981","39.7633","-104.8694","1611.2","DENVER STAPLETON, CO US","","","489.6","","489.6","0","82","0","39","0","37","","19","0","3","0","115","0","10","0","176","0","43","0","-24.4","0,0211,","178",",0,1222,+","198",",0,0304,","27.4",",0,0517,","37.8","0,0721,","-3.9","0,1022","-3.9","0,1022","-6.7","0,1025","-6.7","0,1025","-11.7","0,1126","-2.2","0,0405","-2.2","0,0405","-9.4","0,0308","-9.4","0,0308","-9.4","0,0308","2688.0","","2688.0","0","320.4",",0","67.2","X","1304",",0","12.25","0","19.66","0","4.84","0","178572",",X","","","225","X","315","X","","","23.1","X","17.0","X"
"USW00023062","1982","39.7633","-104.8694","1611.2","DENVER STAPLETON, CO US","","","329.8","","329.8","0","98","0","40","0","30","","8","0","11","0","161","0","24","0","142","0","21","0","-26.1","0,0205,","610",",0,1226,+","599",",0,1224,","50.8",",0,1224,","37.2","0,0723,+","-0.6","0,1007","-2.8","0,1011","-5.0","0,1102","-6.7","0,1113","-11.1","0,1114","0.0","0,0506","-2.2","0,0422","-6.7","0,0421","-6.7","0,0421","-11.7","0,0211","3100.5","","3100.5","0","367.2",",0","69.3","X","1036",",0","9.62","0","16.92","0","2.32","0","186804",",X","","","315","X","315","X","","","27.2","X","19.7","X"
"USW00023062","1983","39.7633","-104.8694","1611.2","DENVER STAPLETON, CO US","","","396.0","","396.0","0","102","0","50","0","104","","17","0","12","0","164","0","41","0","139","0","24","0","-29.4","0,1221,","406",",0,1128,","457",",0,0305,","68.1",",0,0305,","35.6","0,0719,+","-2.2","0,0920","-2.2","0,0920","-7.2","0,1109","-7.2","0,1109","-14.4","0,1123","-2.2","0,0518","-2.2","0,0518","-5.0","0,0415","-7.2","0,0414","-8.9","0,0407","3663.0","","3663.0","0","513.6",",0","64.2","X","2347",",0","9.05","0","15.82","0","2.28","0","174174",",X","","","360","X","","","","","24.7","X","",""
"USW00023062","1984","39.7633","-104.8694","1611.2","DENVER STAPLETON, CO US","3.5","X","391.3","","391.3","0","96","0","41","0","62","","20","0","5","0","187","0","19","0","141","0","21","0","-28.3","0,0118,","279",",0,0421,","290",",0,0420,","27.2",",0,1004,","36.1","0,0721,+","0.0","0,0925","-2.8","0,1015","-6.1","0,1017","-6.7","0,1115","-9.4","0,1126","0.0","0,0430","-3.3","0,0428","-4.4","0,0427","-7.2","0,0310","-12.2","0,0305","3692.9","","3692.9","0","419.4",",0","","","1672",",0","9.62","0","16.64","0","2.60","0","176152",",X","310","X","270","X","","","17.9","X","25.2","X","",""
"USW00023062","1985","39.7633","-104.8694","1611.2","DENVER STAPLETON, CO US","3.6","X","381.3","","381.3","0","95","0","42","0","69","","20","0","17","0","161","0","36","0","153","0","35","0","-26.1","0,0131,","203",",0,0929,","211",",0,0928,","38.4",",0,0719,","36.7","0,0707,+","0.0","0,0923","-6.1","0,0928","-6.1","0,0928","-8.3","0,0929","-10.6","0,1109","-0.6","0,0427","-3.3","0,0408","-7.2","0,0330","-7.2","0,0330","-16.7","0,0304","3461.8","","3461.8","0","414.9",",0","","","1715",",0","9.39","0","16.66","0","2.12","0","173896",",X","330","X","360","X","","","18.3","X","23.6","X","",""
"USW00023062","1986","39.7633","-104.8694","1611.2","DENVER STAPLETON, CO US","3.5","X","385.8","","385.8","0","95","0","39","0","35","","16","0","3","0","132","0","13","0","156","0","31","0","-22.8","0,1210,","254",",0,0404,","264",",0,0403,","24.6",",0,0403,","37.2","0,0628,","0.0","0,0927","-3.9","0,1011","-4.4","0,1012","-13.9","0,1110","-13.9","0,1110","0.0","0,0419","-3.3","0,0415","-4.4","0,0414","-8.9","0,0404","-8.9","0,0404","3186.4","","3186.4","0","307.7",",0","","","1165",",0","11.18","0","18.65","0","3.71","0","179169",",X","290","X","315","X","","","17.9","X","27.8","X","",""
